Wall time,Step,Value
1579947879.4361749,600,1.5777530961713637e-06
1579948250.9477868,1900,5.0076514526153915e-06
1579948419.1400983,2500,6.5906810959859286e-06
1579948868.2756035,4100,1.0812093933054712e-05
1579948924.276683,4300,1.1339770935592242e-05
1579949008.3107424,4600,1.2131285984651186e-05
1579949232.2033277,5400,1.4241992175811902e-05
1579949316.2758703,5700,1.5033507224870846e-05
1579949739.7119153,7200,1.8991082470165566e-05
1579949824.861103,7500,1.978259751922451e-05
1579950387.1908627,9500,2.5059363906621e-05
1579950611.143168,10300,2.7170070097781718e-05
1579950724.2104034,10700,2.8225424102856778e-05
1579951284.2180977,12700,3.350219049025327e-05
1579951650.418905,14000,3.693208782351576e-05
1579952100.978176,15600,4.115350020583719e-05
1579952185.1131554,15900,4.1945015254896134e-05
1579952437.3143103,16800,4.4319560402072966e-05
1579952745.5951412,17900,4.722178346128203e-05
1579952885.7482119,18400,4.85409727843944e-05
1579952941.8336835,18600,4.906865069642663e-05
1579952969.8265421,18700,4.933248783345334e-05
1579953081.9853172,19100,5.0387843657517806e-05
1579953560.827671,20800,5.487309317686595e-05
1579954011.5335557,22400,5.909450555918738e-05
1579954180.8753388,23000,6.067753565730527e-05
1579954321.0087469,23500,6.199672498041764e-05
1579954741.6086338,25000,6.595430022571236e-05
1579954909.7298832,25600,6.753733032383025e-05
1579955049.9173074,26100,6.885652692290023e-05
1579955246.1742234,26800,7.070339052006602e-05
1579955358.3070533,27200,7.175874634413049e-05
1579955414.3765614,27400,7.228642061818391e-05
1579955947.1327298,29300,7.72993516875431e-05
1579956395.892413,30900,8.152076770784333e-05
1579956451.9986317,31100,8.204844198189676e-05
1579956676.452991,31900,8.415914635406807e-05
1579957014.1277354,33100,8.732520655030385e-05
1579957266.608796,34000,8.969975169748068e-05
1579957491.0136259,34800,9.181045606965199e-05
1579957942.2161942,36400,9.603187208995223e-05
1579958054.4843187,36800,9.70872279140167e-05
1579959569.919833,42200,0.00011133449152112007
1579959597.982727,42300,0.00011159833229612559
1579960076.0871332,44000,0.00011608358181547374
1579960132.1562312,44200,0.00011661126336548477
1579960160.2195413,44300,0.00011687509686453268
1579960244.3367572,44600,0.00011766661191359162
1579960665.0281982,46100,0.00012162418715888634
1579960749.1598406,46400,0.0001224157022079453
1579960777.2383568,46500,0.0001226795429829508
1579961057.7842612,47500,0.00012531792162917554
1579961534.6253629,49200,0.0001298031711485237
1579961590.752088,49400,0.00013033085269853473
1579962179.9116373,51500,0.00013587145076598972
1579962264.0741181,51800,0.00013666297309100628
1579962488.4844668,52600,0.0001387736847391352
1579962657.958703,53200,0.0001403567148372531
1579962798.274121,53700,0.00014167590416036546
1579962967.7877598,54300,0.00014325893425848335
1579963108.1000144,54800,0.00014457812358159572
1579963388.7675147,55800,0.00014721650222782046
1579963557.254419,56400,0.00014879953232593834
1579963839.1915445,57400,0.0001514379255240783
1579964007.6060052,58000,0.0001530209556221962
1579964063.7736926,58200,0.000153548622620292
1579964205.3011324,58700,0.00015486781194340438
1579964233.3797865,58800,0.0001551316527184099
1579964654.5619733,60300,0.00015908923523966223
1579965159.8949707,62100,0.0001638383255340159
1579965216.0868402,62300,0.0001643659925321117
1579965553.042922,63500,0.00016753205272834748
1579965749.4911952,64200,0.0001693789236014709
1579965777.5400014,64300,0.0001696427643764764
1579965833.6765606,64500,0.00017017044592648745
1579965919.1540263,64800,0.00017096195369958878
1579965975.2732625,65000,0.00017148963524959981
1579966312.0092225,66200,0.0001746556954458356
1579966592.5104513,67200,0.00017729407409206033
1579966676.6795087,67500,0.00017808559641707689
1579966929.1837437,68400,0.0001804601342882961
1579967069.5257847,68900,0.00018177932361140847
1579967799.3026338,71500,0.00018863912555389106
1579967911.5486693,71900,0.0001896944741019979
1579968023.806379,72300,0.00019074982265010476
1579968051.9061744,72400,0.00019101366342511028
1579968248.4117105,73100,0.0001928605342982337
1579968501.0456753,74000,0.00019523508672136813
1579968613.3401544,74400,0.00019629043526947498
1579968725.6454542,74800,0.00019734578381758183
1579968865.979429,75300,0.0001986649731406942
1579968978.3211381,75700,0.00019972033624071628
1579969230.8843615,76600,0.0002020948741119355
1579969343.174973,77000,0.00020315022266004235
1579969371.2199793,77100,0.00020341406343504786
1579969399.29019,77200,0.00020367790421005338
1579969455.3878922,77400,0.00020420558576006442
1579969652.918375,78100,0.00020605245663318783
1579969793.2587976,78600,0.0002073716459563002
1579969849.366736,78800,0.000207899312954396
1579969989.668924,79300,0.0002092185168294236
1579970045.817815,79500,0.00020974618382751942
1579970158.0386221,79900,0.0002108015469275415
1579970270.2117913,80300,0.00021185689547564834
