task,devacc,acc,ndev,ntest,nhid,dropout
Length,69.5,68.21,9996,9996,50,0.0
Length,66.5,64.74,9996,9996,50,0.1
Length,66.43,64.67,9996,9996,50,0.2
Length,69.65,68.71,9996,9996,100,0.0
Length,67.99,65.54,9996,9996,100,0.1
Length,67.52,66.55,9996,9996,100,0.2
Length,69.0,67.76,9996,9996,200,0.0
Length,67.25,66.1,9996,9996,200,0.1
Length,66.02,64.13,9996,9996,200,0.2
WordContent,62.74,63.07,10000,10000,50,0.0
WordContent,62.74,63.07,10000,10000,50,0.1
WordContent,62.74,63.07,10000,10000,50,0.2
WordContent,62.74,63.07,10000,10000,100,0.0
WordContent,62.74,63.07,10000,10000,100,0.1
WordContent,62.74,63.07,10000,10000,100,0.2
WordContent,62.74,63.07,10000,10000,200,0.0
WordContent,62.74,63.07,10000,10000,200,0.1
WordContent,62.74,63.07,10000,10000,200,0.2
Depth,30.4,29.37,10000,10000,50,0.0
Depth,30.23,29.34,10000,10000,50,0.1
Depth,30.36,29.25,10000,10000,50,0.2
Depth,30.33,30.2,10000,10000,100,0.0
Depth,30.25,29.86,10000,10000,100,0.1
Depth,30.25,29.73,10000,10000,100,0.2
Depth,30.54,30.34,10000,10000,200,0.0
Depth,30.3,29.75,10000,10000,200,0.1
Depth,30.36,29.68,10000,10000,200,0.2
TopConstituents,52.45,52.4,10000,10000,50,0.0
TopConstituents,51.75,51.92,10000,10000,50,0.1
TopConstituents,51.61,51.87,10000,10000,50,0.2
TopConstituents,52.52,52.9,10000,10000,100,0.0
TopConstituents,51.62,51.83,10000,10000,100,0.1
TopConstituents,51.48,51.62,10000,10000,100,0.2
TopConstituents,52.81,52.92,10000,10000,200,0.0
TopConstituents,51.62,51.79,10000,10000,200,0.1
TopConstituents,51.41,51.38,10000,10000,200,0.2
BigramShift,50.47,50.0,10000,10000,50,0.0
BigramShift,50.49,49.96,10000,10000,50,0.1
BigramShift,50.61,49.79,10000,10000,50,0.2
BigramShift,50.47,49.8,10000,10000,100,0.0
BigramShift,50.65,50.01,10000,10000,100,0.1
BigramShift,50.44,49.99,10000,10000,100,0.2
BigramShift,50.36,49.96,10000,10000,200,0.0
BigramShift,50.41,50.07,10000,10000,200,0.1
BigramShift,50.5,49.99,10000,10000,200,0.2
Tense,67.7,64.12,10000,10000,50,0.0
Tense,67.54,64.18,10000,10000,50,0.1
Tense,67.51,63.67,10000,10000,50,0.2
Tense,67.53,64.24,10000,10000,100,0.0
Tense,67.61,64.2,10000,10000,100,0.1
Tense,67.6,64.22,10000,10000,100,0.2
Tense,67.56,63.61,10000,10000,200,0.0
Tense,67.66,63.61,10000,10000,200,0.1
Tense,67.66,63.59,10000,10000,200,0.2
SubjNumber,68.3,67.63,10000,10000,50,0.0
SubjNumber,68.3,67.67,10000,10000,50,0.1
SubjNumber,68.3,67.93,10000,10000,50,0.2
SubjNumber,68.12,67.67,10000,10000,100,0.0
SubjNumber,68.18,67.65,10000,10000,100,0.1
SubjNumber,68.17,67.82,10000,10000,100,0.2
SubjNumber,68.21,67.76,10000,10000,200,0.0
SubjNumber,68.29,67.78,10000,10000,200,0.1
SubjNumber,68.26,67.82,10000,10000,200,0.2
ObjNumber,62.5,63.06,10000,10000,50,0.0
ObjNumber,62.45,62.76,10000,10000,50,0.1
ObjNumber,62.31,62.71,10000,10000,50,0.2
ObjNumber,62.56,62.92,10000,10000,100,0.0
ObjNumber,62.58,62.86,10000,10000,100,0.1
ObjNumber,62.5,62.87,10000,10000,100,0.2
ObjNumber,62.12,62.57,10000,10000,200,0.0
ObjNumber,62.17,62.61,10000,10000,200,0.1
ObjNumber,62.19,62.74,10000,10000,200,0.2
OddManOut,50.28,49.7,10000,10000,50,0.0
OddManOut,50.41,49.95,10000,10000,50,0.1
OddManOut,50.24,49.69,10000,10000,50,0.2
OddManOut,50.47,49.86,10000,10000,100,0.0
OddManOut,50.36,49.75,10000,10000,100,0.1
OddManOut,50.24,49.67,10000,10000,100,0.2
OddManOut,50.19,49.87,10000,10000,200,0.0
OddManOut,50.2,49.86,10000,10000,200,0.1
OddManOut,50.49,49.83,10000,10000,200,0.2
CoordinationInversion,50.33,50.26,10002,10002,50,0.0
CoordinationInversion,50.08,49.72,10002,10002,50,0.1
CoordinationInversion,50.0,50.0,10002,10002,50,0.2
CoordinationInversion,50.15,49.97,10002,10002,100,0.0
CoordinationInversion,50.01,50.18,10002,10002,100,0.1
CoordinationInversion,50.0,50.01,10002,10002,100,0.2
CoordinationInversion,50.17,50.15,10002,10002,200,0.0
CoordinationInversion,50.11,50.45,10002,10002,200,0.1
CoordinationInversion,50.11,50.46,10002,10002,200,0.2
