task,devacc,acc,ndev,ntest,nhid,dropout
Length,69.25,68.98,9996,9996,50,0.0
Length,66.66,66.61,9996,9996,50,0.1
Length,63.43,63.24,9996,9996,50,0.2
Length,69.28,69.17,9996,9996,100,0.0
Length,67.33,66.66,9996,9996,100,0.1
Length,65.82,65.16,9996,9996,100,0.2
Length,69.48,69.26,9996,9996,200,0.0
Length,67.31,66.83,9996,9996,200,0.1
Length,65.83,65.44,9996,9996,200,0.2
WordContent,74.23,74.55,10000,10000,50,0.0
WordContent,74.23,74.55,10000,10000,50,0.1
WordContent,74.23,74.55,10000,10000,50,0.2
WordContent,74.23,74.55,10000,10000,100,0.0
WordContent,74.23,74.55,10000,10000,100,0.1
WordContent,74.23,74.55,10000,10000,100,0.2
WordContent,74.23,74.55,10000,10000,200,0.0
WordContent,74.23,74.55,10000,10000,200,0.1
WordContent,74.23,74.55,10000,10000,200,0.2
Depth,33.41,34.69,10000,10000,50,0.0
Depth,31.88,32.44,10000,10000,50,0.1
Depth,31.74,32.7,10000,10000,50,0.2
Depth,33.77,34.79,10000,10000,100,0.0
Depth,31.49,32.33,10000,10000,100,0.1
Depth,31.53,32.32,10000,10000,100,0.2
Depth,32.73,33.88,10000,10000,200,0.0
Depth,31.72,32.54,10000,10000,200,0.1
Depth,31.52,32.79,10000,10000,200,0.2
TopConstituents,52.66,53.21,10000,10000,50,0.0
TopConstituents,51.68,52.26,10000,10000,50,0.1
TopConstituents,51.23,51.83,10000,10000,50,0.2
TopConstituents,52.94,53.43,10000,10000,100,0.0
TopConstituents,51.24,51.47,10000,10000,100,0.1
TopConstituents,51.01,51.23,10000,10000,100,0.2
TopConstituents,53.48,53.67,10000,10000,200,0.0
TopConstituents,51.51,51.89,10000,10000,200,0.1
TopConstituents,51.02,51.46,10000,10000,200,0.2
BigramShift,50.2,49.77,10000,10000,50,0.0
BigramShift,50.14,49.51,10000,10000,50,0.1
BigramShift,50.04,50.07,10000,10000,50,0.2
BigramShift,50.49,49.58,10000,10000,100,0.0
BigramShift,50.14,49.67,10000,10000,100,0.1
BigramShift,50.19,49.48,10000,10000,100,0.2
BigramShift,50.06,50.03,10000,10000,200,0.0
BigramShift,50.09,50.08,10000,10000,200,0.1
BigramShift,50.08,50.07,10000,10000,200,0.2
Tense,85.04,83.89,10000,10000,50,0.0
Tense,84.76,83.67,10000,10000,50,0.1
Tense,84.7,83.62,10000,10000,50,0.2
Tense,84.64,83.26,10000,10000,100,0.0
Tense,84.65,83.25,10000,10000,100,0.1
Tense,84.63,83.31,10000,10000,100,0.2
Tense,84.61,83.39,10000,10000,200,0.0
Tense,84.6,83.92,10000,10000,200,0.1
Tense,84.67,83.46,10000,10000,200,0.2
SubjNumber,79.62,77.97,10000,10000,50,0.0
SubjNumber,79.59,78.21,10000,10000,50,0.1
SubjNumber,79.58,77.95,10000,10000,50,0.2
SubjNumber,79.66,77.78,10000,10000,100,0.0
SubjNumber,79.64,77.84,10000,10000,100,0.1
SubjNumber,79.65,77.9,10000,10000,100,0.2
SubjNumber,79.6,78.01,10000,10000,200,0.0
SubjNumber,79.62,78.02,10000,10000,200,0.1
SubjNumber,79.61,78.05,10000,10000,200,0.2
ObjNumber,78.41,78.92,10000,10000,50,0.0
ObjNumber,78.44,78.94,10000,10000,50,0.1
ObjNumber,78.44,78.94,10000,10000,50,0.2
ObjNumber,78.39,78.77,10000,10000,100,0.0
ObjNumber,78.44,78.85,10000,10000,100,0.1
ObjNumber,78.44,78.92,10000,10000,100,0.2
ObjNumber,78.2,78.77,10000,10000,200,0.0
ObjNumber,78.18,78.77,10000,10000,200,0.1
ObjNumber,78.2,78.78,10000,10000,200,0.2
OddManOut,50.19,49.87,10000,10000,50,0.0
OddManOut,50.19,49.87,10000,10000,50,0.1
OddManOut,50.19,49.87,10000,10000,50,0.2
OddManOut,50.22,49.86,10000,10000,100,0.0
OddManOut,50.22,49.86,10000,10000,100,0.1
OddManOut,50.22,49.86,10000,10000,100,0.2
OddManOut,50.21,49.86,10000,10000,200,0.0
OddManOut,50.24,49.79,10000,10000,200,0.1
OddManOut,50.24,49.82,10000,10000,200,0.2
CoordinationInversion,50.2,50.46,10002,10002,50,0.0
CoordinationInversion,50.17,50.25,10002,10002,50,0.1
CoordinationInversion,50.0,50.0,10002,10002,50,0.2
CoordinationInversion,50.03,50.45,10002,10002,100,0.0
CoordinationInversion,50.0,50.0,10002,10002,100,0.1
CoordinationInversion,50.1,50.65,10002,10002,100,0.2
CoordinationInversion,50.34,51.02,10002,10002,200,0.0
CoordinationInversion,50.35,50.03,10002,10002,200,0.1
CoordinationInversion,50.42,50.92,10002,10002,200,0.2
