task,devacc,acc,ndev,ntest,nhid,dropout
Length,66.83,67.4,9996,9996,50,0.0
Length,65.03,65.95,9996,9996,50,0.1
Length,63.55,64.79,9996,9996,50,0.2
Length,66.39,67.28,9996,9996,100,0.0
Length,65.19,65.79,9996,9996,100,0.1
Length,64.5,64.63,9996,9996,100,0.2
Length,66.16,66.92,9996,9996,200,0.0
Length,64.2,65.38,9996,9996,200,0.1
Length,63.51,64.14,9996,9996,200,0.2
WordContent,70.01,70.28,10000,10000,50,0.0
WordContent,70.01,70.28,10000,10000,50,0.1
WordContent,70.01,70.28,10000,10000,50,0.2
WordContent,70.01,70.28,10000,10000,100,0.0
WordContent,70.01,70.28,10000,10000,100,0.1
WordContent,70.01,70.28,10000,10000,100,0.2
WordContent,70.01,70.28,10000,10000,200,0.0
WordContent,70.01,70.28,10000,10000,200,0.1
WordContent,70.01,70.28,10000,10000,200,0.2
Depth,30.35,29.33,10000,10000,50,0.0
Depth,30.03,28.74,10000,10000,50,0.1
Depth,30.2,28.8,10000,10000,50,0.2
Depth,30.21,28.63,10000,10000,100,0.0
Depth,29.8,28.84,10000,10000,100,0.1
Depth,29.74,28.47,10000,10000,100,0.2
Depth,29.86,28.69,10000,10000,200,0.0
Depth,30.04,28.77,10000,10000,200,0.1
Depth,30.05,28.62,10000,10000,200,0.2
TopConstituents,51.93,50.71,10000,10000,50,0.0
TopConstituents,51.48,50.24,10000,10000,50,0.1
TopConstituents,51.22,50.45,10000,10000,50,0.2
TopConstituents,52.45,51.22,10000,10000,100,0.0
TopConstituents,51.32,50.45,10000,10000,100,0.1
TopConstituents,51.23,50.44,10000,10000,100,0.2
TopConstituents,51.86,50.74,10000,10000,200,0.0
TopConstituents,51.02,49.97,10000,10000,200,0.1
TopConstituents,51.08,49.94,10000,10000,200,0.2
BigramShift,50.17,50.04,10000,10000,50,0.0
BigramShift,50.13,50.01,10000,10000,50,0.1
BigramShift,50.21,49.59,10000,10000,50,0.2
BigramShift,50.11,49.74,10000,10000,100,0.0
BigramShift,50.23,49.63,10000,10000,100,0.1
BigramShift,50.14,49.62,10000,10000,100,0.2
BigramShift,50.07,50.02,10000,10000,200,0.0
BigramShift,50.25,49.53,10000,10000,200,0.1
BigramShift,50.27,49.74,10000,10000,200,0.2
Tense,67.88,63.73,10000,10000,50,0.0
Tense,67.85,63.76,10000,10000,50,0.1
Tense,67.85,63.79,10000,10000,50,0.2
Tense,67.94,63.87,10000,10000,100,0.0
Tense,67.88,63.77,10000,10000,100,0.1
Tense,67.83,63.78,10000,10000,100,0.2
Tense,67.78,63.62,10000,10000,200,0.0
Tense,67.82,63.54,10000,10000,200,0.1
Tense,67.74,63.51,10000,10000,200,0.2
SubjNumber,68.16,68.13,10000,10000,50,0.0
SubjNumber,68.16,68.21,10000,10000,50,0.1
SubjNumber,68.09,68.14,10000,10000,50,0.2
SubjNumber,68.47,67.96,10000,10000,100,0.0
SubjNumber,68.38,67.95,10000,10000,100,0.1
SubjNumber,68.41,67.96,10000,10000,100,0.2
SubjNumber,68.09,68.08,10000,10000,200,0.0
SubjNumber,68.05,68.07,10000,10000,200,0.1
SubjNumber,68.01,68.08,10000,10000,200,0.2
ObjNumber,62.95,64.01,10000,10000,50,0.0
ObjNumber,62.81,63.21,10000,10000,50,0.1
ObjNumber,62.91,64.04,10000,10000,50,0.2
ObjNumber,62.92,63.92,10000,10000,100,0.0
ObjNumber,62.98,63.89,10000,10000,100,0.1
ObjNumber,62.89,63.3,10000,10000,100,0.2
ObjNumber,62.94,63.78,10000,10000,200,0.0
ObjNumber,62.92,63.89,10000,10000,200,0.1
ObjNumber,62.95,63.84,10000,10000,200,0.2
OddManOut,50.34,49.13,10000,10000,50,0.0
OddManOut,50.38,49.0,10000,10000,50,0.1
OddManOut,50.38,49.07,10000,10000,50,0.2
OddManOut,50.25,49.4,10000,10000,100,0.0
OddManOut,50.58,49.29,10000,10000,100,0.1
OddManOut,50.46,49.34,10000,10000,100,0.2
OddManOut,50.53,49.19,10000,10000,200,0.0
OddManOut,50.49,48.95,10000,10000,200,0.1
OddManOut,50.49,49.76,10000,10000,200,0.2
CoordinationInversion,50.68,49.47,10002,10002,50,0.0
CoordinationInversion,50.52,49.75,10002,10002,50,0.1
CoordinationInversion,50.37,49.81,10002,10002,50,0.2
CoordinationInversion,50.95,49.93,10002,10002,100,0.0
CoordinationInversion,50.16,49.58,10002,10002,100,0.1
CoordinationInversion,50.35,49.69,10002,10002,100,0.2
CoordinationInversion,50.5,49.69,10002,10002,200,0.0
CoordinationInversion,50.5,49.05,10002,10002,200,0.1
CoordinationInversion,50.31,49.31,10002,10002,200,0.2
