task,devacc,acc,ndev,ntest,nhid,dropout
Length,42.34,41.76,9996,9996,50,0.0
Length,35.14,35.01,9996,9996,50,0.1
Length,31.51,30.47,9996,9996,50,0.2
Length,42.57,43.44,9996,9996,100,0.0
Length,35.38,34.09,9996,9996,100,0.1
Length,31.77,30.85,9996,9996,100,0.2
Length,41.43,41.64,9996,9996,200,0.0
Length,35.13,34.03,9996,9996,200,0.1
Length,31.83,31.3,9996,9996,200,0.2
WordContent,76.58,76.12,10000,10000,50,0.0
WordContent,76.58,76.12,10000,10000,50,0.1
WordContent,76.58,76.12,10000,10000,50,0.2
WordContent,76.58,76.12,10000,10000,100,0.0
WordContent,76.58,76.12,10000,10000,100,0.1
WordContent,76.58,76.12,10000,10000,100,0.2
WordContent,76.58,76.12,10000,10000,200,0.0
WordContent,76.58,76.12,10000,10000,200,0.1
WordContent,76.58,76.12,10000,10000,200,0.2
Depth,27.31,26.79,10000,10000,50,0.0
Depth,27.31,26.89,10000,10000,50,0.1
Depth,27.29,26.68,10000,10000,50,0.2
Depth,27.33,26.74,10000,10000,100,0.0
Depth,27.09,26.83,10000,10000,100,0.1
Depth,27.01,26.89,10000,10000,100,0.2
Depth,27.05,26.74,10000,10000,200,0.0
Depth,26.98,26.45,10000,10000,200,0.1
Depth,26.97,26.54,10000,10000,200,0.2
TopConstituents,45.78,46.13,10000,10000,50,0.0
TopConstituents,44.6,44.95,10000,10000,50,0.1
TopConstituents,44.36,44.71,10000,10000,50,0.2
TopConstituents,46.9,47.74,10000,10000,100,0.0
TopConstituents,44.58,45.08,10000,10000,100,0.1
TopConstituents,43.97,44.24,10000,10000,100,0.2
TopConstituents,46.2,46.97,10000,10000,200,0.0
TopConstituents,44.45,44.74,10000,10000,200,0.1
TopConstituents,43.89,43.83,10000,10000,200,0.2
BigramShift,50.06,50.0,10000,10000,50,0.0
BigramShift,50.06,50.04,10000,10000,50,0.1
BigramShift,50.03,50.03,10000,10000,50,0.2
BigramShift,50.03,49.88,10000,10000,100,0.0
BigramShift,50.16,49.95,10000,10000,100,0.1
BigramShift,50.43,49.92,10000,10000,100,0.2
BigramShift,50.22,49.69,10000,10000,200,0.0
BigramShift,50.0,50.0,10000,10000,200,0.1
BigramShift,50.05,49.19,10000,10000,200,0.2
Tense,87.07,85.98,10000,10000,50,0.0
Tense,86.67,85.03,10000,10000,50,0.1
Tense,86.66,85.1,10000,10000,50,0.2
Tense,87.01,85.74,10000,10000,100,0.0
Tense,86.69,85.29,10000,10000,100,0.1
Tense,86.68,85.32,10000,10000,100,0.2
Tense,86.63,85.01,10000,10000,200,0.0
Tense,86.63,85.0,10000,10000,200,0.1
Tense,86.63,85.0,10000,10000,200,0.2
SubjNumber,80.02,79.11,10000,10000,50,0.0
SubjNumber,80.07,79.08,10000,10000,50,0.1
SubjNumber,80.05,79.09,10000,10000,50,0.2
SubjNumber,80.11,78.94,10000,10000,100,0.0
SubjNumber,80.05,79.15,10000,10000,100,0.1
SubjNumber,80.01,78.98,10000,10000,100,0.2
SubjNumber,80.07,78.84,10000,10000,200,0.0
SubjNumber,80.04,78.85,10000,10000,200,0.1
SubjNumber,80.04,78.93,10000,10000,200,0.2
ObjNumber,79.31,79.9,10000,10000,50,0.0
ObjNumber,79.28,79.93,10000,10000,50,0.1
ObjNumber,79.28,80.16,10000,10000,50,0.2
ObjNumber,79.35,79.9,10000,10000,100,0.0
ObjNumber,79.38,80.15,10000,10000,100,0.1
ObjNumber,79.32,80.13,10000,10000,100,0.2
ObjNumber,79.32,79.96,10000,10000,200,0.0
ObjNumber,79.28,80.01,10000,10000,200,0.1
ObjNumber,79.3,80.09,10000,10000,200,0.2
OddManOut,50.19,49.87,10000,10000,50,0.0
OddManOut,50.19,49.87,10000,10000,50,0.1
OddManOut,50.19,49.87,10000,10000,50,0.2
OddManOut,50.19,49.87,10000,10000,100,0.0
OddManOut,50.19,49.87,10000,10000,100,0.1
OddManOut,50.19,49.87,10000,10000,100,0.2
OddManOut,50.25,49.46,10000,10000,200,0.0
OddManOut,50.37,49.65,10000,10000,200,0.1
OddManOut,50.41,49.75,10000,10000,200,0.2
CoordinationInversion,50.29,49.69,10002,10002,50,0.0
CoordinationInversion,50.22,50.24,10002,10002,50,0.1
CoordinationInversion,50.25,49.94,10002,10002,50,0.2
CoordinationInversion,50.13,49.94,10002,10002,100,0.0
CoordinationInversion,50.06,49.88,10002,10002,100,0.1
CoordinationInversion,50.01,50.01,10002,10002,100,0.2
CoordinationInversion,50.15,50.14,10002,10002,200,0.0
CoordinationInversion,50.37,50.2,10002,10002,200,0.1
CoordinationInversion,50.1,50.47,10002,10002,200,0.2
