task,devacc,acc,ndev,ntest,nhid,dropout
Length,95.2,94.87,9996,9996,50,0.0
Length,95.18,94.67,9996,9996,50,0.1
Length,94.66,94.25,9996,9996,50,0.2
Length,95.2,94.56,9996,9996,100,0.0
Length,95.2,94.36,9996,9996,100,0.1
Length,95.04,94.51,9996,9996,100,0.2
Length,95.4,94.81,9996,9996,200,0.0
Length,95.42,94.72,9996,9996,200,0.1
Length,95.36,94.59,9996,9996,200,0.2
WordContent,48.93,49.09,10000,10000,50,0.0
WordContent,48.93,49.09,10000,10000,50,0.1
WordContent,48.93,49.09,10000,10000,50,0.2
WordContent,48.93,49.09,10000,10000,100,0.0
WordContent,48.93,49.09,10000,10000,100,0.1
WordContent,48.93,49.09,10000,10000,100,0.2
WordContent,48.93,49.09,10000,10000,200,0.0
WordContent,48.93,49.09,10000,10000,200,0.1
WordContent,48.93,49.09,10000,10000,200,0.2
Depth,35.83,35.61,10000,10000,50,0.0
Depth,35.76,35.71,10000,10000,50,0.1
Depth,35.77,35.79,10000,10000,50,0.2
Depth,35.75,35.67,10000,10000,100,0.0
Depth,35.7,35.54,10000,10000,100,0.1
Depth,36.18,35.55,10000,10000,100,0.2
Depth,35.59,35.09,10000,10000,200,0.0
Depth,36.03,36.15,10000,10000,200,0.1
Depth,35.98,36.22,10000,10000,200,0.2
TopConstituents,61.35,61.32,10000,10000,50,0.0
TopConstituents,61.16,61.34,10000,10000,50,0.1
TopConstituents,61.25,61.25,10000,10000,50,0.2
TopConstituents,60.98,60.71,10000,10000,100,0.0
TopConstituents,61.12,61.05,10000,10000,100,0.1
TopConstituents,61.06,60.78,10000,10000,100,0.2
TopConstituents,61.01,61.1,10000,10000,200,0.0
TopConstituents,60.84,60.97,10000,10000,200,0.1
TopConstituents,60.9,60.96,10000,10000,200,0.2
BigramShift,50.2,49.47,10000,10000,50,0.0
BigramShift,50.0,49.99,10000,10000,50,0.1
BigramShift,50.09,50.09,10000,10000,50,0.2
BigramShift,50.05,50.01,10000,10000,100,0.0
BigramShift,50.61,49.27,10000,10000,100,0.1
BigramShift,50.69,49.31,10000,10000,100,0.2
BigramShift,50.0,50.0,10000,10000,200,0.0
BigramShift,50.0,50.0,10000,10000,200,0.1
BigramShift,50.0,50.0,10000,10000,200,0.2
Tense,86.79,85.16,10000,10000,50,0.0
Tense,86.69,85.11,10000,10000,50,0.1
Tense,86.69,85.09,10000,10000,50,0.2
Tense,86.66,85.14,10000,10000,100,0.0
Tense,86.71,85.39,10000,10000,100,0.1
Tense,86.71,85.38,10000,10000,100,0.2
Tense,86.77,84.75,10000,10000,200,0.0
Tense,86.76,84.81,10000,10000,200,0.1
Tense,86.77,84.81,10000,10000,200,0.2
SubjNumber,81.91,80.09,10000,10000,50,0.0
SubjNumber,81.93,80.07,10000,10000,50,0.1
SubjNumber,81.94,80.09,10000,10000,50,0.2
SubjNumber,81.96,80.01,10000,10000,100,0.0
SubjNumber,81.95,79.96,10000,10000,100,0.1
SubjNumber,81.91,80.09,10000,10000,100,0.2
SubjNumber,81.84,80.37,10000,10000,200,0.0
SubjNumber,81.8,80.39,10000,10000,200,0.1
SubjNumber,81.74,80.42,10000,10000,200,0.2
ObjNumber,81.45,82.42,10000,10000,50,0.0
ObjNumber,81.47,82.45,10000,10000,50,0.1
ObjNumber,81.46,82.09,10000,10000,50,0.2
ObjNumber,81.46,82.32,10000,10000,100,0.0
ObjNumber,81.46,82.33,10000,10000,100,0.1
ObjNumber,81.46,82.31,10000,10000,100,0.2
ObjNumber,81.46,82.36,10000,10000,200,0.0
ObjNumber,81.49,82.42,10000,10000,200,0.1
ObjNumber,81.5,82.47,10000,10000,200,0.2
OddManOut,50.21,49.9,10000,10000,50,0.0
OddManOut,50.21,49.88,10000,10000,50,0.1
OddManOut,50.2,49.85,10000,10000,50,0.2
OddManOut,50.24,49.89,10000,10000,100,0.0
OddManOut,50.24,49.92,10000,10000,100,0.1
OddManOut,50.2,50.15,10000,10000,100,0.2
OddManOut,50.19,49.87,10000,10000,200,0.0
OddManOut,50.19,49.87,10000,10000,200,0.1
OddManOut,50.19,49.87,10000,10000,200,0.2
CoordinationInversion,50.0,50.0,10002,10002,50,0.0
CoordinationInversion,50.06,49.52,10002,10002,50,0.1
CoordinationInversion,50.0,50.0,10002,10002,50,0.2
CoordinationInversion,50.0,50.0,10002,10002,100,0.0
CoordinationInversion,50.38,49.48,10002,10002,100,0.1
CoordinationInversion,50.0,50.0,10002,10002,100,0.2
CoordinationInversion,50.0,50.0,10002,10002,200,0.0
CoordinationInversion,50.14,50.13,10002,10002,200,0.1
CoordinationInversion,50.56,50.44,10002,10002,200,0.2
