task,devacc,acc,ndev,ntest,nhid,dropout
Length,72.46,73.9,9996,9996,50,0.0
Length,70.94,72.25,9996,9996,50,0.1
Length,70.62,71.82,9996,9996,50,0.2
Length,71.18,73.51,9996,9996,100,0.0
Length,70.65,72.46,9996,9996,100,0.1
Length,70.55,71.88,9996,9996,100,0.2
Length,70.47,72.09,9996,9996,200,0.0
Length,70.28,71.34,9996,9996,200,0.1
Length,70.24,71.07,9996,9996,200,0.2
WordContent,60.85,59.7,10000,10000,50,0.0
WordContent,60.85,59.7,10000,10000,50,0.1
WordContent,60.85,59.7,10000,10000,50,0.2
WordContent,60.85,59.7,10000,10000,100,0.0
WordContent,60.85,59.7,10000,10000,100,0.1
WordContent,60.85,59.7,10000,10000,100,0.2
WordContent,60.85,59.7,10000,10000,200,0.0
WordContent,60.85,59.7,10000,10000,200,0.1
WordContent,60.85,59.7,10000,10000,200,0.2
Depth,35.44,34.85,10000,10000,50,0.0
Depth,35.31,34.6,10000,10000,50,0.1
Depth,35.08,34.35,10000,10000,50,0.2
Depth,35.51,34.84,10000,10000,100,0.0
Depth,35.21,35.04,10000,10000,100,0.1
Depth,35.38,34.96,10000,10000,100,0.2
Depth,34.94,35.53,10000,10000,200,0.0
Depth,34.89,35.09,10000,10000,200,0.1
Depth,34.94,34.97,10000,10000,200,0.2
TopConstituents,61.06,61.07,10000,10000,50,0.0
TopConstituents,60.74,60.37,10000,10000,50,0.1
TopConstituents,60.61,60.71,10000,10000,50,0.2
TopConstituents,60.88,60.62,10000,10000,100,0.0
TopConstituents,60.49,60.49,10000,10000,100,0.1
TopConstituents,60.49,60.24,10000,10000,100,0.2
TopConstituents,60.71,60.4,10000,10000,200,0.0
TopConstituents,60.21,60.02,10000,10000,200,0.1
TopConstituents,60.47,60.28,10000,10000,200,0.2
BigramShift,50.29,48.96,10000,10000,50,0.0
BigramShift,50.37,49.14,10000,10000,50,0.1
BigramShift,50.36,49.51,10000,10000,50,0.2
BigramShift,50.47,49.44,10000,10000,100,0.0
BigramShift,50.35,49.36,10000,10000,100,0.1
BigramShift,50.45,49.13,10000,10000,100,0.2
BigramShift,50.07,49.8,10000,10000,200,0.0
BigramShift,50.0,50.0,10000,10000,200,0.1
BigramShift,50.02,50.01,10000,10000,200,0.2
Tense,86.79,85.03,10000,10000,50,0.0
Tense,86.81,84.98,10000,10000,50,0.1
Tense,86.82,85.01,10000,10000,50,0.2
Tense,86.8,85.24,10000,10000,100,0.0
Tense,86.74,85.24,10000,10000,100,0.1
Tense,86.78,85.24,10000,10000,100,0.2
Tense,86.83,84.8,10000,10000,200,0.0
Tense,86.87,84.75,10000,10000,200,0.1
Tense,86.85,84.82,10000,10000,200,0.2
SubjNumber,81.93,80.07,10000,10000,50,0.0
SubjNumber,81.91,80.08,10000,10000,50,0.1
SubjNumber,81.74,80.28,10000,10000,50,0.2
SubjNumber,81.67,79.82,10000,10000,100,0.0
SubjNumber,82.04,80.15,10000,10000,100,0.1
SubjNumber,81.69,80.02,10000,10000,100,0.2
SubjNumber,81.91,80.38,10000,10000,200,0.0
SubjNumber,81.84,80.31,10000,10000,200,0.1
SubjNumber,81.83,80.38,10000,10000,200,0.2
ObjNumber,81.5,82.01,10000,10000,50,0.0
ObjNumber,81.53,81.99,10000,10000,50,0.1
ObjNumber,81.58,82.07,10000,10000,50,0.2
ObjNumber,81.42,82.41,10000,10000,100,0.0
ObjNumber,81.41,82.47,10000,10000,100,0.1
ObjNumber,81.43,82.49,10000,10000,100,0.2
ObjNumber,81.44,82.28,10000,10000,200,0.0
ObjNumber,81.42,82.35,10000,10000,200,0.1
ObjNumber,81.38,82.35,10000,10000,200,0.2
OddManOut,50.21,49.89,10000,10000,50,0.0
OddManOut,50.22,49.89,10000,10000,50,0.1
OddManOut,50.21,49.87,10000,10000,50,0.2
OddManOut,50.22,49.83,10000,10000,100,0.0
OddManOut,50.23,49.83,10000,10000,100,0.1
OddManOut,50.21,49.86,10000,10000,100,0.2
OddManOut,50.19,49.87,10000,10000,200,0.0
OddManOut,50.19,49.87,10000,10000,200,0.1
OddManOut,50.19,49.87,10000,10000,200,0.2
CoordinationInversion,50.0,50.0,10002,10002,50,0.0
CoordinationInversion,50.14,50.02,10002,10002,50,0.1
CoordinationInversion,50.02,50.02,10002,10002,50,0.2
CoordinationInversion,50.04,49.91,10002,10002,100,0.0
CoordinationInversion,50.34,49.47,10002,10002,100,0.1
CoordinationInversion,50.0,50.0,10002,10002,100,0.2
CoordinationInversion,50.07,50.25,10002,10002,200,0.0
CoordinationInversion,50.03,50.25,10002,10002,200,0.1
CoordinationInversion,50.27,50.22,10002,10002,200,0.2
