task,devacc,acc,ndev,ntest,nhid,dropout
Length,95.19,94.82,9996,9996,50,0.0
Length,95.26,94.73,9996,9996,50,0.1
Length,95.09,94.68,9996,9996,50,0.2
Length,95.3,94.8,9996,9996,100,0.0
Length,95.23,94.44,9996,9996,100,0.1
Length,95.07,94.24,9996,9996,100,0.2
Length,95.48,94.91,9996,9996,200,0.0
Length,95.4,94.76,9996,9996,200,0.1
Length,95.32,94.68,9996,9996,200,0.2
WordContent,48.94,49.08,10000,10000,50,0.0
WordContent,48.94,49.08,10000,10000,50,0.1
WordContent,48.94,49.08,10000,10000,50,0.2
WordContent,48.94,49.08,10000,10000,100,0.0
WordContent,48.94,49.08,10000,10000,100,0.1
WordContent,48.94,49.08,10000,10000,100,0.2
WordContent,48.94,49.08,10000,10000,200,0.0
WordContent,48.94,49.08,10000,10000,200,0.1
WordContent,48.94,49.08,10000,10000,200,0.2
Depth,35.86,35.51,10000,10000,50,0.0
Depth,35.83,35.46,10000,10000,50,0.1
Depth,35.91,35.59,10000,10000,50,0.2
Depth,35.83,35.69,10000,10000,100,0.0
Depth,36.02,35.74,10000,10000,100,0.1
Depth,36.02,35.52,10000,10000,100,0.2
Depth,36.02,36.39,10000,10000,200,0.0
Depth,36.07,36.12,10000,10000,200,0.1
Depth,36.1,36.23,10000,10000,200,0.2
TopConstituents,61.32,61.36,10000,10000,50,0.0
TopConstituents,61.23,61.42,10000,10000,50,0.1
TopConstituents,61.22,61.22,10000,10000,50,0.2
TopConstituents,61.11,60.78,10000,10000,100,0.0
TopConstituents,61.08,60.7,10000,10000,100,0.1
TopConstituents,61.01,60.76,10000,10000,100,0.2
TopConstituents,60.88,61.04,10000,10000,200,0.0
TopConstituents,60.83,60.24,10000,10000,200,0.1
TopConstituents,60.88,60.99,10000,10000,200,0.2
BigramShift,50.24,49.48,10000,10000,50,0.0
BigramShift,50.03,50.29,10000,10000,50,0.1
BigramShift,50.08,50.14,10000,10000,50,0.2
BigramShift,50.04,49.98,10000,10000,100,0.0
BigramShift,50.69,49.27,10000,10000,100,0.1
BigramShift,50.76,49.27,10000,10000,100,0.2
BigramShift,50.0,50.0,10000,10000,200,0.0
BigramShift,50.0,50.0,10000,10000,200,0.1
BigramShift,50.02,49.79,10000,10000,200,0.2
Tense,86.76,85.16,10000,10000,50,0.0
Tense,86.75,85.17,10000,10000,50,0.1
Tense,86.7,85.13,10000,10000,50,0.2
Tense,86.71,85.16,10000,10000,100,0.0
Tense,86.66,85.48,10000,10000,100,0.1
Tense,86.7,85.44,10000,10000,100,0.2
Tense,86.83,84.78,10000,10000,200,0.0
Tense,86.76,84.75,10000,10000,200,0.1
Tense,86.78,84.79,10000,10000,200,0.2
SubjNumber,81.89,80.09,10000,10000,50,0.0
SubjNumber,81.92,80.07,10000,10000,50,0.1
SubjNumber,81.93,80.14,10000,10000,50,0.2
SubjNumber,81.92,80.02,10000,10000,100,0.0
SubjNumber,81.95,80.01,10000,10000,100,0.1
SubjNumber,81.94,80.07,10000,10000,100,0.2
SubjNumber,81.8,80.39,10000,10000,200,0.0
SubjNumber,81.76,80.41,10000,10000,200,0.1
SubjNumber,81.71,80.43,10000,10000,200,0.2
ObjNumber,81.49,82.36,10000,10000,50,0.0
ObjNumber,81.45,82.63,10000,10000,50,0.1
ObjNumber,81.5,82.13,10000,10000,50,0.2
ObjNumber,81.44,82.35,10000,10000,100,0.0
ObjNumber,81.43,82.38,10000,10000,100,0.1
ObjNumber,81.44,82.39,10000,10000,100,0.2
ObjNumber,81.45,82.42,10000,10000,200,0.0
ObjNumber,81.42,82.42,10000,10000,200,0.1
ObjNumber,81.44,82.47,10000,10000,200,0.2
OddManOut,50.21,49.89,10000,10000,50,0.0
OddManOut,50.21,49.88,10000,10000,50,0.1
OddManOut,50.21,49.85,10000,10000,50,0.2
OddManOut,50.24,49.89,10000,10000,100,0.0
OddManOut,50.25,49.89,10000,10000,100,0.1
OddManOut,50.21,49.87,10000,10000,100,0.2
OddManOut,50.19,49.87,10000,10000,200,0.0
OddManOut,50.19,49.87,10000,10000,200,0.1
OddManOut,50.19,49.87,10000,10000,200,0.2
CoordinationInversion,50.0,50.0,10002,10002,50,0.0
CoordinationInversion,50.01,50.0,10002,10002,50,0.1
CoordinationInversion,50.0,50.0,10002,10002,50,0.2
CoordinationInversion,50.0,50.0,10002,10002,100,0.0
CoordinationInversion,50.28,49.51,10002,10002,100,0.1
CoordinationInversion,50.0,50.0,10002,10002,100,0.2
CoordinationInversion,50.0,50.0,10002,10002,200,0.0
CoordinationInversion,50.0,50.0,10002,10002,200,0.1
CoordinationInversion,50.48,50.47,10002,10002,200,0.2
