task,devacc,acc,ndev,ntest,nhid,dropout
Length,72.48,73.9,9996,9996,50,0.0
Length,71.01,72.41,9996,9996,50,0.1
Length,70.73,71.87,9996,9996,50,0.2
Length,71.14,73.72,9996,9996,100,0.0
Length,70.82,72.32,9996,9996,100,0.1
Length,70.46,71.94,9996,9996,100,0.2
Length,70.48,72.3,9996,9996,200,0.0
Length,70.26,71.42,9996,9996,200,0.1
Length,70.29,71.01,9996,9996,200,0.2
WordContent,60.69,59.53,10000,10000,50,0.0
WordContent,60.69,59.53,10000,10000,50,0.1
WordContent,60.69,59.53,10000,10000,50,0.2
WordContent,60.69,59.53,10000,10000,100,0.0
WordContent,60.69,59.53,10000,10000,100,0.1
WordContent,60.69,59.53,10000,10000,100,0.2
WordContent,60.69,59.53,10000,10000,200,0.0
WordContent,60.69,59.53,10000,10000,200,0.1
WordContent,60.69,59.53,10000,10000,200,0.2
Depth,35.5,34.98,10000,10000,50,0.0
Depth,35.26,34.61,10000,10000,50,0.1
Depth,35.13,34.67,10000,10000,50,0.2
Depth,35.45,34.99,10000,10000,100,0.0
Depth,35.42,34.95,10000,10000,100,0.1
Depth,35.34,34.87,10000,10000,100,0.2
Depth,34.96,35.23,10000,10000,200,0.0
Depth,34.94,34.94,10000,10000,200,0.1
Depth,34.9,34.93,10000,10000,200,0.2
TopConstituents,60.99,60.68,10000,10000,50,0.0
TopConstituents,60.63,60.36,10000,10000,50,0.1
TopConstituents,60.64,60.69,10000,10000,50,0.2
TopConstituents,60.9,60.71,10000,10000,100,0.0
TopConstituents,60.71,60.56,10000,10000,100,0.1
TopConstituents,60.45,60.19,10000,10000,100,0.2
TopConstituents,60.43,60.26,10000,10000,200,0.0
TopConstituents,60.29,59.77,10000,10000,200,0.1
TopConstituents,60.21,59.65,10000,10000,200,0.2
BigramShift,50.3,49.81,10000,10000,50,0.0
BigramShift,50.43,49.33,10000,10000,50,0.1
BigramShift,50.44,49.4,10000,10000,50,0.2
BigramShift,50.5,49.41,10000,10000,100,0.0
BigramShift,50.29,49.32,10000,10000,100,0.1
BigramShift,50.43,49.13,10000,10000,100,0.2
BigramShift,50.0,50.0,10000,10000,200,0.0
BigramShift,50.0,50.0,10000,10000,200,0.1
BigramShift,50.05,49.9,10000,10000,200,0.2
Tense,86.77,84.88,10000,10000,50,0.0
Tense,86.76,84.88,10000,10000,50,0.1
Tense,86.79,84.85,10000,10000,50,0.2
Tense,86.69,85.2,10000,10000,100,0.0
Tense,86.69,85.23,10000,10000,100,0.1
Tense,86.7,85.26,10000,10000,100,0.2
Tense,86.75,84.81,10000,10000,200,0.0
Tense,86.73,84.8,10000,10000,200,0.1
Tense,86.8,84.8,10000,10000,200,0.2
SubjNumber,81.83,80.18,10000,10000,50,0.0
SubjNumber,81.87,80.19,10000,10000,50,0.1
SubjNumber,81.85,80.22,10000,10000,50,0.2
SubjNumber,81.76,80.15,10000,10000,100,0.0
SubjNumber,81.78,80.25,10000,10000,100,0.1
SubjNumber,81.85,80.15,10000,10000,100,0.2
SubjNumber,81.72,80.58,10000,10000,200,0.0
SubjNumber,81.76,80.59,10000,10000,200,0.1
SubjNumber,81.79,80.56,10000,10000,200,0.2
ObjNumber,81.48,82.11,10000,10000,50,0.0
ObjNumber,81.55,82.12,10000,10000,50,0.1
ObjNumber,81.58,82.04,10000,10000,50,0.2
ObjNumber,81.46,82.37,10000,10000,100,0.0
ObjNumber,81.55,82.33,10000,10000,100,0.1
ObjNumber,81.53,82.34,10000,10000,100,0.2
ObjNumber,81.36,82.35,10000,10000,200,0.0
ObjNumber,81.36,82.32,10000,10000,200,0.1
ObjNumber,81.43,82.34,10000,10000,200,0.2
OddManOut,50.19,49.86,10000,10000,50,0.0
OddManOut,50.21,49.87,10000,10000,50,0.1
OddManOut,50.2,49.85,10000,10000,50,0.2
OddManOut,50.19,49.87,10000,10000,100,0.0
OddManOut,50.2,49.86,10000,10000,100,0.1
OddManOut,50.2,49.82,10000,10000,100,0.2
OddManOut,50.19,49.87,10000,10000,200,0.0
OddManOut,50.19,49.87,10000,10000,200,0.1
OddManOut,50.19,49.87,10000,10000,200,0.2
CoordinationInversion,50.0,50.0,10002,10002,50,0.0
CoordinationInversion,50.2,50.01,10002,10002,50,0.1
CoordinationInversion,50.02,50.02,10002,10002,50,0.2
CoordinationInversion,50.08,49.8,10002,10002,100,0.0
CoordinationInversion,50.4,49.4,10002,10002,100,0.1
CoordinationInversion,50.0,50.0,10002,10002,100,0.2
CoordinationInversion,50.06,50.21,10002,10002,200,0.0
CoordinationInversion,50.0,50.0,10002,10002,200,0.1
CoordinationInversion,50.26,50.2,10002,10002,200,0.2
