task,devacc,acc,ndev,ntest,nhid,dropout
Length,95.21,94.86,9996,9996,50,0.0
Length,95.23,94.63,9996,9996,50,0.1
Length,95.08,94.68,9996,9996,50,0.2
Length,95.27,94.6,9996,9996,100,0.0
Length,95.24,94.41,9996,9996,100,0.1
Length,95.05,94.44,9996,9996,100,0.2
Length,95.43,94.87,9996,9996,200,0.0
Length,95.42,94.7,9996,9996,200,0.1
Length,95.34,94.6,9996,9996,200,0.2
WordContent,48.91,49.09,10000,10000,50,0.0
WordContent,48.91,49.09,10000,10000,50,0.1
WordContent,48.91,49.09,10000,10000,50,0.2
WordContent,48.91,49.09,10000,10000,100,0.0
WordContent,48.91,49.09,10000,10000,100,0.1
WordContent,48.91,49.09,10000,10000,100,0.2
WordContent,48.91,49.09,10000,10000,200,0.0
WordContent,48.91,49.09,10000,10000,200,0.1
WordContent,48.91,49.09,10000,10000,200,0.2
Depth,35.84,35.53,10000,10000,50,0.0
Depth,35.84,35.45,10000,10000,50,0.1
Depth,35.85,35.56,10000,10000,50,0.2
Depth,35.76,35.66,10000,10000,100,0.0
Depth,35.84,35.98,10000,10000,100,0.1
Depth,36.09,35.53,10000,10000,100,0.2
Depth,35.64,35.11,10000,10000,200,0.0
Depth,35.56,35.22,10000,10000,200,0.1
Depth,35.49,35.04,10000,10000,200,0.2
TopConstituents,61.37,61.33,10000,10000,50,0.0
TopConstituents,61.18,61.39,10000,10000,50,0.1
TopConstituents,61.3,61.25,10000,10000,50,0.2
TopConstituents,61.11,60.71,10000,10000,100,0.0
TopConstituents,61.09,60.66,10000,10000,100,0.1
TopConstituents,61.05,60.74,10000,10000,100,0.2
TopConstituents,60.82,60.99,10000,10000,200,0.0
TopConstituents,60.88,60.97,10000,10000,200,0.1
TopConstituents,60.95,60.96,10000,10000,200,0.2
BigramShift,50.18,49.51,10000,10000,50,0.0
BigramShift,50.0,50.24,10000,10000,50,0.1
BigramShift,50.1,50.11,10000,10000,50,0.2
BigramShift,50.04,49.99,10000,10000,100,0.0
BigramShift,50.66,49.34,10000,10000,100,0.1
BigramShift,50.73,49.2,10000,10000,100,0.2
BigramShift,50.0,50.0,10000,10000,200,0.0
BigramShift,50.0,50.0,10000,10000,200,0.1
BigramShift,50.0,50.0,10000,10000,200,0.2
Tense,86.74,85.15,10000,10000,50,0.0
Tense,86.72,85.12,10000,10000,50,0.1
Tense,86.66,85.13,10000,10000,50,0.2
Tense,86.67,85.14,10000,10000,100,0.0
Tense,86.7,85.45,10000,10000,100,0.1
Tense,86.7,85.41,10000,10000,100,0.2
Tense,86.73,84.82,10000,10000,200,0.0
Tense,86.76,84.81,10000,10000,200,0.1
Tense,86.71,84.79,10000,10000,200,0.2
SubjNumber,81.88,80.1,10000,10000,50,0.0
SubjNumber,81.87,80.16,10000,10000,50,0.1
SubjNumber,81.88,80.11,10000,10000,50,0.2
SubjNumber,81.69,79.81,10000,10000,100,0.0
SubjNumber,81.93,80.03,10000,10000,100,0.1
SubjNumber,81.94,80.1,10000,10000,100,0.2
SubjNumber,81.81,80.38,10000,10000,200,0.0
SubjNumber,81.72,80.39,10000,10000,200,0.1
SubjNumber,81.73,80.36,10000,10000,200,0.2
ObjNumber,81.45,82.39,10000,10000,50,0.0
ObjNumber,81.53,82.34,10000,10000,50,0.1
ObjNumber,81.51,82.28,10000,10000,50,0.2
ObjNumber,81.45,82.54,10000,10000,100,0.0
ObjNumber,81.43,82.31,10000,10000,100,0.1
ObjNumber,81.44,82.36,10000,10000,100,0.2
ObjNumber,81.47,82.44,10000,10000,200,0.0
ObjNumber,81.47,82.45,10000,10000,200,0.1
ObjNumber,81.47,82.44,10000,10000,200,0.2
OddManOut,50.21,49.89,10000,10000,50,0.0
OddManOut,50.21,49.88,10000,10000,50,0.1
OddManOut,50.21,49.85,10000,10000,50,0.2
OddManOut,50.25,49.9,10000,10000,100,0.0
OddManOut,50.24,49.89,10000,10000,100,0.1
OddManOut,50.21,49.88,10000,10000,100,0.2
OddManOut,50.19,49.87,10000,10000,200,0.0
OddManOut,50.19,49.87,10000,10000,200,0.1
OddManOut,50.19,49.87,10000,10000,200,0.2
CoordinationInversion,50.0,50.0,10002,10002,50,0.0
CoordinationInversion,50.1,49.68,10002,10002,50,0.1
CoordinationInversion,50.0,50.0,10002,10002,50,0.2
CoordinationInversion,50.0,50.0,10002,10002,100,0.0
CoordinationInversion,50.31,49.57,10002,10002,100,0.1
CoordinationInversion,50.0,50.0,10002,10002,100,0.2
CoordinationInversion,50.0,50.0,10002,10002,200,0.0
CoordinationInversion,50.07,50.21,10002,10002,200,0.1
CoordinationInversion,50.42,50.44,10002,10002,200,0.2
