task,devacc,acc,ndev,ntest,nhid,dropout
Length,67.13,68.05,9996,9996,50,0.0
WordContent,32.48,32.09,10000,10000,50,0.0
Depth,31.42,31.42,10000,10000,50,0.0
TopConstituents,65.67,65.99,10000,10000,50,0.0
BigramShift,92.34,91.97,10000,10000,50,0.0
Tense,89.05,87.35,10000,10000,50,0.0
SubjNumber,78.55,77.39,10000,10000,50,0.0
ObjNumber,74.79,75.59,10000,10000,50,0.0
OddManOut,69.01,68.43,10000,10000,50,0.0
CoordinationInversion,70.8,70.93,10002,10002,50,0.0
Length,67.13,68.05,9996,9996,100,0.1
WordContent,32.48,32.09,10000,10000,100,0.1
Depth,31.42,31.42,10000,10000,100,0.1
TopConstituents,65.67,65.99,10000,10000,100,0.1
BigramShift,92.34,91.97,10000,10000,100,0.1
Tense,89.05,87.35,10000,10000,100,0.1
SubjNumber,78.55,77.39,10000,10000,100,0.1
ObjNumber,74.79,75.59,10000,10000,100,0.1
OddManOut,69.01,68.43,10000,10000,100,0.1
CoordinationInversion,70.8,70.93,10002,10002,100,0.1
Length,67.13,68.05,9996,9996,100,0.2
WordContent,32.48,32.09,10000,10000,100,0.2
Depth,31.42,31.42,10000,10000,100,0.2
TopConstituents,65.67,65.99,10000,10000,100,0.2
BigramShift,92.34,91.97,10000,10000,100,0.2
Tense,89.05,87.35,10000,10000,100,0.2
SubjNumber,78.55,77.39,10000,10000,100,0.2
ObjNumber,74.79,75.59,10000,10000,100,0.2
OddManOut,69.01,68.43,10000,10000,100,0.2
CoordinationInversion,70.8,70.93,10002,10002,100,0.2
