task,devacc,acc,ndev,ntest,nhid,dropout
Length,44.77,46.29,9996,9996,50,0.0
Length,44.47,46.49,9996,9996,50,0.1
Length,43.8,44.49,9996,9996,50,0.2
Length,46.07,46.91,9996,9996,100,0.0
Length,44.71,45.02,9996,9996,100,0.1
Length,44.22,45.41,9996,9996,100,0.2
Length,44.14,45.36,9996,9996,200,0.0
Length,44.68,45.56,9996,9996,200,0.1
Length,44.09,44.81,9996,9996,200,0.2
WordContent,0.23,0.16,10000,10000,50,0.0
WordContent,0.23,0.16,10000,10000,50,0.1
WordContent,0.23,0.16,10000,10000,50,0.2
WordContent,0.23,0.16,10000,10000,100,0.0
WordContent,0.23,0.16,10000,10000,100,0.1
WordContent,0.23,0.16,10000,10000,100,0.2
WordContent,0.23,0.16,10000,10000,200,0.0
WordContent,0.23,0.16,10000,10000,200,0.1
WordContent,0.23,0.16,10000,10000,200,0.2
Depth,22.29,21.84,10000,10000,50,0.0
Depth,21.68,20.73,10000,10000,50,0.1
Depth,21.59,21.15,10000,10000,50,0.2
Depth,22.59,22.64,10000,10000,100,0.0
Depth,22.07,22.5,10000,10000,100,0.1
Depth,21.87,22.18,10000,10000,100,0.2
Depth,22.72,22.1,10000,10000,200,0.0
Depth,22.42,22.27,10000,10000,200,0.1
Depth,21.72,21.42,10000,10000,200,0.2
TopConstituents,31.78,32.12,10000,10000,50,0.0
TopConstituents,28.33,29.13,10000,10000,50,0.1
TopConstituents,28.0,28.76,10000,10000,50,0.2
TopConstituents,31.62,31.57,10000,10000,100,0.0
TopConstituents,27.47,27.43,10000,10000,100,0.1
TopConstituents,30.08,30.07,10000,10000,100,0.2
TopConstituents,31.06,31.08,10000,10000,200,0.0
TopConstituents,29.67,29.57,10000,10000,200,0.1
TopConstituents,28.97,29.44,10000,10000,200,0.2
BigramShift,63.95,63.0,10000,10000,50,0.0
BigramShift,63.66,62.92,10000,10000,50,0.1
BigramShift,63.61,62.72,10000,10000,50,0.2
BigramShift,63.99,62.83,10000,10000,100,0.0
BigramShift,63.87,62.81,10000,10000,100,0.1
BigramShift,62.8,61.84,10000,10000,100,0.2
BigramShift,64.04,62.95,10000,10000,200,0.0
BigramShift,62.84,61.85,10000,10000,200,0.1
BigramShift,62.82,61.87,10000,10000,200,0.2
Tense,61.79,58.71,10000,10000,50,0.0
Tense,61.82,58.2,10000,10000,50,0.1
Tense,61.85,57.92,10000,10000,50,0.2
Tense,61.68,58.26,10000,10000,100,0.0
Tense,61.68,58.34,10000,10000,100,0.1
Tense,61.54,58.3,10000,10000,100,0.2
Tense,61.69,58.4,10000,10000,200,0.0
Tense,61.62,58.16,10000,10000,200,0.1
Tense,61.57,58.23,10000,10000,200,0.2
SubjNumber,65.03,63.31,10000,10000,50,0.0
SubjNumber,64.34,62.39,10000,10000,50,0.1
SubjNumber,62.66,61.07,10000,10000,50,0.2
SubjNumber,65.25,63.07,10000,10000,100,0.0
SubjNumber,63.12,61.57,10000,10000,100,0.1
SubjNumber,63.61,61.55,10000,10000,100,0.2
SubjNumber,64.8,62.77,10000,10000,200,0.0
SubjNumber,63.47,61.59,10000,10000,200,0.1
SubjNumber,64.15,62.11,10000,10000,200,0.2
ObjNumber,51.2,51.27,10000,10000,50,0.0
ObjNumber,51.15,51.21,10000,10000,50,0.1
ObjNumber,51.19,51.36,10000,10000,50,0.2
ObjNumber,51.15,51.23,10000,10000,100,0.0
ObjNumber,51.29,51.27,10000,10000,100,0.1
ObjNumber,51.18,51.14,10000,10000,100,0.2
ObjNumber,51.23,51.3,10000,10000,200,0.0
ObjNumber,51.2,51.35,10000,10000,200,0.1
ObjNumber,51.17,51.2,10000,10000,200,0.2
OddManOut,50.46,50.41,10000,10000,50,0.0
OddManOut,50.63,50.43,10000,10000,50,0.1
OddManOut,50.54,50.41,10000,10000,50,0.2
OddManOut,50.54,50.34,10000,10000,100,0.0
OddManOut,50.64,50.37,10000,10000,100,0.1
OddManOut,50.48,49.62,10000,10000,100,0.2
OddManOut,50.6,50.28,10000,10000,200,0.0
OddManOut,50.54,50.21,10000,10000,200,0.1
OddManOut,50.34,49.2,10000,10000,200,0.2
CoordinationInversion,50.23,50.98,10002,10002,50,0.0
CoordinationInversion,50.21,51.2,10002,10002,50,0.1
CoordinationInversion,50.91,51.04,10002,10002,50,0.2
CoordinationInversion,50.2,50.94,10002,10002,100,0.0
CoordinationInversion,50.37,50.95,10002,10002,100,0.1
CoordinationInversion,50.27,51.05,10002,10002,100,0.2
CoordinationInversion,50.17,51.23,10002,10002,200,0.0
CoordinationInversion,50.41,50.81,10002,10002,200,0.1
CoordinationInversion,50.57,49.46,10002,10002,200,0.2
