task,devacc,acc,ndev,ntest,nhid,dropout
Length,98.95,99.0,9996,9996,50,0.0
Length,98.9,98.85,9996,9996,50,0.1
Length,98.58,98.64,9996,9996,50,0.2
Length,98.79,98.64,9996,9996,100,0.0
Length,98.96,99.05,9996,9996,100,0.1
Length,98.99,98.96,9996,9996,100,0.2
Length,98.64,98.58,9996,9996,200,0.0
Length,98.81,98.98,9996,9996,200,0.1
Length,98.8,98.81,9996,9996,200,0.2
WordContent,89.37,88.61,10000,10000,50,0.0
WordContent,89.37,88.61,10000,10000,50,0.1
WordContent,89.37,88.61,10000,10000,50,0.2
WordContent,89.37,88.61,10000,10000,100,0.0
WordContent,89.37,88.61,10000,10000,100,0.1
WordContent,89.37,88.61,10000,10000,100,0.2
WordContent,89.37,88.61,10000,10000,200,0.0
WordContent,89.37,88.61,10000,10000,200,0.1
WordContent,89.37,88.61,10000,10000,200,0.2
Depth,38.61,39.4,10000,10000,50,0.0
Depth,38.46,38.24,10000,10000,50,0.1
Depth,37.55,37.81,10000,10000,50,0.2
Depth,39.62,39.97,10000,10000,100,0.0
Depth,38.54,39.67,10000,10000,100,0.1
Depth,38.35,38.74,10000,10000,100,0.2
Depth,39.78,40.45,10000,10000,200,0.0
Depth,39.99,39.92,10000,10000,200,0.1
Depth,38.99,39.9,10000,10000,200,0.2
TopConstituents,63.76,63.03,10000,10000,50,0.0
TopConstituents,63.79,63.05,10000,10000,50,0.1
TopConstituents,63.46,62.57,10000,10000,50,0.2
TopConstituents,64.64,64.6,10000,10000,100,0.0
TopConstituents,65.27,64.44,10000,10000,100,0.1
TopConstituents,64.41,63.58,10000,10000,100,0.2
TopConstituents,64.67,64.0,10000,10000,200,0.0
TopConstituents,65.7,64.69,10000,10000,200,0.1
TopConstituents,64.99,63.93,10000,10000,200,0.2
BigramShift,50.78,50.97,10000,10000,50,0.0
BigramShift,51.06,51.2,10000,10000,50,0.1
BigramShift,50.77,51.19,10000,10000,50,0.2
BigramShift,51.35,51.06,10000,10000,100,0.0
BigramShift,51.14,51.04,10000,10000,100,0.1
BigramShift,50.96,51.04,10000,10000,100,0.2
BigramShift,51.4,51.11,10000,10000,200,0.0
BigramShift,50.97,51.0,10000,10000,200,0.1
BigramShift,51.34,51.55,10000,10000,200,0.2
Tense,86.77,85.5,10000,10000,50,0.0
Tense,86.88,86.1,10000,10000,50,0.1
Tense,86.88,85.73,10000,10000,50,0.2
Tense,86.84,85.91,10000,10000,100,0.0
Tense,86.82,85.91,10000,10000,100,0.1
Tense,87.02,85.56,10000,10000,100,0.2
Tense,86.8,85.73,10000,10000,200,0.0
Tense,86.76,86.19,10000,10000,200,0.1
Tense,87.15,85.76,10000,10000,200,0.2
SubjNumber,81.08,79.15,10000,10000,50,0.0
SubjNumber,81.07,79.06,10000,10000,50,0.1
SubjNumber,81.04,78.94,10000,10000,50,0.2
SubjNumber,81.02,78.89,10000,10000,100,0.0
SubjNumber,81.31,79.07,10000,10000,100,0.1
SubjNumber,81.42,79.06,10000,10000,100,0.2
SubjNumber,80.98,78.85,10000,10000,200,0.0
SubjNumber,81.09,79.36,10000,10000,200,0.1
SubjNumber,81.23,79.27,10000,10000,200,0.2
ObjNumber,78.16,79.59,10000,10000,50,0.0
ObjNumber,79.1,80.46,10000,10000,50,0.1
ObjNumber,78.91,80.2,10000,10000,50,0.2
ObjNumber,78.07,79.99,10000,10000,100,0.0
ObjNumber,78.46,80.13,10000,10000,100,0.1
ObjNumber,78.81,80.33,10000,10000,100,0.2
ObjNumber,78.12,79.75,10000,10000,200,0.0
ObjNumber,78.61,80.3,10000,10000,200,0.1
ObjNumber,79.07,80.45,10000,10000,200,0.2
OddManOut,51.83,52.11,10000,10000,50,0.0
OddManOut,52.06,51.22,10000,10000,50,0.1
OddManOut,50.69,51.09,10000,10000,50,0.2
OddManOut,51.69,51.49,10000,10000,100,0.0
OddManOut,51.44,52.14,10000,10000,100,0.1
OddManOut,50.98,51.41,10000,10000,100,0.2
OddManOut,51.88,52.42,10000,10000,200,0.0
OddManOut,51.53,51.74,10000,10000,200,0.1
OddManOut,50.55,51.3,10000,10000,200,0.2
CoordinationInversion,51.08,50.87,10002,10002,50,0.0
CoordinationInversion,50.7,50.59,10002,10002,50,0.1
CoordinationInversion,50.97,51.58,10002,10002,50,0.2
CoordinationInversion,51.42,50.75,10002,10002,100,0.0
CoordinationInversion,51.28,51.27,10002,10002,100,0.1
CoordinationInversion,50.9,51.38,10002,10002,100,0.2
CoordinationInversion,51.44,52.19,10002,10002,200,0.0
CoordinationInversion,51.41,51.66,10002,10002,200,0.1
CoordinationInversion,50.65,51.77,10002,10002,200,0.2
