task,devacc,acc,ndev,ntest,nhid,dropout
Length,67.46,68.06,9996,9996,50,0.0
Length,66.54,67.41,9996,9996,50,0.1
Length,65.97,66.91,9996,9996,50,0.2
Length,67.2,68.22,9996,9996,100,0.0
Length,67.17,68.07,9996,9996,100,0.1
Length,65.99,66.97,9996,9996,100,0.2
Length,66.68,67.1,9996,9996,200,0.0
Length,65.78,66.9,9996,9996,200,0.1
Length,64.91,66.54,9996,9996,200,0.2
WordContent,2.31,2.23,10000,10000,50,0.0
WordContent,2.31,2.23,10000,10000,50,0.1
WordContent,2.31,2.23,10000,10000,50,0.2
WordContent,2.31,2.23,10000,10000,100,0.0
WordContent,2.31,2.23,10000,10000,100,0.1
WordContent,2.31,2.23,10000,10000,100,0.2
WordContent,2.31,2.23,10000,10000,200,0.0
WordContent,2.31,2.23,10000,10000,200,0.1
WordContent,2.31,2.23,10000,10000,200,0.2
Depth,32.44,32.88,10000,10000,50,0.0
Depth,31.63,31.33,10000,10000,50,0.1
Depth,31.59,32.31,10000,10000,50,0.2
Depth,32.87,32.89,10000,10000,100,0.0
Depth,31.65,31.22,10000,10000,100,0.1
Depth,31.41,31.87,10000,10000,100,0.2
Depth,32.5,33.06,10000,10000,200,0.0
Depth,31.46,32.04,10000,10000,200,0.1
Depth,31.23,31.41,10000,10000,200,0.2
TopConstituents,65.2,64.79,10000,10000,50,0.0
TopConstituents,64.52,64.77,10000,10000,50,0.1
TopConstituents,65.58,66.07,10000,10000,50,0.2
TopConstituents,65.21,65.46,10000,10000,100,0.0
TopConstituents,64.6,64.77,10000,10000,100,0.1
TopConstituents,64.75,64.65,10000,10000,100,0.2
TopConstituents,65.54,65.63,10000,10000,200,0.0
TopConstituents,64.69,64.64,10000,10000,200,0.1
TopConstituents,64.81,64.76,10000,10000,200,0.2
BigramShift,68.97,68.71,10000,10000,50,0.0
BigramShift,68.81,68.48,10000,10000,50,0.1
BigramShift,68.84,68.55,10000,10000,50,0.2
BigramShift,68.99,68.88,10000,10000,100,0.0
BigramShift,68.91,68.75,10000,10000,100,0.1
BigramShift,68.87,68.9,10000,10000,100,0.2
BigramShift,68.97,68.83,10000,10000,200,0.0
BigramShift,68.9,68.78,10000,10000,200,0.1
BigramShift,69.0,68.66,10000,10000,200,0.2
Tense,77.61,75.61,10000,10000,50,0.0
Tense,75.4,73.75,10000,10000,50,0.1
Tense,76.13,74.07,10000,10000,50,0.2
Tense,76.32,74.15,10000,10000,100,0.0
Tense,75.45,73.72,10000,10000,100,0.1
Tense,75.08,71.73,10000,10000,100,0.2
Tense,76.48,75.45,10000,10000,200,0.0
Tense,76.68,75.16,10000,10000,200,0.1
Tense,75.63,73.33,10000,10000,200,0.2
SubjNumber,78.87,77.5,10000,10000,50,0.0
SubjNumber,78.54,77.05,10000,10000,50,0.1
SubjNumber,78.49,77.53,10000,10000,50,0.2
SubjNumber,79.25,78.05,10000,10000,100,0.0
SubjNumber,78.47,77.46,10000,10000,100,0.1
SubjNumber,78.33,76.86,10000,10000,100,0.2
SubjNumber,78.93,77.57,10000,10000,200,0.0
SubjNumber,78.83,77.45,10000,10000,200,0.1
SubjNumber,78.42,77.08,10000,10000,200,0.2
ObjNumber,76.68,77.83,10000,10000,50,0.0
ObjNumber,75.6,76.67,10000,10000,50,0.1
ObjNumber,75.41,76.32,10000,10000,50,0.2
ObjNumber,76.54,77.61,10000,10000,100,0.0
ObjNumber,75.62,76.81,10000,10000,100,0.1
ObjNumber,75.61,76.89,10000,10000,100,0.2
ObjNumber,76.46,78.07,10000,10000,200,0.0
ObjNumber,75.76,77.13,10000,10000,200,0.1
ObjNumber,75.64,76.92,10000,10000,200,0.2
OddManOut,51.43,50.67,10000,10000,50,0.0
OddManOut,51.0,50.16,10000,10000,50,0.1
OddManOut,51.36,49.99,10000,10000,50,0.2
OddManOut,51.34,50.69,10000,10000,100,0.0
OddManOut,51.1,50.7,10000,10000,100,0.1
OddManOut,51.2,50.3,10000,10000,100,0.2
OddManOut,51.59,49.95,10000,10000,200,0.0
OddManOut,51.08,50.38,10000,10000,200,0.1
OddManOut,50.99,50.5,10000,10000,200,0.2
CoordinationInversion,55.5,55.45,10002,10002,50,0.0
CoordinationInversion,55.69,54.78,10002,10002,50,0.1
CoordinationInversion,55.76,56.15,10002,10002,50,0.2
CoordinationInversion,55.8,55.94,10002,10002,100,0.0
CoordinationInversion,55.51,54.77,10002,10002,100,0.1
CoordinationInversion,55.91,55.79,10002,10002,100,0.2
CoordinationInversion,55.75,55.39,10002,10002,200,0.0
CoordinationInversion,55.46,55.64,10002,10002,200,0.1
CoordinationInversion,55.05,54.67,10002,10002,200,0.2
