task,devacc,acc,ndev,ntest,nhid,dropout
Length,98.51,98.32,9996,9996,50,0.0
Length,98.23,98.16,9996,9996,50,0.1
Length,98.14,98.22,9996,9996,50,0.2
Length,98.38,98.25,9996,9996,100,0.0
Length,98.3,98.1,9996,9996,100,0.1
Length,98.33,98.28,9996,9996,100,0.2
Length,98.36,98.35,9996,9996,200,0.0
Length,98.4,98.44,9996,9996,200,0.1
Length,98.32,98.28,9996,9996,200,0.2
WordContent,76.33,76.61,10000,10000,50,0.0
WordContent,76.33,76.61,10000,10000,50,0.1
WordContent,76.33,76.61,10000,10000,50,0.2
WordContent,76.33,76.61,10000,10000,100,0.0
WordContent,76.33,76.61,10000,10000,100,0.1
WordContent,76.33,76.61,10000,10000,100,0.2
WordContent,76.33,76.61,10000,10000,200,0.0
WordContent,76.33,76.61,10000,10000,200,0.1
WordContent,76.33,76.61,10000,10000,200,0.2
Depth,39.0,38.38,10000,10000,50,0.0
Depth,38.83,38.28,10000,10000,50,0.1
Depth,38.43,38.01,10000,10000,50,0.2
Depth,40.08,40.13,10000,10000,100,0.0
Depth,39.64,39.7,10000,10000,100,0.1
Depth,39.08,38.4,10000,10000,100,0.2
Depth,40.33,40.08,10000,10000,200,0.0
Depth,40.27,39.22,10000,10000,200,0.1
Depth,39.95,38.91,10000,10000,200,0.2
TopConstituents,76.46,75.9,10000,10000,50,0.0
TopConstituents,76.14,75.5,10000,10000,50,0.1
TopConstituents,75.98,75.47,10000,10000,50,0.2
TopConstituents,76.39,76.08,10000,10000,100,0.0
TopConstituents,76.76,75.78,10000,10000,100,0.1
TopConstituents,76.82,75.98,10000,10000,100,0.2
TopConstituents,76.74,76.57,10000,10000,200,0.0
TopConstituents,77.23,76.44,10000,10000,200,0.1
TopConstituents,77.12,76.27,10000,10000,200,0.2
BigramShift,58.37,57.8,10000,10000,50,0.0
BigramShift,59.08,58.09,10000,10000,50,0.1
BigramShift,58.86,57.53,10000,10000,50,0.2
BigramShift,58.53,57.55,10000,10000,100,0.0
BigramShift,58.93,57.6,10000,10000,100,0.1
BigramShift,58.85,57.46,10000,10000,100,0.2
BigramShift,58.93,58.07,10000,10000,200,0.0
BigramShift,58.88,57.16,10000,10000,200,0.1
BigramShift,59.28,58.43,10000,10000,200,0.2
Tense,69.38,66.29,10000,10000,50,0.0
Tense,69.49,66.82,10000,10000,50,0.1
Tense,69.56,67.23,10000,10000,50,0.2
Tense,69.52,66.24,10000,10000,100,0.0
Tense,69.68,66.83,10000,10000,100,0.1
Tense,69.74,66.42,10000,10000,100,0.2
Tense,69.8,67.03,10000,10000,200,0.0
Tense,69.43,66.14,10000,10000,200,0.1
Tense,69.69,67.42,10000,10000,200,0.2
SubjNumber,75.47,75.52,10000,10000,50,0.0
SubjNumber,75.42,74.97,10000,10000,50,0.1
SubjNumber,75.24,75.48,10000,10000,50,0.2
SubjNumber,75.53,74.84,10000,10000,100,0.0
SubjNumber,75.67,75.65,10000,10000,100,0.1
SubjNumber,75.43,75.28,10000,10000,100,0.2
SubjNumber,75.3,74.91,10000,10000,200,0.0
SubjNumber,75.44,75.32,10000,10000,200,0.1
SubjNumber,75.37,75.53,10000,10000,200,0.2
ObjNumber,68.0,67.64,10000,10000,50,0.0
ObjNumber,67.78,68.15,10000,10000,50,0.1
ObjNumber,67.92,68.5,10000,10000,50,0.2
ObjNumber,67.87,67.54,10000,10000,100,0.0
ObjNumber,68.11,67.77,10000,10000,100,0.1
ObjNumber,68.08,67.86,10000,10000,100,0.2
ObjNumber,67.74,68.19,10000,10000,200,0.0
ObjNumber,67.82,67.77,10000,10000,200,0.1
ObjNumber,68.01,68.11,10000,10000,200,0.2
OddManOut,50.47,49.68,10000,10000,50,0.0
OddManOut,50.69,49.55,10000,10000,50,0.1
OddManOut,50.65,49.26,10000,10000,50,0.2
OddManOut,50.78,49.56,10000,10000,100,0.0
OddManOut,50.53,49.79,10000,10000,100,0.1
OddManOut,50.9,49.64,10000,10000,100,0.2
OddManOut,50.79,49.75,10000,10000,200,0.0
OddManOut,50.79,50.12,10000,10000,200,0.1
OddManOut,50.62,49.98,10000,10000,200,0.2
CoordinationInversion,61.02,60.52,10002,10002,50,0.0
CoordinationInversion,60.78,59.84,10002,10002,50,0.1
CoordinationInversion,60.73,59.81,10002,10002,50,0.2
CoordinationInversion,61.12,59.5,10002,10002,100,0.0
CoordinationInversion,60.66,61.05,10002,10002,100,0.1
CoordinationInversion,60.52,60.54,10002,10002,100,0.2
CoordinationInversion,61.08,60.04,10002,10002,200,0.0
CoordinationInversion,60.91,60.38,10002,10002,200,0.1
CoordinationInversion,60.7,60.63,10002,10002,200,0.2
