task,devacc,acc,ndev,ntest,nhid,dropout
Length,98.91,99.03,9996,9996,50,0.0
Length,99.0,99.08,9996,9996,50,0.1
Length,98.73,98.85,9996,9996,50,0.2
Length,99.02,99.1,9996,9996,100,0.0
Length,98.88,99.12,9996,9996,100,0.1
Length,98.87,99.02,9996,9996,100,0.2
Length,98.96,99.08,9996,9996,200,0.0
Length,98.87,99.06,9996,9996,200,0.1
Length,98.78,99.05,9996,9996,200,0.2
WordContent,87.21,86.83,10000,10000,50,0.0
WordContent,87.21,86.83,10000,10000,50,0.1
WordContent,87.21,86.83,10000,10000,50,0.2
WordContent,87.21,86.83,10000,10000,100,0.0
WordContent,87.21,86.83,10000,10000,100,0.1
WordContent,87.21,86.83,10000,10000,100,0.2
WordContent,87.21,86.83,10000,10000,200,0.0
WordContent,87.21,86.83,10000,10000,200,0.1
WordContent,87.21,86.83,10000,10000,200,0.2
Depth,37.5,37.26,10000,10000,50,0.0
Depth,37.21,37.97,10000,10000,50,0.1
Depth,36.5,36.58,10000,10000,50,0.2
Depth,37.97,37.85,10000,10000,100,0.0
Depth,38.5,38.48,10000,10000,100,0.1
Depth,37.57,37.26,10000,10000,100,0.2
Depth,38.66,38.72,10000,10000,200,0.0
Depth,38.38,38.1,10000,10000,200,0.1
Depth,38.24,37.91,10000,10000,200,0.2
TopConstituents,61.42,60.39,10000,10000,50,0.0
TopConstituents,61.6,60.15,10000,10000,50,0.1
TopConstituents,61.05,60.15,10000,10000,50,0.2
TopConstituents,62.09,61.65,10000,10000,100,0.0
TopConstituents,62.53,61.79,10000,10000,100,0.1
TopConstituents,61.56,61.07,10000,10000,100,0.2
TopConstituents,62.52,61.32,10000,10000,200,0.0
TopConstituents,62.59,62.39,10000,10000,200,0.1
TopConstituents,62.86,61.76,10000,10000,200,0.2
BigramShift,51.52,50.35,10000,10000,50,0.0
BigramShift,51.39,50.65,10000,10000,50,0.1
BigramShift,51.23,50.0,10000,10000,50,0.2
BigramShift,51.0,50.26,10000,10000,100,0.0
BigramShift,51.32,50.51,10000,10000,100,0.1
BigramShift,51.17,50.26,10000,10000,100,0.2
BigramShift,50.92,51.47,10000,10000,200,0.0
BigramShift,52.01,50.7,10000,10000,200,0.1
BigramShift,50.79,50.26,10000,10000,200,0.2
Tense,69.2,65.94,10000,10000,50,0.0
Tense,69.05,65.39,10000,10000,50,0.1
Tense,68.61,65.19,10000,10000,50,0.2
Tense,69.33,66.1,10000,10000,100,0.0
Tense,68.85,65.13,10000,10000,100,0.1
Tense,68.6,64.54,10000,10000,100,0.2
Tense,69.07,65.91,10000,10000,200,0.0
Tense,69.3,65.77,10000,10000,200,0.1
Tense,68.94,65.8,10000,10000,200,0.2
SubjNumber,73.44,73.11,10000,10000,50,0.0
SubjNumber,73.46,72.8,10000,10000,50,0.1
SubjNumber,73.34,72.8,10000,10000,50,0.2
SubjNumber,73.46,72.93,10000,10000,100,0.0
SubjNumber,73.63,73.5,10000,10000,100,0.1
SubjNumber,73.57,72.83,10000,10000,100,0.2
SubjNumber,73.52,72.88,10000,10000,200,0.0
SubjNumber,73.74,72.77,10000,10000,200,0.1
SubjNumber,73.46,73.5,10000,10000,200,0.2
ObjNumber,66.72,66.16,10000,10000,50,0.0
ObjNumber,67.04,66.01,10000,10000,50,0.1
ObjNumber,66.66,66.01,10000,10000,50,0.2
ObjNumber,66.9,66.41,10000,10000,100,0.0
ObjNumber,67.03,66.08,10000,10000,100,0.1
ObjNumber,66.96,66.1,10000,10000,100,0.2
ObjNumber,66.84,66.19,10000,10000,200,0.0
ObjNumber,66.99,66.32,10000,10000,200,0.1
ObjNumber,66.87,66.31,10000,10000,200,0.2
OddManOut,50.6,50.3,10000,10000,50,0.0
OddManOut,50.71,49.85,10000,10000,50,0.1
OddManOut,50.48,50.35,10000,10000,50,0.2
OddManOut,51.04,49.6,10000,10000,100,0.0
OddManOut,50.5,50.22,10000,10000,100,0.1
OddManOut,50.35,49.89,10000,10000,100,0.2
OddManOut,50.66,49.66,10000,10000,200,0.0
OddManOut,50.45,50.48,10000,10000,200,0.1
OddManOut,50.56,50.28,10000,10000,200,0.2
CoordinationInversion,52.09,51.39,10002,10002,50,0.0
CoordinationInversion,52.48,51.41,10002,10002,50,0.1
CoordinationInversion,52.23,51.22,10002,10002,50,0.2
CoordinationInversion,52.61,52.1,10002,10002,100,0.0
CoordinationInversion,52.75,51.44,10002,10002,100,0.1
CoordinationInversion,52.14,51.62,10002,10002,100,0.2
CoordinationInversion,52.85,51.53,10002,10002,200,0.0
CoordinationInversion,52.33,51.42,10002,10002,200,0.1
CoordinationInversion,52.28,51.94,10002,10002,200,0.2
