task,devacc,acc,ndev,ntest,nhid,dropout
Length,56.35,56.31,9996,9996,50,0.0
Length,56.47,56.49,9996,9996,50,0.1
Length,55.88,57.04,9996,9996,50,0.2
Length,56.6,56.45,9996,9996,100,0.0
Length,56.64,56.5,9996,9996,100,0.1
Length,56.03,55.47,9996,9996,100,0.2
Length,56.42,55.78,9996,9996,200,0.0
Length,55.55,55.08,9996,9996,200,0.1
Length,55.59,55.97,9996,9996,200,0.2
WordContent,0.95,0.82,10000,10000,50,0.0
WordContent,0.95,0.82,10000,10000,50,0.1
WordContent,0.95,0.82,10000,10000,50,0.2
WordContent,0.95,0.82,10000,10000,100,0.0
WordContent,0.95,0.82,10000,10000,100,0.1
WordContent,0.95,0.82,10000,10000,100,0.2
WordContent,0.95,0.82,10000,10000,200,0.0
WordContent,0.95,0.82,10000,10000,200,0.1
WordContent,0.95,0.82,10000,10000,200,0.2
Depth,27.95,27.42,10000,10000,50,0.0
Depth,27.87,28.42,10000,10000,50,0.1
Depth,27.34,28.06,10000,10000,50,0.2
Depth,27.04,26.43,10000,10000,100,0.0
Depth,27.76,28.52,10000,10000,100,0.1
Depth,26.58,26.13,10000,10000,100,0.2
Depth,28.23,28.69,10000,10000,200,0.0
Depth,26.53,25.85,10000,10000,200,0.1
Depth,26.64,26.71,10000,10000,200,0.2
TopConstituents,49.36,49.45,10000,10000,50,0.0
TopConstituents,48.73,49.56,10000,10000,50,0.1
TopConstituents,50.57,51.39,10000,10000,50,0.2
TopConstituents,47.23,47.4,10000,10000,100,0.0
TopConstituents,48.58,48.83,10000,10000,100,0.1
TopConstituents,49.75,49.83,10000,10000,100,0.2
TopConstituents,47.18,46.88,10000,10000,200,0.0
TopConstituents,48.38,48.53,10000,10000,200,0.1
TopConstituents,49.44,49.72,10000,10000,200,0.2
BigramShift,70.96,69.57,10000,10000,50,0.0
BigramShift,70.48,69.38,10000,10000,50,0.1
BigramShift,70.37,69.2,10000,10000,50,0.2
BigramShift,70.83,69.61,10000,10000,100,0.0
BigramShift,70.63,69.45,10000,10000,100,0.1
BigramShift,70.5,69.2,10000,10000,100,0.2
BigramShift,70.72,69.54,10000,10000,200,0.0
BigramShift,70.46,69.34,10000,10000,200,0.1
BigramShift,70.42,69.22,10000,10000,200,0.2
Tense,67.94,64.9,10000,10000,50,0.0
Tense,67.24,63.22,10000,10000,50,0.1
Tense,65.55,61.62,10000,10000,50,0.2
Tense,69.38,67.34,10000,10000,100,0.0
Tense,66.72,63.84,10000,10000,100,0.1
Tense,66.2,63.49,10000,10000,100,0.2
Tense,69.81,67.83,10000,10000,200,0.0
Tense,67.23,63.37,10000,10000,200,0.1
Tense,65.11,61.27,10000,10000,200,0.2
SubjNumber,74.81,73.4,10000,10000,50,0.0
SubjNumber,74.2,72.21,10000,10000,50,0.1
SubjNumber,74.61,73.56,10000,10000,50,0.2
SubjNumber,75.29,74.92,10000,10000,100,0.0
SubjNumber,74.08,72.12,10000,10000,100,0.1
SubjNumber,74.05,73.55,10000,10000,100,0.2
SubjNumber,74.84,73.51,10000,10000,200,0.0
SubjNumber,73.73,71.67,10000,10000,200,0.1
SubjNumber,73.77,72.89,10000,10000,200,0.2
ObjNumber,68.32,69.43,10000,10000,50,0.0
ObjNumber,65.69,66.33,10000,10000,50,0.1
ObjNumber,67.04,67.93,10000,10000,50,0.2
ObjNumber,68.55,69.83,10000,10000,100,0.0
ObjNumber,67.38,69.02,10000,10000,100,0.1
ObjNumber,66.98,68.4,10000,10000,100,0.2
ObjNumber,68.13,69.75,10000,10000,200,0.0
ObjNumber,67.24,68.67,10000,10000,200,0.1
ObjNumber,67.05,68.93,10000,10000,200,0.2
OddManOut,51.73,50.59,10000,10000,50,0.0
OddManOut,51.6,50.81,10000,10000,50,0.1
OddManOut,51.58,50.67,10000,10000,50,0.2
OddManOut,51.85,50.8,10000,10000,100,0.0
OddManOut,51.57,50.72,10000,10000,100,0.1
OddManOut,51.61,50.53,10000,10000,100,0.2
OddManOut,51.58,50.39,10000,10000,200,0.0
OddManOut,51.78,50.24,10000,10000,200,0.1
OddManOut,51.78,50.42,10000,10000,200,0.2
CoordinationInversion,50.83,51.05,10002,10002,50,0.0
CoordinationInversion,50.33,49.3,10002,10002,50,0.1
CoordinationInversion,50.45,50.93,10002,10002,50,0.2
CoordinationInversion,51.02,51.4,10002,10002,100,0.0
CoordinationInversion,51.33,50.87,10002,10002,100,0.1
CoordinationInversion,50.36,51.3,10002,10002,100,0.2
CoordinationInversion,50.96,51.27,10002,10002,200,0.0
CoordinationInversion,50.73,50.59,10002,10002,200,0.1
CoordinationInversion,50.37,49.72,10002,10002,200,0.2
