task,devacc,acc,ndev,ntest,nhid,dropout
Length,98.6,98.6,9996,9996,50,0.0
Length,98.5,98.57,9996,9996,50,0.1
Length,98.3,98.35,9996,9996,50,0.2
Length,98.51,98.71,9996,9996,100,0.0
Length,98.5,98.63,9996,9996,100,0.1
Length,98.38,98.43,9996,9996,100,0.2
Length,98.46,98.56,9996,9996,200,0.0
Length,98.34,98.58,9996,9996,200,0.1
Length,98.4,98.44,9996,9996,200,0.2
WordContent,84.59,84.33,10000,10000,50,0.0
WordContent,84.59,84.33,10000,10000,50,0.1
WordContent,84.59,84.33,10000,10000,50,0.2
WordContent,84.59,84.33,10000,10000,100,0.0
WordContent,84.59,84.33,10000,10000,100,0.1
WordContent,84.59,84.33,10000,10000,100,0.2
WordContent,84.59,84.33,10000,10000,200,0.0
WordContent,84.59,84.33,10000,10000,200,0.1
WordContent,84.59,84.33,10000,10000,200,0.2
Depth,38.65,38.97,10000,10000,50,0.0
Depth,37.84,37.78,10000,10000,50,0.1
Depth,37.04,36.74,10000,10000,50,0.2
Depth,39.89,40.18,10000,10000,100,0.0
Depth,39.05,39.37,10000,10000,100,0.1
Depth,37.9,37.84,10000,10000,100,0.2
Depth,40.33,40.61,10000,10000,200,0.0
Depth,39.58,40.62,10000,10000,200,0.1
Depth,39.33,39.87,10000,10000,200,0.2
TopConstituents,62.72,61.95,10000,10000,50,0.0
TopConstituents,62.39,61.57,10000,10000,50,0.1
TopConstituents,61.46,61.0,10000,10000,50,0.2
TopConstituents,63.91,62.77,10000,10000,100,0.0
TopConstituents,63.44,62.79,10000,10000,100,0.1
TopConstituents,62.17,62.2,10000,10000,100,0.2
TopConstituents,64.03,63.26,10000,10000,200,0.0
TopConstituents,64.26,63.82,10000,10000,200,0.1
TopConstituents,63.33,62.74,10000,10000,200,0.2
BigramShift,51.96,50.58,10000,10000,50,0.0
BigramShift,50.95,50.51,10000,10000,50,0.1
BigramShift,50.98,50.84,10000,10000,50,0.2
BigramShift,51.65,50.85,10000,10000,100,0.0
BigramShift,50.69,50.38,10000,10000,100,0.1
BigramShift,50.77,51.25,10000,10000,100,0.2
BigramShift,51.57,50.66,10000,10000,200,0.0
BigramShift,51.26,50.81,10000,10000,200,0.1
BigramShift,50.79,50.5,10000,10000,200,0.2
Tense,86.36,85.3,10000,10000,50,0.0
Tense,86.61,85.73,10000,10000,50,0.1
Tense,86.29,85.91,10000,10000,50,0.2
Tense,86.46,85.44,10000,10000,100,0.0
Tense,86.82,85.67,10000,10000,100,0.1
Tense,86.58,85.7,10000,10000,100,0.2
Tense,86.63,85.72,10000,10000,200,0.0
Tense,86.76,85.78,10000,10000,200,0.1
Tense,86.78,85.62,10000,10000,200,0.2
SubjNumber,81.21,79.06,10000,10000,50,0.0
SubjNumber,81.39,79.45,10000,10000,50,0.1
SubjNumber,81.42,79.31,10000,10000,50,0.2
SubjNumber,81.34,79.26,10000,10000,100,0.0
SubjNumber,81.15,79.35,10000,10000,100,0.1
SubjNumber,81.15,79.51,10000,10000,100,0.2
SubjNumber,81.22,79.12,10000,10000,200,0.0
SubjNumber,81.25,79.17,10000,10000,200,0.1
SubjNumber,81.6,79.43,10000,10000,200,0.2
ObjNumber,78.47,79.46,10000,10000,50,0.0
ObjNumber,78.76,80.1,10000,10000,50,0.1
ObjNumber,78.7,80.03,10000,10000,50,0.2
ObjNumber,78.56,79.68,10000,10000,100,0.0
ObjNumber,78.83,80.43,10000,10000,100,0.1
ObjNumber,78.51,80.37,10000,10000,100,0.2
ObjNumber,78.23,79.63,10000,10000,200,0.0
ObjNumber,78.78,80.18,10000,10000,200,0.1
ObjNumber,78.83,80.53,10000,10000,200,0.2
OddManOut,52.14,52.65,10000,10000,50,0.0
OddManOut,51.7,52.09,10000,10000,50,0.1
OddManOut,51.07,52.03,10000,10000,50,0.2
OddManOut,51.71,52.83,10000,10000,100,0.0
OddManOut,50.88,51.59,10000,10000,100,0.1
OddManOut,50.88,51.25,10000,10000,100,0.2
OddManOut,52.29,52.52,10000,10000,200,0.0
OddManOut,51.69,52.22,10000,10000,200,0.1
OddManOut,50.78,51.31,10000,10000,200,0.2
CoordinationInversion,50.55,50.03,10002,10002,50,0.0
CoordinationInversion,50.96,50.94,10002,10002,50,0.1
CoordinationInversion,50.72,50.52,10002,10002,50,0.2
CoordinationInversion,51.32,50.84,10002,10002,100,0.0
CoordinationInversion,50.97,51.23,10002,10002,100,0.1
CoordinationInversion,50.9,51.01,10002,10002,100,0.2
CoordinationInversion,50.74,50.18,10002,10002,200,0.0
CoordinationInversion,50.6,50.93,10002,10002,200,0.1
CoordinationInversion,50.52,49.13,10002,10002,200,0.2
