task,devacc,acc,ndev,ntest,nhid,dropout
Length,96.93,96.59,9996,9996,50,0.0
Length,96.69,96.14,9996,9996,50,0.1
Length,96.23,95.48,9996,9996,50,0.2
Length,96.99,96.53,9996,9996,100,0.0
Length,96.52,95.89,9996,9996,100,0.1
Length,95.87,95.43,9996,9996,100,0.2
Length,96.6,95.98,9996,9996,200,0.0
Length,96.39,95.59,9996,9996,200,0.1
Length,96.54,95.91,9996,9996,200,0.2
WordContent,0.21,0.22,10000,10000,50,0.0
WordContent,0.21,0.22,10000,10000,50,0.1
WordContent,0.21,0.22,10000,10000,50,0.2
WordContent,0.21,0.22,10000,10000,100,0.0
WordContent,0.21,0.22,10000,10000,100,0.1
WordContent,0.21,0.22,10000,10000,100,0.2
WordContent,0.21,0.22,10000,10000,200,0.0
WordContent,0.21,0.22,10000,10000,200,0.1
WordContent,0.21,0.22,10000,10000,200,0.2
Depth,29.37,29.6,10000,10000,50,0.0
Depth,29.67,29.76,10000,10000,50,0.1
Depth,29.02,29.65,10000,10000,50,0.2
Depth,29.85,29.88,10000,10000,100,0.0
Depth,29.09,29.64,10000,10000,100,0.1
Depth,28.98,29.33,10000,10000,100,0.2
Depth,29.53,29.65,10000,10000,200,0.0
Depth,29.11,29.21,10000,10000,200,0.1
Depth,29.13,29.4,10000,10000,200,0.2
TopConstituents,21.85,22.22,10000,10000,50,0.0
TopConstituents,21.51,21.54,10000,10000,50,0.1
TopConstituents,21.54,22.05,10000,10000,50,0.2
TopConstituents,21.95,22.21,10000,10000,100,0.0
TopConstituents,21.66,22.02,10000,10000,100,0.1
TopConstituents,21.52,21.66,10000,10000,100,0.2
TopConstituents,21.65,22.13,10000,10000,200,0.0
TopConstituents,21.34,21.75,10000,10000,200,0.1
TopConstituents,21.26,21.91,10000,10000,200,0.2
BigramShift,64.67,64.74,10000,10000,50,0.0
BigramShift,64.86,65.1,10000,10000,50,0.1
BigramShift,64.74,65.02,10000,10000,50,0.2
BigramShift,64.58,64.84,10000,10000,100,0.0
BigramShift,64.83,65.05,10000,10000,100,0.1
BigramShift,64.65,64.82,10000,10000,100,0.2
BigramShift,64.49,64.62,10000,10000,200,0.0
BigramShift,64.66,64.71,10000,10000,200,0.1
BigramShift,64.69,64.91,10000,10000,200,0.2
Tense,69.64,68.43,10000,10000,50,0.0
Tense,69.36,68.54,10000,10000,50,0.1
Tense,69.21,68.92,10000,10000,50,0.2
Tense,69.72,68.56,10000,10000,100,0.0
Tense,69.3,68.15,10000,10000,100,0.1
Tense,69.2,68.55,10000,10000,100,0.2
Tense,69.43,68.75,10000,10000,200,0.0
Tense,69.42,68.66,10000,10000,200,0.1
Tense,69.41,68.18,10000,10000,200,0.2
SubjNumber,67.26,67.15,10000,10000,50,0.0
SubjNumber,67.1,67.5,10000,10000,50,0.1
SubjNumber,67.15,67.65,10000,10000,50,0.2
SubjNumber,66.87,67.32,10000,10000,100,0.0
SubjNumber,67.22,67.23,10000,10000,100,0.1
SubjNumber,67.01,66.97,10000,10000,100,0.2
SubjNumber,66.82,67.53,10000,10000,200,0.0
SubjNumber,66.79,67.19,10000,10000,200,0.1
SubjNumber,67.0,67.07,10000,10000,200,0.2
ObjNumber,65.29,66.91,10000,10000,50,0.0
ObjNumber,65.79,67.51,10000,10000,50,0.1
ObjNumber,65.93,67.6,10000,10000,50,0.2
ObjNumber,65.33,66.42,10000,10000,100,0.0
ObjNumber,66.18,68.13,10000,10000,100,0.1
ObjNumber,65.16,66.08,10000,10000,100,0.2
ObjNumber,65.32,66.55,10000,10000,200,0.0
ObjNumber,64.97,66.82,10000,10000,200,0.1
ObjNumber,65.49,66.59,10000,10000,200,0.2
OddManOut,54.11,53.36,10000,10000,50,0.0
OddManOut,52.75,51.76,10000,10000,50,0.1
OddManOut,50.92,50.54,10000,10000,50,0.2
OddManOut,50.19,49.87,10000,10000,100,0.0
OddManOut,50.93,50.62,10000,10000,100,0.1
OddManOut,53.69,53.73,10000,10000,100,0.2
OddManOut,50.19,49.87,10000,10000,200,0.0
OddManOut,54.28,53.82,10000,10000,200,0.1
OddManOut,54.26,54.38,10000,10000,200,0.2
CoordinationInversion,57.36,56.32,10002,10002,50,0.0
CoordinationInversion,57.26,55.86,10002,10002,50,0.1
CoordinationInversion,57.42,56.29,10002,10002,50,0.2
CoordinationInversion,57.43,55.97,10002,10002,100,0.0
CoordinationInversion,57.53,56.31,10002,10002,100,0.1
CoordinationInversion,57.71,56.41,10002,10002,100,0.2
CoordinationInversion,57.12,56.19,10002,10002,200,0.0
CoordinationInversion,56.42,55.55,10002,10002,200,0.1
CoordinationInversion,55.27,54.25,10002,10002,200,0.2
