task,devacc,acc,ndev,ntest,nhid,dropout
Length,73.83,74.41,9996,9996,50,0.0
Length,70.86,71.15,9996,9996,50,0.1
Length,70.0,70.12,9996,9996,50,0.2
Length,75.92,77.56,9996,9996,100,0.0
Length,71.7,72.42,9996,9996,100,0.1
Length,71.02,71.49,9996,9996,100,0.2
Length,76.04,77.2,9996,9996,200,0.0
Length,72.26,72.78,9996,9996,200,0.1
Length,71.16,71.94,9996,9996,200,0.2
WordContent,0.16,0.14,10000,10000,50,0.0
WordContent,0.16,0.14,10000,10000,50,0.1
WordContent,0.16,0.14,10000,10000,50,0.2
WordContent,0.16,0.14,10000,10000,100,0.0
WordContent,0.16,0.14,10000,10000,100,0.1
WordContent,0.16,0.14,10000,10000,100,0.2
WordContent,0.16,0.14,10000,10000,200,0.0
WordContent,0.16,0.14,10000,10000,200,0.1
WordContent,0.16,0.14,10000,10000,200,0.2
Depth,29.46,30.37,10000,10000,50,0.0
Depth,29.0,30.2,10000,10000,50,0.1
Depth,28.8,30.05,10000,10000,50,0.2
Depth,29.61,30.21,10000,10000,100,0.0
Depth,28.49,30.29,10000,10000,100,0.1
Depth,28.55,29.54,10000,10000,100,0.2
Depth,29.78,29.98,10000,10000,200,0.0
Depth,28.56,29.37,10000,10000,200,0.1
Depth,28.51,29.61,10000,10000,200,0.2
TopConstituents,20.17,20.27,10000,10000,50,0.0
TopConstituents,20.06,20.1,10000,10000,50,0.1
TopConstituents,20.27,20.69,10000,10000,50,0.2
TopConstituents,20.65,21.25,10000,10000,100,0.0
TopConstituents,20.42,20.66,10000,10000,100,0.1
TopConstituents,20.33,20.61,10000,10000,100,0.2
TopConstituents,20.57,21.3,10000,10000,200,0.0
TopConstituents,20.49,21.25,10000,10000,200,0.1
TopConstituents,20.35,21.14,10000,10000,200,0.2
BigramShift,65.74,65.64,10000,10000,50,0.0
BigramShift,65.67,65.55,10000,10000,50,0.1
BigramShift,65.57,65.53,10000,10000,50,0.2
BigramShift,65.7,65.78,10000,10000,100,0.0
BigramShift,65.42,65.32,10000,10000,100,0.1
BigramShift,65.43,65.43,10000,10000,100,0.2
BigramShift,65.72,65.83,10000,10000,200,0.0
BigramShift,65.28,65.3,10000,10000,200,0.1
BigramShift,65.46,65.48,10000,10000,200,0.2
Tense,61.95,60.76,10000,10000,50,0.0
Tense,62.03,60.27,10000,10000,50,0.1
Tense,61.47,60.36,10000,10000,50,0.2
Tense,62.05,60.66,10000,10000,100,0.0
Tense,62.08,60.6,10000,10000,100,0.1
Tense,61.98,60.64,10000,10000,100,0.2
Tense,62.04,60.59,10000,10000,200,0.0
Tense,61.78,60.78,10000,10000,200,0.1
Tense,61.69,60.64,10000,10000,200,0.2
SubjNumber,64.34,65.43,10000,10000,50,0.0
SubjNumber,64.47,65.22,10000,10000,50,0.1
SubjNumber,64.33,65.18,10000,10000,50,0.2
SubjNumber,64.65,65.36,10000,10000,100,0.0
SubjNumber,64.39,65.34,10000,10000,100,0.1
SubjNumber,64.22,65.31,10000,10000,100,0.2
SubjNumber,64.23,65.12,10000,10000,200,0.0
SubjNumber,64.21,64.92,10000,10000,200,0.1
SubjNumber,64.19,65.05,10000,10000,200,0.2
ObjNumber,61.35,61.66,10000,10000,50,0.0
ObjNumber,61.01,61.45,10000,10000,50,0.1
ObjNumber,60.99,61.33,10000,10000,50,0.2
ObjNumber,60.92,61.2,10000,10000,100,0.0
ObjNumber,61.32,62.0,10000,10000,100,0.1
ObjNumber,61.18,61.81,10000,10000,100,0.2
ObjNumber,60.85,61.16,10000,10000,200,0.0
ObjNumber,61.09,61.7,10000,10000,200,0.1
ObjNumber,61.0,61.72,10000,10000,200,0.2
OddManOut,53.45,53.06,10000,10000,50,0.0
OddManOut,53.73,53.28,10000,10000,50,0.1
OddManOut,53.98,53.6,10000,10000,50,0.2
OddManOut,53.47,52.61,10000,10000,100,0.0
OddManOut,53.33,52.67,10000,10000,100,0.1
OddManOut,53.47,52.73,10000,10000,100,0.2
OddManOut,52.58,51.97,10000,10000,200,0.0
OddManOut,53.46,52.61,10000,10000,200,0.1
OddManOut,53.62,53.53,10000,10000,200,0.2
CoordinationInversion,58.16,57.58,10002,10002,50,0.0
CoordinationInversion,57.7,57.6,10002,10002,50,0.1
CoordinationInversion,57.65,57.35,10002,10002,50,0.2
CoordinationInversion,58.17,57.83,10002,10002,100,0.0
CoordinationInversion,57.9,57.56,10002,10002,100,0.1
CoordinationInversion,57.77,57.69,10002,10002,100,0.2
CoordinationInversion,58.17,58.17,10002,10002,200,0.0
CoordinationInversion,57.78,57.55,10002,10002,200,0.1
CoordinationInversion,57.81,57.68,10002,10002,200,0.2
