task,devacc,acc,ndev,ntest,nhid,dropout
Length,73.59,73.72,9996,9996,50,0.0
Length,72.04,71.89,9996,9996,50,0.1
Length,71.5,71.22,9996,9996,50,0.2
Length,75.58,75.32,9996,9996,100,0.0
Length,72.6,72.36,9996,9996,100,0.1
Length,72.02,71.84,9996,9996,100,0.2
Length,77.05,76.63,9996,9996,200,0.0
Length,73.7,73.82,9996,9996,200,0.1
Length,72.87,72.08,9996,9996,200,0.2
WordContent,0.25,0.12,10000,10000,50,0.0
WordContent,0.25,0.12,10000,10000,50,0.1
WordContent,0.25,0.12,10000,10000,50,0.2
WordContent,0.25,0.12,10000,10000,100,0.0
WordContent,0.25,0.12,10000,10000,100,0.1
WordContent,0.25,0.12,10000,10000,100,0.2
WordContent,0.25,0.12,10000,10000,200,0.0
WordContent,0.25,0.12,10000,10000,200,0.1
WordContent,0.25,0.12,10000,10000,200,0.2
Depth,32.44,33.63,10000,10000,50,0.0
Depth,31.19,32.74,10000,10000,50,0.1
Depth,30.98,32.02,10000,10000,50,0.2
Depth,32.04,33.28,10000,10000,100,0.0
Depth,31.31,32.08,10000,10000,100,0.1
Depth,31.22,32.35,10000,10000,100,0.2
Depth,33.48,34.48,10000,10000,200,0.0
Depth,31.33,32.11,10000,10000,200,0.1
Depth,30.99,32.25,10000,10000,200,0.2
TopConstituents,21.1,21.86,10000,10000,50,0.0
TopConstituents,20.99,21.73,10000,10000,50,0.1
TopConstituents,20.91,21.75,10000,10000,50,0.2
TopConstituents,21.14,22.3,10000,10000,100,0.0
TopConstituents,20.99,21.99,10000,10000,100,0.1
TopConstituents,20.91,21.85,10000,10000,100,0.2
TopConstituents,21.38,22.12,10000,10000,200,0.0
TopConstituents,21.13,22.19,10000,10000,200,0.1
TopConstituents,20.97,22.05,10000,10000,200,0.2
BigramShift,68.91,68.41,10000,10000,50,0.0
BigramShift,68.86,68.85,10000,10000,50,0.1
BigramShift,68.8,68.9,10000,10000,50,0.2
BigramShift,69.59,69.13,10000,10000,100,0.0
BigramShift,68.89,68.77,10000,10000,100,0.1
BigramShift,68.55,68.75,10000,10000,100,0.2
BigramShift,69.39,68.95,10000,10000,200,0.0
BigramShift,69.02,69.49,10000,10000,200,0.1
BigramShift,68.44,68.75,10000,10000,200,0.2
Tense,70.91,71.16,10000,10000,50,0.0
Tense,70.75,70.98,10000,10000,50,0.1
Tense,70.73,70.66,10000,10000,50,0.2
Tense,71.02,70.65,10000,10000,100,0.0
Tense,70.66,70.78,10000,10000,100,0.1
Tense,70.61,70.86,10000,10000,100,0.2
Tense,71.07,69.89,10000,10000,200,0.0
Tense,70.74,70.82,10000,10000,200,0.1
Tense,70.67,70.61,10000,10000,200,0.2
SubjNumber,69.69,70.47,10000,10000,50,0.0
SubjNumber,69.66,70.29,10000,10000,50,0.1
SubjNumber,69.86,70.36,10000,10000,50,0.2
SubjNumber,69.5,70.49,10000,10000,100,0.0
SubjNumber,69.65,70.31,10000,10000,100,0.1
SubjNumber,69.62,70.39,10000,10000,100,0.2
SubjNumber,69.33,70.45,10000,10000,200,0.0
SubjNumber,69.6,69.83,10000,10000,200,0.1
SubjNumber,69.56,70.37,10000,10000,200,0.2
ObjNumber,69.76,70.31,10000,10000,50,0.0
ObjNumber,69.65,70.27,10000,10000,50,0.1
ObjNumber,69.6,70.32,10000,10000,50,0.2
ObjNumber,69.92,70.26,10000,10000,100,0.0
ObjNumber,69.75,70.23,10000,10000,100,0.1
ObjNumber,69.67,70.29,10000,10000,100,0.2
ObjNumber,69.79,70.17,10000,10000,200,0.0
ObjNumber,69.64,70.1,10000,10000,200,0.1
ObjNumber,69.61,70.5,10000,10000,200,0.2
OddManOut,53.74,53.01,10000,10000,50,0.0
OddManOut,53.44,53.01,10000,10000,50,0.1
OddManOut,53.6,53.19,10000,10000,50,0.2
OddManOut,53.32,52.62,10000,10000,100,0.0
OddManOut,53.45,52.97,10000,10000,100,0.1
OddManOut,53.51,52.92,10000,10000,100,0.2
OddManOut,53.21,52.51,10000,10000,200,0.0
OddManOut,53.4,53.13,10000,10000,200,0.1
OddManOut,53.56,53.14,10000,10000,200,0.2
CoordinationInversion,59.19,58.3,10002,10002,50,0.0
CoordinationInversion,58.91,58.26,10002,10002,50,0.1
CoordinationInversion,58.73,58.01,10002,10002,50,0.2
CoordinationInversion,59.16,57.99,10002,10002,100,0.0
CoordinationInversion,59.01,58.41,10002,10002,100,0.1
CoordinationInversion,58.99,58.31,10002,10002,100,0.2
CoordinationInversion,59.3,58.58,10002,10002,200,0.0
CoordinationInversion,58.85,57.61,10002,10002,200,0.1
CoordinationInversion,58.75,57.48,10002,10002,200,0.2
