task,devacc,acc,ndev,ntest,nhid,dropout
Length,82.64,82.57,9996,9996,50,0.0
Length,81.64,81.45,9996,9996,50,0.1
Length,81.48,81.46,9996,9996,50,0.2
Length,82.88,82.85,9996,9996,100,0.0
Length,82.14,81.47,9996,9996,100,0.1
Length,81.67,81.57,9996,9996,100,0.2
Length,81.9,82.03,9996,9996,200,0.0
Length,82.29,82.21,9996,9996,200,0.1
Length,82.1,80.93,9996,9996,200,0.2
WordContent,12.82,13.03,10000,10000,50,0.0
WordContent,12.82,13.03,10000,10000,50,0.1
WordContent,12.82,13.03,10000,10000,50,0.2
WordContent,12.82,13.03,10000,10000,100,0.0
WordContent,12.82,13.03,10000,10000,100,0.1
WordContent,12.82,13.03,10000,10000,100,0.2
WordContent,12.82,13.03,10000,10000,200,0.0
WordContent,12.82,13.03,10000,10000,200,0.1
WordContent,12.82,13.03,10000,10000,200,0.2
Depth,30.18,30.78,10000,10000,50,0.0
Depth,29.22,29.98,10000,10000,50,0.1
Depth,28.56,29.68,10000,10000,50,0.2
Depth,30.95,31.04,10000,10000,100,0.0
Depth,29.28,30.33,10000,10000,100,0.1
Depth,29.3,29.94,10000,10000,100,0.2
Depth,30.44,30.59,10000,10000,200,0.0
Depth,29.25,30.13,10000,10000,200,0.1
Depth,28.92,30.07,10000,10000,200,0.2
TopConstituents,49.06,48.97,10000,10000,50,0.0
TopConstituents,48.03,47.72,10000,10000,50,0.1
TopConstituents,47.64,47.49,10000,10000,50,0.2
TopConstituents,50.09,49.85,10000,10000,100,0.0
TopConstituents,47.93,47.9,10000,10000,100,0.1
TopConstituents,47.29,47.22,10000,10000,100,0.2
TopConstituents,50.49,50.65,10000,10000,200,0.0
TopConstituents,49.06,48.69,10000,10000,200,0.1
TopConstituents,47.91,47.6,10000,10000,200,0.2
BigramShift,51.13,49.85,10000,10000,50,0.0
BigramShift,50.83,49.45,10000,10000,50,0.1
BigramShift,50.73,50.7,10000,10000,50,0.2
BigramShift,51.01,50.74,10000,10000,100,0.0
BigramShift,50.6,50.58,10000,10000,100,0.1
BigramShift,50.57,50.77,10000,10000,100,0.2
BigramShift,50.82,50.12,10000,10000,200,0.0
BigramShift,50.65,49.5,10000,10000,200,0.1
BigramShift,50.78,50.88,10000,10000,200,0.2
Tense,75.66,73.74,10000,10000,50,0.0
Tense,74.9,73.39,10000,10000,50,0.1
Tense,74.46,73.39,10000,10000,50,0.2
Tense,75.33,74.23,10000,10000,100,0.0
Tense,74.75,73.87,10000,10000,100,0.1
Tense,74.64,73.54,10000,10000,100,0.2
Tense,75.26,73.52,10000,10000,200,0.0
Tense,74.67,73.07,10000,10000,200,0.1
Tense,75.45,73.87,10000,10000,200,0.2
SubjNumber,69.76,69.66,10000,10000,50,0.0
SubjNumber,68.56,68.51,10000,10000,50,0.1
SubjNumber,68.52,68.39,10000,10000,50,0.2
SubjNumber,69.66,69.76,10000,10000,100,0.0
SubjNumber,69.09,68.63,10000,10000,100,0.1
SubjNumber,68.76,68.59,10000,10000,100,0.2
SubjNumber,69.88,69.94,10000,10000,200,0.0
SubjNumber,68.92,69.04,10000,10000,200,0.1
SubjNumber,68.71,68.74,10000,10000,200,0.2
ObjNumber,66.13,67.04,10000,10000,50,0.0
ObjNumber,66.03,66.89,10000,10000,50,0.1
ObjNumber,65.97,66.3,10000,10000,50,0.2
ObjNumber,66.09,67.25,10000,10000,100,0.0
ObjNumber,65.69,67.02,10000,10000,100,0.1
ObjNumber,65.66,66.27,10000,10000,100,0.2
ObjNumber,66.03,66.7,10000,10000,200,0.0
ObjNumber,66.06,66.87,10000,10000,200,0.1
ObjNumber,66.15,66.7,10000,10000,200,0.2
OddManOut,50.94,51.41,10000,10000,50,0.0
OddManOut,50.9,50.69,10000,10000,50,0.1
OddManOut,50.81,50.61,10000,10000,50,0.2
OddManOut,51.14,50.94,10000,10000,100,0.0
OddManOut,50.81,50.78,10000,10000,100,0.1
OddManOut,51.17,50.43,10000,10000,100,0.2
OddManOut,51.11,50.98,10000,10000,200,0.0
OddManOut,50.89,50.44,10000,10000,200,0.1
OddManOut,50.9,50.62,10000,10000,200,0.2
CoordinationInversion,58.35,59.07,10002,10002,50,0.0
CoordinationInversion,57.94,57.25,10002,10002,50,0.1
CoordinationInversion,57.75,57.0,10002,10002,50,0.2
CoordinationInversion,58.27,58.36,10002,10002,100,0.0
CoordinationInversion,57.79,58.31,10002,10002,100,0.1
CoordinationInversion,57.83,57.19,10002,10002,100,0.2
CoordinationInversion,58.39,58.36,10002,10002,200,0.0
CoordinationInversion,57.57,57.82,10002,10002,200,0.1
CoordinationInversion,57.57,56.88,10002,10002,200,0.2
