task,devacc,acc,ndev,ntest,nhid,dropout
Length,95.31,95.12,9996,9996,50,0.0
Length,95.17,94.93,9996,9996,50,0.1
Length,94.97,94.6,9996,9996,50,0.2
Length,95.33,95.32,9996,9996,100,0.0
Length,95.12,95.09,9996,9996,100,0.1
Length,95.39,95.38,9996,9996,100,0.2
Length,95.51,95.46,9996,9996,200,0.0
Length,95.12,95.18,9996,9996,200,0.1
Length,94.98,95.06,9996,9996,200,0.2
WordContent,60.43,60.56,10000,10000,50,0.0
WordContent,60.43,60.56,10000,10000,50,0.1
WordContent,60.43,60.56,10000,10000,50,0.2
WordContent,60.43,60.56,10000,10000,100,0.0
WordContent,60.43,60.56,10000,10000,100,0.1
WordContent,60.43,60.56,10000,10000,100,0.2
WordContent,60.43,60.56,10000,10000,200,0.0
WordContent,60.43,60.56,10000,10000,200,0.1
WordContent,60.43,60.56,10000,10000,200,0.2
Depth,36.34,36.83,10000,10000,50,0.0
Depth,34.43,35.23,10000,10000,50,0.1
Depth,32.98,33.8,10000,10000,50,0.2
Depth,36.96,36.52,10000,10000,100,0.0
Depth,34.96,35.74,10000,10000,100,0.1
Depth,33.87,34.74,10000,10000,100,0.2
Depth,37.0,37.04,10000,10000,200,0.0
Depth,35.75,36.32,10000,10000,200,0.1
Depth,34.83,34.85,10000,10000,200,0.2
TopConstituents,53.06,52.58,10000,10000,50,0.0
TopConstituents,52.11,51.76,10000,10000,50,0.1
TopConstituents,51.47,51.42,10000,10000,50,0.2
TopConstituents,54.84,53.86,10000,10000,100,0.0
TopConstituents,53.38,52.51,10000,10000,100,0.1
TopConstituents,51.96,51.26,10000,10000,100,0.2
TopConstituents,55.47,54.99,10000,10000,200,0.0
TopConstituents,53.8,52.7,10000,10000,200,0.1
TopConstituents,52.62,52.06,10000,10000,200,0.2
BigramShift,50.58,49.61,10000,10000,50,0.0
BigramShift,50.38,49.72,10000,10000,50,0.1
BigramShift,50.62,49.4,10000,10000,50,0.2
BigramShift,50.39,49.52,10000,10000,100,0.0
BigramShift,50.5,49.57,10000,10000,100,0.1
BigramShift,50.54,49.63,10000,10000,100,0.2
BigramShift,50.28,49.63,10000,10000,200,0.0
BigramShift,50.32,49.6,10000,10000,200,0.1
BigramShift,50.07,50.05,10000,10000,200,0.2
Tense,84.09,83.11,10000,10000,50,0.0
Tense,83.5,83.5,10000,10000,50,0.1
Tense,83.51,83.23,10000,10000,50,0.2
Tense,84.11,83.58,10000,10000,100,0.0
Tense,83.91,84.03,10000,10000,100,0.1
Tense,83.76,83.57,10000,10000,100,0.2
Tense,84.21,83.71,10000,10000,200,0.0
Tense,84.13,83.48,10000,10000,200,0.1
Tense,83.68,83.51,10000,10000,200,0.2
SubjNumber,79.4,77.29,10000,10000,50,0.0
SubjNumber,78.72,77.57,10000,10000,50,0.1
SubjNumber,78.27,77.13,10000,10000,50,0.2
SubjNumber,79.03,77.74,10000,10000,100,0.0
SubjNumber,78.92,77.7,10000,10000,100,0.1
SubjNumber,78.61,77.29,10000,10000,100,0.2
SubjNumber,79.25,77.77,10000,10000,200,0.0
SubjNumber,79.08,77.72,10000,10000,200,0.1
SubjNumber,78.72,77.37,10000,10000,200,0.2
ObjNumber,75.88,77.3,10000,10000,50,0.0
ObjNumber,75.83,77.03,10000,10000,50,0.1
ObjNumber,75.83,76.87,10000,10000,50,0.2
ObjNumber,75.96,77.22,10000,10000,100,0.0
ObjNumber,75.99,77.22,10000,10000,100,0.1
ObjNumber,75.51,76.71,10000,10000,100,0.2
ObjNumber,75.89,77.17,10000,10000,200,0.0
ObjNumber,75.77,76.93,10000,10000,200,0.1
ObjNumber,75.84,77.28,10000,10000,200,0.2
OddManOut,51.84,51.66,10000,10000,50,0.0
OddManOut,50.19,49.87,10000,10000,50,0.1
OddManOut,50.28,49.58,10000,10000,50,0.2
OddManOut,51.5,50.32,10000,10000,100,0.0
OddManOut,50.35,49.49,10000,10000,100,0.1
OddManOut,50.59,50.17,10000,10000,100,0.2
OddManOut,51.57,50.99,10000,10000,200,0.0
OddManOut,50.47,49.81,10000,10000,200,0.1
OddManOut,50.72,49.5,10000,10000,200,0.2
CoordinationInversion,50.07,49.87,10002,10002,50,0.0
CoordinationInversion,50.21,50.53,10002,10002,50,0.1
CoordinationInversion,50.18,50.16,10002,10002,50,0.2
CoordinationInversion,50.18,51.06,10002,10002,100,0.0
CoordinationInversion,50.35,50.02,10002,10002,100,0.1
CoordinationInversion,50.07,50.23,10002,10002,100,0.2
CoordinationInversion,50.12,49.9,10002,10002,200,0.0
CoordinationInversion,50.17,49.84,10002,10002,200,0.1
CoordinationInversion,50.18,50.24,10002,10002,200,0.2
