task,devacc,acc,ndev,ntest,nhid,dropout
Length,89.14,89.13,9996,9996,50,0.0
Length,88.18,88.12,9996,9996,50,0.1
Length,88.34,88.45,9996,9996,50,0.2
Length,88.78,89.2,9996,9996,100,0.0
Length,88.46,88.65,9996,9996,100,0.1
Length,88.36,88.55,9996,9996,100,0.2
Length,88.74,89.03,9996,9996,200,0.0
Length,88.75,88.81,9996,9996,200,0.1
Length,88.49,88.73,9996,9996,200,0.2
WordContent,9.72,9.85,10000,10000,50,0.0
WordContent,9.72,9.85,10000,10000,50,0.1
WordContent,9.72,9.85,10000,10000,50,0.2
WordContent,9.72,9.85,10000,10000,100,0.0
WordContent,9.72,9.85,10000,10000,100,0.1
WordContent,9.72,9.85,10000,10000,100,0.2
WordContent,9.72,9.85,10000,10000,200,0.0
WordContent,9.72,9.85,10000,10000,200,0.1
WordContent,9.72,9.85,10000,10000,200,0.2
Depth,30.85,30.77,10000,10000,50,0.0
Depth,29.53,29.63,10000,10000,50,0.1
Depth,29.33,29.25,10000,10000,50,0.2
Depth,30.78,30.8,10000,10000,100,0.0
Depth,29.8,29.56,10000,10000,100,0.1
Depth,29.77,30.18,10000,10000,100,0.2
Depth,30.73,30.95,10000,10000,200,0.0
Depth,30.11,30.24,10000,10000,200,0.1
Depth,29.87,29.83,10000,10000,200,0.2
TopConstituents,53.04,53.33,10000,10000,50,0.0
TopConstituents,52.15,51.91,10000,10000,50,0.1
TopConstituents,51.51,50.68,10000,10000,50,0.2
TopConstituents,54.5,54.3,10000,10000,100,0.0
TopConstituents,52.23,51.88,10000,10000,100,0.1
TopConstituents,51.72,51.12,10000,10000,100,0.2
TopConstituents,54.76,54.52,10000,10000,200,0.0
TopConstituents,53.09,52.59,10000,10000,200,0.1
TopConstituents,51.9,51.2,10000,10000,200,0.2
BigramShift,51.23,50.39,10000,10000,50,0.0
BigramShift,50.97,49.74,10000,10000,50,0.1
BigramShift,50.95,50.32,10000,10000,50,0.2
BigramShift,51.72,51.15,10000,10000,100,0.0
BigramShift,50.85,49.96,10000,10000,100,0.1
BigramShift,50.64,50.27,10000,10000,100,0.2
BigramShift,51.45,51.16,10000,10000,200,0.0
BigramShift,51.02,50.16,10000,10000,200,0.1
BigramShift,50.97,50.52,10000,10000,200,0.2
Tense,69.14,65.45,10000,10000,50,0.0
Tense,69.25,65.91,10000,10000,50,0.1
Tense,69.15,65.71,10000,10000,50,0.2
Tense,69.18,65.26,10000,10000,100,0.0
Tense,69.12,65.93,10000,10000,100,0.1
Tense,69.02,66.11,10000,10000,100,0.2
Tense,68.97,66.08,10000,10000,200,0.0
Tense,69.04,65.79,10000,10000,200,0.1
Tense,69.11,65.66,10000,10000,200,0.2
SubjNumber,65.08,64.4,10000,10000,50,0.0
SubjNumber,64.23,64.71,10000,10000,50,0.1
SubjNumber,63.73,64.16,10000,10000,50,0.2
SubjNumber,65.47,64.77,10000,10000,100,0.0
SubjNumber,64.32,64.39,10000,10000,100,0.1
SubjNumber,64.12,63.94,10000,10000,100,0.2
SubjNumber,64.32,63.82,10000,10000,200,0.0
SubjNumber,64.02,63.96,10000,10000,200,0.1
SubjNumber,64.19,63.86,10000,10000,200,0.2
ObjNumber,61.3,62.56,10000,10000,50,0.0
ObjNumber,61.27,62.04,10000,10000,50,0.1
ObjNumber,61.15,62.04,10000,10000,50,0.2
ObjNumber,61.15,62.78,10000,10000,100,0.0
ObjNumber,61.37,62.46,10000,10000,100,0.1
ObjNumber,61.22,62.1,10000,10000,100,0.2
ObjNumber,61.18,62.4,10000,10000,200,0.0
ObjNumber,61.34,62.16,10000,10000,200,0.1
ObjNumber,61.14,62.17,10000,10000,200,0.2
OddManOut,51.06,50.96,10000,10000,50,0.0
OddManOut,50.45,50.64,10000,10000,50,0.1
OddManOut,50.64,50.76,10000,10000,50,0.2
OddManOut,50.93,51.06,10000,10000,100,0.0
OddManOut,50.9,51.03,10000,10000,100,0.1
OddManOut,50.52,50.72,10000,10000,100,0.2
OddManOut,50.79,50.15,10000,10000,200,0.0
OddManOut,50.72,50.33,10000,10000,200,0.1
OddManOut,50.82,50.61,10000,10000,200,0.2
CoordinationInversion,58.52,57.75,10002,10002,50,0.0
CoordinationInversion,58.24,57.64,10002,10002,50,0.1
CoordinationInversion,57.67,57.88,10002,10002,50,0.2
CoordinationInversion,58.59,57.97,10002,10002,100,0.0
CoordinationInversion,58.12,57.57,10002,10002,100,0.1
CoordinationInversion,57.65,57.33,10002,10002,100,0.2
CoordinationInversion,58.63,57.85,10002,10002,200,0.0
CoordinationInversion,58.03,57.47,10002,10002,200,0.1
CoordinationInversion,57.72,58.03,10002,10002,200,0.2
