task,devacc,acc,ndev,ntest,nhid,dropout
Length,95.53,95.58,9996,9996,50,0.0
Length,95.17,95.49,9996,9996,50,0.1
Length,95.48,95.6,9996,9996,50,0.2
Length,95.72,95.94,9996,9996,100,0.0
Length,95.02,95.3,9996,9996,100,0.1
Length,95.24,95.55,9996,9996,100,0.2
Length,95.37,95.18,9996,9996,200,0.0
Length,95.17,95.44,9996,9996,200,0.1
Length,95.09,95.32,9996,9996,200,0.2
WordContent,6.41,5.94,10000,10000,50,0.0
WordContent,6.41,5.94,10000,10000,50,0.1
WordContent,6.41,5.94,10000,10000,50,0.2
WordContent,6.41,5.94,10000,10000,100,0.0
WordContent,6.41,5.94,10000,10000,100,0.1
WordContent,6.41,5.94,10000,10000,100,0.2
WordContent,6.41,5.94,10000,10000,200,0.0
WordContent,6.41,5.94,10000,10000,200,0.1
WordContent,6.41,5.94,10000,10000,200,0.2
Depth,31.22,30.83,10000,10000,50,0.0
Depth,30.37,30.8,10000,10000,50,0.1
Depth,30.23,30.41,10000,10000,50,0.2
Depth,31.43,30.75,10000,10000,100,0.0
Depth,30.9,30.69,10000,10000,100,0.1
Depth,29.89,30.55,10000,10000,100,0.2
Depth,31.1,30.55,10000,10000,200,0.0
Depth,30.17,30.94,10000,10000,200,0.1
Depth,29.8,30.89,10000,10000,200,0.2
TopConstituents,49.67,48.51,10000,10000,50,0.0
TopConstituents,49.13,47.9,10000,10000,50,0.1
TopConstituents,47.9,46.56,10000,10000,50,0.2
TopConstituents,50.34,49.05,10000,10000,100,0.0
TopConstituents,48.77,47.67,10000,10000,100,0.1
TopConstituents,49.21,47.89,10000,10000,100,0.2
TopConstituents,50.26,49.21,10000,10000,200,0.0
TopConstituents,48.77,47.76,10000,10000,200,0.1
TopConstituents,48.11,47.09,10000,10000,200,0.2
BigramShift,50.44,49.74,10000,10000,50,0.0
BigramShift,50.69,49.95,10000,10000,50,0.1
BigramShift,50.16,49.89,10000,10000,50,0.2
BigramShift,50.28,49.76,10000,10000,100,0.0
BigramShift,50.2,50.12,10000,10000,100,0.1
BigramShift,50.46,50.4,10000,10000,100,0.2
BigramShift,50.14,50.08,10000,10000,200,0.0
BigramShift,50.6,49.52,10000,10000,200,0.1
BigramShift,50.97,49.05,10000,10000,200,0.2
Tense,70.14,65.87,10000,10000,50,0.0
Tense,69.96,65.63,10000,10000,50,0.1
Tense,69.98,65.57,10000,10000,50,0.2
Tense,70.18,65.57,10000,10000,100,0.0
Tense,70.11,65.58,10000,10000,100,0.1
Tense,69.91,65.47,10000,10000,100,0.2
Tense,70.29,65.62,10000,10000,200,0.0
Tense,70.02,65.39,10000,10000,200,0.1
Tense,69.87,64.94,10000,10000,200,0.2
SubjNumber,67.48,68.24,10000,10000,50,0.0
SubjNumber,65.95,67.17,10000,10000,50,0.1
SubjNumber,66.02,67.27,10000,10000,50,0.2
SubjNumber,66.82,67.45,10000,10000,100,0.0
SubjNumber,66.14,67.12,10000,10000,100,0.1
SubjNumber,66.05,67.33,10000,10000,100,0.2
SubjNumber,66.78,67.7,10000,10000,200,0.0
SubjNumber,66.28,67.21,10000,10000,200,0.1
SubjNumber,66.05,67.16,10000,10000,200,0.2
ObjNumber,61.79,62.39,10000,10000,50,0.0
ObjNumber,61.73,62.45,10000,10000,50,0.1
ObjNumber,61.99,62.16,10000,10000,50,0.2
ObjNumber,61.71,62.63,10000,10000,100,0.0
ObjNumber,61.81,62.61,10000,10000,100,0.1
ObjNumber,61.77,62.53,10000,10000,100,0.2
ObjNumber,61.68,62.62,10000,10000,200,0.0
ObjNumber,61.68,62.55,10000,10000,200,0.1
ObjNumber,61.65,62.62,10000,10000,200,0.2
OddManOut,50.33,50.06,10000,10000,50,0.0
OddManOut,50.2,49.84,10000,10000,50,0.1
OddManOut,50.19,49.87,10000,10000,50,0.2
OddManOut,50.19,49.88,10000,10000,100,0.0
OddManOut,50.34,50.33,10000,10000,100,0.1
OddManOut,50.79,49.48,10000,10000,100,0.2
OddManOut,50.19,49.87,10000,10000,200,0.0
OddManOut,50.23,49.98,10000,10000,200,0.1
OddManOut,50.53,49.81,10000,10000,200,0.2
CoordinationInversion,51.56,51.61,10002,10002,50,0.0
CoordinationInversion,51.4,51.14,10002,10002,50,0.1
CoordinationInversion,51.44,51.24,10002,10002,50,0.2
CoordinationInversion,51.48,51.64,10002,10002,100,0.0
CoordinationInversion,51.35,50.96,10002,10002,100,0.1
CoordinationInversion,51.4,51.03,10002,10002,100,0.2
CoordinationInversion,51.48,51.44,10002,10002,200,0.0
CoordinationInversion,51.17,51.23,10002,10002,200,0.1
CoordinationInversion,50.88,49.95,10002,10002,200,0.2
