task,devacc,acc,ndev,ntest,nhid,dropout
Length,33.7,32.4,9996,9996,50,0.0
Length,32.18,30.52,9996,9996,50,0.1
Length,31.58,30.58,9996,9996,50,0.2
Length,32.41,30.82,9996,9996,100,0.0
Length,31.98,31.38,9996,9996,100,0.1
Length,31.47,30.63,9996,9996,100,0.2
Length,33.73,32.46,9996,9996,200,0.0
Length,32.31,31.84,9996,9996,200,0.1
Length,31.85,31.17,9996,9996,200,0.2
WordContent,0.39,0.46,10000,10000,50,0.0
WordContent,0.39,0.46,10000,10000,50,0.1
WordContent,0.39,0.46,10000,10000,50,0.2
WordContent,0.39,0.46,10000,10000,100,0.0
WordContent,0.39,0.46,10000,10000,100,0.1
WordContent,0.39,0.46,10000,10000,100,0.2
WordContent,0.39,0.46,10000,10000,200,0.0
WordContent,0.39,0.46,10000,10000,200,0.1
WordContent,0.39,0.46,10000,10000,200,0.2
Depth,18.46,18.22,10000,10000,50,0.0
Depth,18.46,18.32,10000,10000,50,0.1
Depth,18.45,18.35,10000,10000,50,0.2
Depth,18.53,18.17,10000,10000,100,0.0
Depth,18.53,18.25,10000,10000,100,0.1
Depth,18.54,18.17,10000,10000,100,0.2
Depth,18.58,18.26,10000,10000,200,0.0
Depth,18.66,17.88,10000,10000,200,0.1
Depth,18.52,18.17,10000,10000,200,0.2
TopConstituents,12.83,12.32,10000,10000,50,0.0
TopConstituents,10.0,9.86,10000,10000,50,0.1
TopConstituents,9.7,9.64,10000,10000,50,0.2
TopConstituents,11.87,11.9,10000,10000,100,0.0
TopConstituents,10.8,11.03,10000,10000,100,0.1
TopConstituents,10.52,10.66,10000,10000,100,0.2
TopConstituents,11.99,11.91,10000,10000,200,0.0
TopConstituents,10.86,10.6,10000,10000,200,0.1
TopConstituents,10.13,10.38,10000,10000,200,0.2
BigramShift,50.92,50.74,10000,10000,50,0.0
BigramShift,50.68,50.62,10000,10000,50,0.1
BigramShift,50.56,50.7,10000,10000,50,0.2
BigramShift,50.49,50.83,10000,10000,100,0.0
BigramShift,50.61,50.91,10000,10000,100,0.1
BigramShift,50.64,50.85,10000,10000,100,0.2
BigramShift,50.99,49.75,10000,10000,200,0.0
BigramShift,50.84,49.99,10000,10000,200,0.1
BigramShift,50.9,49.81,10000,10000,200,0.2
Tense,54.81,54.48,10000,10000,50,0.0
Tense,54.5,54.25,10000,10000,50,0.1
Tense,54.42,54.35,10000,10000,50,0.2
Tense,55.01,54.74,10000,10000,100,0.0
Tense,54.45,54.28,10000,10000,100,0.1
Tense,54.46,53.97,10000,10000,100,0.2
Tense,54.57,54.07,10000,10000,200,0.0
Tense,54.53,54.17,10000,10000,200,0.1
Tense,54.41,53.82,10000,10000,200,0.2
SubjNumber,52.34,51.9,10000,10000,50,0.0
SubjNumber,52.01,51.81,10000,10000,50,0.1
SubjNumber,52.16,52.04,10000,10000,50,0.2
SubjNumber,52.2,51.92,10000,10000,100,0.0
SubjNumber,51.84,52.34,10000,10000,100,0.1
SubjNumber,51.85,52.21,10000,10000,100,0.2
SubjNumber,52.21,51.51,10000,10000,200,0.0
SubjNumber,52.31,51.6,10000,10000,200,0.1
SubjNumber,52.15,51.64,10000,10000,200,0.2
ObjNumber,51.71,51.32,10000,10000,50,0.0
ObjNumber,51.68,50.81,10000,10000,50,0.1
ObjNumber,51.7,50.93,10000,10000,50,0.2
ObjNumber,51.71,51.16,10000,10000,100,0.0
ObjNumber,51.91,51.41,10000,10000,100,0.1
ObjNumber,51.51,51.11,10000,10000,100,0.2
ObjNumber,51.69,51.26,10000,10000,200,0.0
ObjNumber,51.72,50.99,10000,10000,200,0.1
ObjNumber,51.71,51.05,10000,10000,200,0.2
OddManOut,50.56,50.51,10000,10000,50,0.0
OddManOut,50.55,50.13,10000,10000,50,0.1
OddManOut,50.62,50.27,10000,10000,50,0.2
OddManOut,50.58,50.35,10000,10000,100,0.0
OddManOut,50.68,50.6,10000,10000,100,0.1
OddManOut,50.65,51.03,10000,10000,100,0.2
OddManOut,50.88,51.2,10000,10000,200,0.0
OddManOut,50.78,50.38,10000,10000,200,0.1
OddManOut,50.7,50.23,10000,10000,200,0.2
CoordinationInversion,51.66,50.96,10002,10002,50,0.0
CoordinationInversion,51.51,51.15,10002,10002,50,0.1
CoordinationInversion,51.31,50.8,10002,10002,50,0.2
CoordinationInversion,51.6,50.79,10002,10002,100,0.0
CoordinationInversion,51.44,50.8,10002,10002,100,0.1
CoordinationInversion,51.15,50.89,10002,10002,100,0.2
CoordinationInversion,51.32,50.82,10002,10002,200,0.0
CoordinationInversion,51.46,50.75,10002,10002,200,0.1
CoordinationInversion,52.02,51.22,10002,10002,200,0.2
