task,devacc,acc,ndev,ntest,nhid,dropout
Length,95.95,95.7,9996,9996,50,0.0
Length,95.31,95.18,9996,9996,50,0.1
Length,95.45,95.32,9996,9996,50,0.2
Length,95.51,95.38,9996,9996,100,0.0
Length,95.39,95.2,9996,9996,100,0.1
Length,95.34,95.15,9996,9996,100,0.2
Length,95.46,95.52,9996,9996,200,0.0
Length,95.37,95.18,9996,9996,200,0.1
Length,95.24,95.13,9996,9996,200,0.2
WordContent,46.92,46.55,10000,10000,50,0.0
WordContent,46.92,46.55,10000,10000,50,0.1
WordContent,46.92,46.55,10000,10000,50,0.2
WordContent,46.92,46.55,10000,10000,100,0.0
WordContent,46.92,46.55,10000,10000,100,0.1
WordContent,46.92,46.55,10000,10000,100,0.2
WordContent,46.92,46.55,10000,10000,200,0.0
WordContent,46.92,46.55,10000,10000,200,0.1
WordContent,46.92,46.55,10000,10000,200,0.2
Depth,36.04,36.32,10000,10000,50,0.0
Depth,33.75,34.16,10000,10000,50,0.1
Depth,33.31,33.52,10000,10000,50,0.2
Depth,36.42,36.89,10000,10000,100,0.0
Depth,34.52,34.89,10000,10000,100,0.1
Depth,33.56,33.88,10000,10000,100,0.2
Depth,36.47,37.31,10000,10000,200,0.0
Depth,34.68,35.27,10000,10000,200,0.1
Depth,33.58,34.43,10000,10000,200,0.2
TopConstituents,53.55,53.19,10000,10000,50,0.0
TopConstituents,51.9,52.18,10000,10000,50,0.1
TopConstituents,51.15,51.64,10000,10000,50,0.2
TopConstituents,54.36,54.55,10000,10000,100,0.0
TopConstituents,52.15,52.48,10000,10000,100,0.1
TopConstituents,51.39,51.68,10000,10000,100,0.2
TopConstituents,55.45,55.14,10000,10000,200,0.0
TopConstituents,53.06,52.81,10000,10000,200,0.1
TopConstituents,51.92,51.94,10000,10000,200,0.2
BigramShift,50.41,50.06,10000,10000,50,0.0
BigramShift,50.37,49.88,10000,10000,50,0.1
BigramShift,50.56,50.32,10000,10000,50,0.2
BigramShift,50.43,50.27,10000,10000,100,0.0
BigramShift,50.33,49.7,10000,10000,100,0.1
BigramShift,50.45,50.46,10000,10000,100,0.2
BigramShift,50.58,49.83,10000,10000,200,0.0
BigramShift,50.29,50.18,10000,10000,200,0.1
BigramShift,50.36,49.47,10000,10000,200,0.2
Tense,84.08,83.58,10000,10000,50,0.0
Tense,82.91,82.27,10000,10000,50,0.1
Tense,82.91,82.22,10000,10000,50,0.2
Tense,84.14,83.61,10000,10000,100,0.0
Tense,83.02,82.35,10000,10000,100,0.1
Tense,83.03,82.57,10000,10000,100,0.2
Tense,83.59,83.2,10000,10000,200,0.0
Tense,83.29,82.61,10000,10000,200,0.1
Tense,83.19,82.27,10000,10000,200,0.2
SubjNumber,77.91,76.87,10000,10000,50,0.0
SubjNumber,77.11,76.02,10000,10000,50,0.1
SubjNumber,77.03,76.0,10000,10000,50,0.2
SubjNumber,77.79,77.21,10000,10000,100,0.0
SubjNumber,77.06,76.01,10000,10000,100,0.1
SubjNumber,77.03,76.1,10000,10000,100,0.2
SubjNumber,77.66,76.64,10000,10000,200,0.0
SubjNumber,77.57,76.42,10000,10000,200,0.1
SubjNumber,77.44,76.46,10000,10000,200,0.2
ObjNumber,75.18,76.52,10000,10000,50,0.0
ObjNumber,74.65,75.92,10000,10000,50,0.1
ObjNumber,74.65,75.96,10000,10000,50,0.2
ObjNumber,75.22,76.55,10000,10000,100,0.0
ObjNumber,74.79,75.9,10000,10000,100,0.1
ObjNumber,74.86,75.91,10000,10000,100,0.2
ObjNumber,74.75,76.16,10000,10000,200,0.0
ObjNumber,74.65,75.72,10000,10000,200,0.1
ObjNumber,74.66,75.68,10000,10000,200,0.2
OddManOut,51.48,50.74,10000,10000,50,0.0
OddManOut,50.25,49.92,10000,10000,50,0.1
OddManOut,50.3,49.87,10000,10000,50,0.2
OddManOut,51.33,50.93,10000,10000,100,0.0
OddManOut,50.35,49.4,10000,10000,100,0.1
OddManOut,50.24,49.57,10000,10000,100,0.2
OddManOut,51.04,50.2,10000,10000,200,0.0
OddManOut,50.75,50.04,10000,10000,200,0.1
OddManOut,50.66,49.79,10000,10000,200,0.2
CoordinationInversion,50.08,50.22,10002,10002,50,0.0
CoordinationInversion,50.67,50.14,10002,10002,50,0.1
CoordinationInversion,50.27,50.24,10002,10002,50,0.2
CoordinationInversion,50.27,50.05,10002,10002,100,0.0
CoordinationInversion,50.61,50.39,10002,10002,100,0.1
CoordinationInversion,50.23,50.87,10002,10002,100,0.2
CoordinationInversion,50.2,50.21,10002,10002,200,0.0
CoordinationInversion,50.81,50.94,10002,10002,200,0.1
CoordinationInversion,50.83,50.79,10002,10002,200,0.2
