task,devacc,acc,ndev,ntest,nhid,dropout
Length,80.56,80.68,9996,9996,50,0.0
Length,79.83,79.77,9996,9996,50,0.1
Length,79.47,79.86,9996,9996,50,0.2
Length,80.74,80.84,9996,9996,100,0.0
Length,80.36,80.4,9996,9996,100,0.1
Length,79.84,79.76,9996,9996,100,0.2
Length,80.59,80.75,9996,9996,200,0.0
Length,80.49,81.03,9996,9996,200,0.1
Length,80.15,80.41,9996,9996,200,0.2
WordContent,0.28,0.2,10000,10000,50,0.0
WordContent,0.28,0.2,10000,10000,50,0.1
WordContent,0.28,0.2,10000,10000,50,0.2
WordContent,0.28,0.2,10000,10000,100,0.0
WordContent,0.28,0.2,10000,10000,100,0.1
WordContent,0.28,0.2,10000,10000,100,0.2
WordContent,0.28,0.2,10000,10000,200,0.0
WordContent,0.28,0.2,10000,10000,200,0.1
WordContent,0.28,0.2,10000,10000,200,0.2
Depth,28.82,29.49,10000,10000,50,0.0
Depth,28.52,28.73,10000,10000,50,0.1
Depth,28.32,28.65,10000,10000,50,0.2
Depth,29.24,29.58,10000,10000,100,0.0
Depth,28.14,28.58,10000,10000,100,0.1
Depth,28.08,28.36,10000,10000,100,0.2
Depth,28.75,29.07,10000,10000,200,0.0
Depth,27.59,28.25,10000,10000,200,0.1
Depth,27.72,27.87,10000,10000,200,0.2
TopConstituents,21.34,21.52,10000,10000,50,0.0
TopConstituents,21.2,21.42,10000,10000,50,0.1
TopConstituents,21.15,21.08,10000,10000,50,0.2
TopConstituents,21.45,21.7,10000,10000,100,0.0
TopConstituents,21.38,21.4,10000,10000,100,0.1
TopConstituents,21.19,21.95,10000,10000,100,0.2
TopConstituents,21.5,21.91,10000,10000,200,0.0
TopConstituents,21.36,21.72,10000,10000,200,0.1
TopConstituents,21.2,21.31,10000,10000,200,0.2
BigramShift,55.24,55.3,10000,10000,50,0.0
BigramShift,54.69,54.41,10000,10000,50,0.1
BigramShift,54.62,54.54,10000,10000,50,0.2
BigramShift,55.96,55.88,10000,10000,100,0.0
BigramShift,54.64,54.22,10000,10000,100,0.1
BigramShift,55.01,54.43,10000,10000,100,0.2
BigramShift,56.02,55.83,10000,10000,200,0.0
BigramShift,54.95,54.68,10000,10000,200,0.1
BigramShift,54.83,54.55,10000,10000,200,0.2
Tense,69.4,69.03,10000,10000,50,0.0
Tense,68.95,69.0,10000,10000,50,0.1
Tense,68.93,68.91,10000,10000,50,0.2
Tense,69.14,69.07,10000,10000,100,0.0
Tense,68.98,68.81,10000,10000,100,0.1
Tense,68.91,68.69,10000,10000,100,0.2
Tense,69.33,69.01,10000,10000,200,0.0
Tense,68.95,68.3,10000,10000,200,0.1
Tense,68.88,67.9,10000,10000,200,0.2
SubjNumber,65.65,67.45,10000,10000,50,0.0
SubjNumber,65.57,67.45,10000,10000,50,0.1
SubjNumber,65.58,67.49,10000,10000,50,0.2
SubjNumber,65.81,67.63,10000,10000,100,0.0
SubjNumber,65.81,67.65,10000,10000,100,0.1
SubjNumber,65.67,67.67,10000,10000,100,0.2
SubjNumber,65.88,67.74,10000,10000,200,0.0
SubjNumber,65.83,67.6,10000,10000,200,0.1
SubjNumber,65.86,67.72,10000,10000,200,0.2
ObjNumber,63.79,64.92,10000,10000,50,0.0
ObjNumber,63.36,63.86,10000,10000,50,0.1
ObjNumber,63.53,64.17,10000,10000,50,0.2
ObjNumber,64.01,64.95,10000,10000,100,0.0
ObjNumber,63.37,64.21,10000,10000,100,0.1
ObjNumber,62.74,64.17,10000,10000,100,0.2
ObjNumber,63.05,63.87,10000,10000,200,0.0
ObjNumber,63.28,63.92,10000,10000,200,0.1
ObjNumber,63.05,63.88,10000,10000,200,0.2
OddManOut,52.89,52.62,10000,10000,50,0.0
OddManOut,53.04,52.81,10000,10000,50,0.1
OddManOut,53.04,52.9,10000,10000,50,0.2
OddManOut,52.78,52.04,10000,10000,100,0.0
OddManOut,52.81,52.13,10000,10000,100,0.1
OddManOut,52.98,52.39,10000,10000,100,0.2
OddManOut,51.99,51.22,10000,10000,200,0.0
OddManOut,52.84,51.85,10000,10000,200,0.1
OddManOut,52.58,51.93,10000,10000,200,0.2
CoordinationInversion,60.34,59.65,10002,10002,50,0.0
CoordinationInversion,59.83,58.7,10002,10002,50,0.1
CoordinationInversion,59.67,58.62,10002,10002,50,0.2
CoordinationInversion,60.43,59.39,10002,10002,100,0.0
CoordinationInversion,59.72,58.75,10002,10002,100,0.1
CoordinationInversion,59.71,58.15,10002,10002,100,0.2
CoordinationInversion,60.32,59.6,10002,10002,200,0.0
CoordinationInversion,59.86,58.8,10002,10002,200,0.1
CoordinationInversion,59.69,58.72,10002,10002,200,0.2
