task,devacc,acc,ndev,ntest,nhid,dropout
Length,75.3,75.93,9996,9996,50,0.0
Length,74.04,74.24,9996,9996,50,0.1
Length,71.93,72.18,9996,9996,50,0.2
Length,75.58,75.76,9996,9996,100,0.0
Length,74.23,73.88,9996,9996,100,0.1
Length,73.09,73.4,9996,9996,100,0.2
Length,76.17,76.36,9996,9996,200,0.0
Length,74.75,74.67,9996,9996,200,0.1
Length,72.23,72.53,9996,9996,200,0.2
WordContent,0.26,0.14,10000,10000,50,0.0
WordContent,0.26,0.14,10000,10000,50,0.1
WordContent,0.26,0.14,10000,10000,50,0.2
WordContent,0.26,0.14,10000,10000,100,0.0
WordContent,0.26,0.14,10000,10000,100,0.1
WordContent,0.26,0.14,10000,10000,100,0.2
WordContent,0.26,0.14,10000,10000,200,0.0
WordContent,0.26,0.14,10000,10000,200,0.1
WordContent,0.26,0.14,10000,10000,200,0.2
Depth,29.88,30.06,10000,10000,50,0.0
Depth,29.35,29.1,10000,10000,50,0.1
Depth,29.24,28.87,10000,10000,50,0.2
Depth,30.04,29.89,10000,10000,100,0.0
Depth,29.25,29.18,10000,10000,100,0.1
Depth,29.04,28.95,10000,10000,100,0.2
Depth,30.2,30.41,10000,10000,200,0.0
Depth,29.14,29.1,10000,10000,200,0.1
Depth,28.87,29.24,10000,10000,200,0.2
TopConstituents,21.33,21.63,10000,10000,50,0.0
TopConstituents,20.59,20.5,10000,10000,50,0.1
TopConstituents,20.62,20.47,10000,10000,50,0.2
TopConstituents,21.23,20.99,10000,10000,100,0.0
TopConstituents,20.99,20.75,10000,10000,100,0.1
TopConstituents,20.87,20.57,10000,10000,100,0.2
TopConstituents,21.28,20.94,10000,10000,200,0.0
TopConstituents,20.92,21.15,10000,10000,200,0.1
TopConstituents,20.87,21.12,10000,10000,200,0.2
BigramShift,56.32,57.35,10000,10000,50,0.0
BigramShift,55.39,56.12,10000,10000,50,0.1
BigramShift,55.0,55.93,10000,10000,50,0.2
BigramShift,56.0,57.05,10000,10000,100,0.0
BigramShift,55.47,56.11,10000,10000,100,0.1
BigramShift,54.84,55.94,10000,10000,100,0.2
BigramShift,55.99,57.32,10000,10000,200,0.0
BigramShift,54.66,55.33,10000,10000,200,0.1
BigramShift,54.96,55.43,10000,10000,200,0.2
Tense,70.14,70.35,10000,10000,50,0.0
Tense,69.74,69.94,10000,10000,50,0.1
Tense,69.71,69.96,10000,10000,50,0.2
Tense,70.24,70.56,10000,10000,100,0.0
Tense,69.77,70.09,10000,10000,100,0.1
Tense,69.77,70.14,10000,10000,100,0.2
Tense,70.1,70.54,10000,10000,200,0.0
Tense,69.71,70.06,10000,10000,200,0.1
Tense,69.66,70.05,10000,10000,200,0.2
SubjNumber,65.86,66.68,10000,10000,50,0.0
SubjNumber,65.7,66.61,10000,10000,50,0.1
SubjNumber,65.66,66.52,10000,10000,50,0.2
SubjNumber,65.83,66.53,10000,10000,100,0.0
SubjNumber,65.89,66.68,10000,10000,100,0.1
SubjNumber,65.87,66.61,10000,10000,100,0.2
SubjNumber,66.02,66.63,10000,10000,200,0.0
SubjNumber,65.85,66.84,10000,10000,200,0.1
SubjNumber,65.72,66.77,10000,10000,200,0.2
ObjNumber,64.52,65.32,10000,10000,50,0.0
ObjNumber,64.25,65.15,10000,10000,50,0.1
ObjNumber,64.23,64.99,10000,10000,50,0.2
ObjNumber,64.52,65.34,10000,10000,100,0.0
ObjNumber,64.34,65.08,10000,10000,100,0.1
ObjNumber,64.36,65.17,10000,10000,100,0.2
ObjNumber,64.41,65.34,10000,10000,200,0.0
ObjNumber,64.07,64.8,10000,10000,200,0.1
ObjNumber,64.23,64.92,10000,10000,200,0.2
OddManOut,52.68,52.29,10000,10000,50,0.0
OddManOut,52.34,52.46,10000,10000,50,0.1
OddManOut,52.33,52.42,10000,10000,50,0.2
OddManOut,52.41,52.34,10000,10000,100,0.0
OddManOut,52.91,52.42,10000,10000,100,0.1
OddManOut,53.03,52.45,10000,10000,100,0.2
OddManOut,52.97,52.68,10000,10000,200,0.0
OddManOut,52.87,52.28,10000,10000,200,0.1
OddManOut,52.94,52.31,10000,10000,200,0.2
CoordinationInversion,60.75,59.32,10002,10002,50,0.0
CoordinationInversion,59.47,58.72,10002,10002,50,0.1
CoordinationInversion,59.64,58.19,10002,10002,50,0.2
CoordinationInversion,60.36,59.34,10002,10002,100,0.0
CoordinationInversion,59.58,58.5,10002,10002,100,0.1
CoordinationInversion,59.66,58.4,10002,10002,100,0.2
CoordinationInversion,60.45,59.43,10002,10002,200,0.0
CoordinationInversion,59.81,58.62,10002,10002,200,0.1
CoordinationInversion,59.9,58.68,10002,10002,200,0.2
