task,devacc,acc,ndev,ntest,nhid,dropout
Length,63.86,64.86,9996,9996,50,0.0
Length,61.89,62.01,9996,9996,50,0.1
Length,61.11,61.42,9996,9996,50,0.2
Length,65.15,65.37,9996,9996,100,0.0
Length,62.84,63.11,9996,9996,100,0.1
Length,61.48,61.93,9996,9996,100,0.2
Length,65.44,66.12,9996,9996,200,0.0
Length,63.0,63.73,9996,9996,200,0.1
Length,62.32,62.36,9996,9996,200,0.2
WordContent,19.46,18.85,10000,10000,50,0.0
WordContent,19.46,18.85,10000,10000,50,0.1
WordContent,19.46,18.85,10000,10000,50,0.2
WordContent,19.46,18.85,10000,10000,100,0.0
WordContent,19.46,18.85,10000,10000,100,0.1
WordContent,19.46,18.85,10000,10000,100,0.2
WordContent,19.46,18.85,10000,10000,200,0.0
WordContent,19.46,18.85,10000,10000,200,0.1
WordContent,19.46,18.85,10000,10000,200,0.2
Depth,28.13,28.48,10000,10000,50,0.0
Depth,27.78,27.65,10000,10000,50,0.1
Depth,27.49,27.05,10000,10000,50,0.2
Depth,28.68,28.7,10000,10000,100,0.0
Depth,28.3,27.81,10000,10000,100,0.1
Depth,27.36,27.63,10000,10000,100,0.2
Depth,29.31,29.27,10000,10000,200,0.0
Depth,28.08,27.99,10000,10000,200,0.1
Depth,27.78,27.73,10000,10000,200,0.2
TopConstituents,44.65,43.57,10000,10000,50,0.0
TopConstituents,43.35,42.6,10000,10000,50,0.1
TopConstituents,43.4,42.63,10000,10000,50,0.2
TopConstituents,45.61,45.55,10000,10000,100,0.0
TopConstituents,43.4,42.2,10000,10000,100,0.1
TopConstituents,42.79,42.21,10000,10000,100,0.2
TopConstituents,46.24,46.29,10000,10000,200,0.0
TopConstituents,43.69,42.78,10000,10000,200,0.1
TopConstituents,42.97,41.96,10000,10000,200,0.2
BigramShift,50.69,50.81,10000,10000,50,0.0
BigramShift,50.17,49.98,10000,10000,50,0.1
BigramShift,50.21,50.06,10000,10000,50,0.2
BigramShift,50.58,50.74,10000,10000,100,0.0
BigramShift,50.32,51.03,10000,10000,100,0.1
BigramShift,50.1,50.67,10000,10000,100,0.2
BigramShift,50.44,50.57,10000,10000,200,0.0
BigramShift,50.66,51.24,10000,10000,200,0.1
BigramShift,50.48,50.84,10000,10000,200,0.2
Tense,68.15,64.54,10000,10000,50,0.0
Tense,68.32,64.9,10000,10000,50,0.1
Tense,68.16,64.92,10000,10000,50,0.2
Tense,68.34,65.26,10000,10000,100,0.0
Tense,68.41,65.07,10000,10000,100,0.1
Tense,68.08,64.77,10000,10000,100,0.2
Tense,68.22,65.16,10000,10000,200,0.0
Tense,68.47,65.07,10000,10000,200,0.1
Tense,68.22,64.86,10000,10000,200,0.2
SubjNumber,65.17,65.53,10000,10000,50,0.0
SubjNumber,63.27,63.7,10000,10000,50,0.1
SubjNumber,62.89,63.75,10000,10000,50,0.2
SubjNumber,65.82,65.58,10000,10000,100,0.0
SubjNumber,63.17,63.83,10000,10000,100,0.1
SubjNumber,63.41,63.9,10000,10000,100,0.2
SubjNumber,64.78,65.26,10000,10000,200,0.0
SubjNumber,63.44,64.76,10000,10000,200,0.1
SubjNumber,63.25,64.05,10000,10000,200,0.2
ObjNumber,62.87,62.61,10000,10000,50,0.0
ObjNumber,62.47,61.24,10000,10000,50,0.1
ObjNumber,62.25,61.04,10000,10000,50,0.2
ObjNumber,62.67,62.61,10000,10000,100,0.0
ObjNumber,62.33,61.62,10000,10000,100,0.1
ObjNumber,62.3,61.37,10000,10000,100,0.2
ObjNumber,62.87,63.22,10000,10000,200,0.0
ObjNumber,62.57,61.97,10000,10000,200,0.1
ObjNumber,62.36,61.74,10000,10000,200,0.2
OddManOut,51.05,50.3,10000,10000,50,0.0
OddManOut,50.95,50.3,10000,10000,50,0.1
OddManOut,50.98,50.18,10000,10000,50,0.2
OddManOut,51.31,49.82,10000,10000,100,0.0
OddManOut,50.66,50.37,10000,10000,100,0.1
OddManOut,50.75,50.46,10000,10000,100,0.2
OddManOut,51.16,49.89,10000,10000,200,0.0
OddManOut,50.84,50.31,10000,10000,200,0.1
OddManOut,50.82,50.44,10000,10000,200,0.2
CoordinationInversion,53.55,53.21,10002,10002,50,0.0
CoordinationInversion,53.15,52.87,10002,10002,50,0.1
CoordinationInversion,53.0,52.76,10002,10002,50,0.2
CoordinationInversion,53.59,53.25,10002,10002,100,0.0
CoordinationInversion,53.11,52.84,10002,10002,100,0.1
CoordinationInversion,53.02,52.43,10002,10002,100,0.2
CoordinationInversion,54.0,53.77,10002,10002,200,0.0
CoordinationInversion,52.87,52.66,10002,10002,200,0.1
CoordinationInversion,52.83,52.61,10002,10002,200,0.2
