task,devacc,acc,ndev,ntest,nhid,dropout
Length,85.76,85.39,9996,9996,50,0.0
Length,84.97,84.29,9996,9996,50,0.1
Length,84.66,83.98,9996,9996,50,0.2
Length,85.44,84.82,9996,9996,100,0.0
Length,85.18,84.52,9996,9996,100,0.1
Length,84.96,84.36,9996,9996,100,0.2
Length,85.19,84.3,9996,9996,200,0.0
Length,85.04,84.86,9996,9996,200,0.1
Length,84.99,84.17,9996,9996,200,0.2
WordContent,46.23,46.13,10000,10000,50,0.0
WordContent,46.23,46.13,10000,10000,50,0.1
WordContent,46.23,46.13,10000,10000,50,0.2
WordContent,46.23,46.13,10000,10000,100,0.0
WordContent,46.23,46.13,10000,10000,100,0.1
WordContent,46.23,46.13,10000,10000,100,0.2
WordContent,46.23,46.13,10000,10000,200,0.0
WordContent,46.23,46.13,10000,10000,200,0.1
WordContent,46.23,46.13,10000,10000,200,0.2
Depth,33.45,32.54,10000,10000,50,0.0
Depth,31.98,31.36,10000,10000,50,0.1
Depth,31.56,30.99,10000,10000,50,0.2
Depth,33.85,32.83,10000,10000,100,0.0
Depth,32.09,31.53,10000,10000,100,0.1
Depth,31.65,30.9,10000,10000,100,0.2
Depth,33.8,32.66,10000,10000,200,0.0
Depth,32.76,31.15,10000,10000,200,0.1
Depth,31.55,31.41,10000,10000,200,0.2
TopConstituents,53.87,53.75,10000,10000,50,0.0
TopConstituents,51.87,52.14,10000,10000,50,0.1
TopConstituents,51.27,51.1,10000,10000,50,0.2
TopConstituents,55.67,55.35,10000,10000,100,0.0
TopConstituents,53.38,54.02,10000,10000,100,0.1
TopConstituents,52.15,52.51,10000,10000,100,0.2
TopConstituents,56.72,55.84,10000,10000,200,0.0
TopConstituents,54.72,54.68,10000,10000,200,0.1
TopConstituents,53.16,53.03,10000,10000,200,0.2
BigramShift,52.29,51.33,10000,10000,50,0.0
BigramShift,52.33,51.34,10000,10000,50,0.1
BigramShift,52.24,51.3,10000,10000,50,0.2
BigramShift,52.52,51.72,10000,10000,100,0.0
BigramShift,52.59,51.73,10000,10000,100,0.1
BigramShift,52.37,51.24,10000,10000,100,0.2
BigramShift,52.29,51.46,10000,10000,200,0.0
BigramShift,52.36,51.52,10000,10000,200,0.1
BigramShift,52.48,51.43,10000,10000,200,0.2
Tense,77.92,75.24,10000,10000,50,0.0
Tense,76.87,74.06,10000,10000,50,0.1
Tense,76.67,73.56,10000,10000,50,0.2
Tense,77.92,74.95,10000,10000,100,0.0
Tense,77.11,74.63,10000,10000,100,0.1
Tense,76.72,73.83,10000,10000,100,0.2
Tense,78.45,75.3,10000,10000,200,0.0
Tense,76.95,74.64,10000,10000,200,0.1
Tense,76.88,74.37,10000,10000,200,0.2
SubjNumber,74.53,74.16,10000,10000,50,0.0
SubjNumber,72.76,73.19,10000,10000,50,0.1
SubjNumber,72.79,73.09,10000,10000,50,0.2
SubjNumber,74.68,73.98,10000,10000,100,0.0
SubjNumber,73.14,72.91,10000,10000,100,0.1
SubjNumber,72.91,72.73,10000,10000,100,0.2
SubjNumber,74.58,74.1,10000,10000,200,0.0
SubjNumber,73.27,72.69,10000,10000,200,0.1
SubjNumber,72.84,72.51,10000,10000,200,0.2
ObjNumber,74.01,73.39,10000,10000,50,0.0
ObjNumber,73.47,72.33,10000,10000,50,0.1
ObjNumber,73.33,72.44,10000,10000,50,0.2
ObjNumber,73.96,73.22,10000,10000,100,0.0
ObjNumber,73.33,72.7,10000,10000,100,0.1
ObjNumber,73.24,72.48,10000,10000,100,0.2
ObjNumber,73.59,73.29,10000,10000,200,0.0
ObjNumber,73.28,72.64,10000,10000,200,0.1
ObjNumber,73.21,72.52,10000,10000,200,0.2
OddManOut,51.07,50.97,10000,10000,50,0.0
OddManOut,51.16,51.03,10000,10000,50,0.1
OddManOut,51.14,51.01,10000,10000,50,0.2
OddManOut,51.43,50.97,10000,10000,100,0.0
OddManOut,51.41,51.24,10000,10000,100,0.1
OddManOut,51.35,51.29,10000,10000,100,0.2
OddManOut,51.07,51.18,10000,10000,200,0.0
OddManOut,50.93,51.01,10000,10000,200,0.1
OddManOut,51.09,51.03,10000,10000,200,0.2
CoordinationInversion,54.77,53.63,10002,10002,50,0.0
CoordinationInversion,54.16,54.09,10002,10002,50,0.1
CoordinationInversion,53.78,54.19,10002,10002,50,0.2
CoordinationInversion,54.83,54.13,10002,10002,100,0.0
CoordinationInversion,53.97,53.68,10002,10002,100,0.1
CoordinationInversion,53.81,53.98,10002,10002,100,0.2
CoordinationInversion,54.57,54.14,10002,10002,200,0.0
CoordinationInversion,53.9,53.94,10002,10002,200,0.1
CoordinationInversion,53.75,53.68,10002,10002,200,0.2
