task,devacc,acc,ndev,ntest,nhid,dropout
Length,62.27,64.69,9996,9996,50,0.0
Length,60.56,62.74,9996,9996,50,0.1
Length,59.84,62.1,9996,9996,50,0.2
Length,63.44,65.38,9996,9996,100,0.0
Length,60.42,63.07,9996,9996,100,0.1
Length,61.03,62.84,9996,9996,100,0.2
Length,63.85,65.71,9996,9996,200,0.0
Length,62.15,65.13,9996,9996,200,0.1
Length,60.77,62.91,9996,9996,200,0.2
WordContent,10.7,10.68,10000,10000,50,0.0
WordContent,10.7,10.68,10000,10000,50,0.1
WordContent,10.7,10.68,10000,10000,50,0.2
WordContent,10.7,10.68,10000,10000,100,0.0
WordContent,10.7,10.68,10000,10000,100,0.1
WordContent,10.7,10.68,10000,10000,100,0.2
WordContent,10.7,10.68,10000,10000,200,0.0
WordContent,10.7,10.68,10000,10000,200,0.1
WordContent,10.7,10.68,10000,10000,200,0.2
Depth,27.48,27.94,10000,10000,50,0.0
Depth,26.56,27.38,10000,10000,50,0.1
Depth,26.35,27.52,10000,10000,50,0.2
Depth,27.05,27.49,10000,10000,100,0.0
Depth,26.42,28.05,10000,10000,100,0.1
Depth,26.42,27.72,10000,10000,100,0.2
Depth,27.44,27.7,10000,10000,200,0.0
Depth,26.39,27.43,10000,10000,200,0.1
Depth,26.27,26.68,10000,10000,200,0.2
TopConstituents,41.64,40.85,10000,10000,50,0.0
TopConstituents,40.34,39.68,10000,10000,50,0.1
TopConstituents,39.96,39.41,10000,10000,50,0.2
TopConstituents,42.8,41.81,10000,10000,100,0.0
TopConstituents,40.72,40.34,10000,10000,100,0.1
TopConstituents,40.29,39.89,10000,10000,100,0.2
TopConstituents,43.16,43.1,10000,10000,200,0.0
TopConstituents,41.15,40.23,10000,10000,200,0.1
TopConstituents,40.39,40.07,10000,10000,200,0.2
BigramShift,51.95,51.93,10000,10000,50,0.0
BigramShift,51.99,51.79,10000,10000,50,0.1
BigramShift,52.05,51.97,10000,10000,50,0.2
BigramShift,51.94,51.96,10000,10000,100,0.0
BigramShift,51.82,52.05,10000,10000,100,0.1
BigramShift,51.88,52.56,10000,10000,100,0.2
BigramShift,52.16,51.72,10000,10000,200,0.0
BigramShift,52.06,52.03,10000,10000,200,0.1
BigramShift,52.07,51.79,10000,10000,200,0.2
Tense,66.84,63.53,10000,10000,50,0.0
Tense,66.57,62.7,10000,10000,50,0.1
Tense,66.56,63.18,10000,10000,50,0.2
Tense,67.17,63.51,10000,10000,100,0.0
Tense,66.72,62.64,10000,10000,100,0.1
Tense,66.76,62.71,10000,10000,100,0.2
Tense,66.77,63.07,10000,10000,200,0.0
Tense,66.57,62.43,10000,10000,200,0.1
Tense,66.59,62.87,10000,10000,200,0.2
SubjNumber,64.05,65.0,10000,10000,50,0.0
SubjNumber,63.32,63.72,10000,10000,50,0.1
SubjNumber,63.17,63.72,10000,10000,50,0.2
SubjNumber,63.54,64.43,10000,10000,100,0.0
SubjNumber,62.95,63.69,10000,10000,100,0.1
SubjNumber,62.91,63.71,10000,10000,100,0.2
SubjNumber,63.29,64.26,10000,10000,200,0.0
SubjNumber,62.71,63.59,10000,10000,200,0.1
SubjNumber,62.51,63.62,10000,10000,200,0.2
ObjNumber,61.75,62.74,10000,10000,50,0.0
ObjNumber,61.47,61.72,10000,10000,50,0.1
ObjNumber,61.22,61.57,10000,10000,50,0.2
ObjNumber,61.77,62.45,10000,10000,100,0.0
ObjNumber,61.37,62.34,10000,10000,100,0.1
ObjNumber,61.14,61.27,10000,10000,100,0.2
ObjNumber,61.79,62.56,10000,10000,200,0.0
ObjNumber,61.4,62.21,10000,10000,200,0.1
ObjNumber,61.16,62.19,10000,10000,200,0.2
OddManOut,50.72,50.39,10000,10000,50,0.0
OddManOut,50.51,50.18,10000,10000,50,0.1
OddManOut,50.68,50.55,10000,10000,50,0.2
OddManOut,50.63,49.97,10000,10000,100,0.0
OddManOut,50.78,50.35,10000,10000,100,0.1
OddManOut,50.51,50.5,10000,10000,100,0.2
OddManOut,50.82,50.04,10000,10000,200,0.0
OddManOut,50.53,50.09,10000,10000,200,0.1
OddManOut,50.57,50.93,10000,10000,200,0.2
CoordinationInversion,52.45,51.96,10002,10002,50,0.0
CoordinationInversion,52.21,51.81,10002,10002,50,0.1
CoordinationInversion,52.33,51.94,10002,10002,50,0.2
CoordinationInversion,52.18,52.19,10002,10002,100,0.0
CoordinationInversion,52.19,52.3,10002,10002,100,0.1
CoordinationInversion,52.18,52.18,10002,10002,100,0.2
CoordinationInversion,52.47,51.41,10002,10002,200,0.0
CoordinationInversion,52.37,52.34,10002,10002,200,0.1
CoordinationInversion,52.19,52.02,10002,10002,200,0.2
