task,devacc,acc,ndev,ntest,nhid,dropout
Length,93.13,93.78,9996,9996,50,0.0
Length,92.61,93.0,9996,9996,50,0.1
Length,92.16,92.54,9996,9996,50,0.2
Length,93.18,93.52,9996,9996,100,0.0
Length,92.43,92.62,9996,9996,100,0.1
Length,92.26,92.49,9996,9996,100,0.2
Length,93.12,94.02,9996,9996,200,0.0
Length,92.42,92.56,9996,9996,200,0.1
Length,92.13,92.61,9996,9996,200,0.2
WordContent,54.3,54.61,10000,10000,50,0.0
WordContent,54.3,54.61,10000,10000,50,0.1
WordContent,54.3,54.61,10000,10000,50,0.2
WordContent,54.3,54.61,10000,10000,100,0.0
WordContent,54.3,54.61,10000,10000,100,0.1
WordContent,54.3,54.61,10000,10000,100,0.2
WordContent,54.3,54.61,10000,10000,200,0.0
WordContent,54.3,54.61,10000,10000,200,0.1
WordContent,54.3,54.61,10000,10000,200,0.2
Depth,36.19,36.23,10000,10000,50,0.0
Depth,34.41,34.97,10000,10000,50,0.1
Depth,33.31,32.5,10000,10000,50,0.2
Depth,36.61,36.96,10000,10000,100,0.0
Depth,34.65,35.37,10000,10000,100,0.1
Depth,33.56,34.35,10000,10000,100,0.2
Depth,36.95,37.02,10000,10000,200,0.0
Depth,34.97,35.14,10000,10000,200,0.1
Depth,34.23,34.53,10000,10000,200,0.2
TopConstituents,57.24,57.1,10000,10000,50,0.0
TopConstituents,55.81,55.74,10000,10000,50,0.1
TopConstituents,55.44,55.06,10000,10000,50,0.2
TopConstituents,58.01,58.07,10000,10000,100,0.0
TopConstituents,56.73,56.47,10000,10000,100,0.1
TopConstituents,56.04,55.76,10000,10000,100,0.2
TopConstituents,59.01,59.1,10000,10000,200,0.0
TopConstituents,57.35,57.33,10000,10000,200,0.1
TopConstituents,55.83,55.41,10000,10000,200,0.2
BigramShift,51.8,51.2,10000,10000,50,0.0
BigramShift,51.97,50.32,10000,10000,50,0.1
BigramShift,52.06,50.47,10000,10000,50,0.2
BigramShift,51.86,50.68,10000,10000,100,0.0
BigramShift,51.75,51.28,10000,10000,100,0.1
BigramShift,51.91,49.95,10000,10000,100,0.2
BigramShift,52.17,50.71,10000,10000,200,0.0
BigramShift,52.07,51.3,10000,10000,200,0.1
BigramShift,51.83,50.34,10000,10000,200,0.2
Tense,70.92,67.46,10000,10000,50,0.0
Tense,70.63,66.86,10000,10000,50,0.1
Tense,69.88,66.18,10000,10000,50,0.2
Tense,71.1,67.65,10000,10000,100,0.0
Tense,70.86,67.26,10000,10000,100,0.1
Tense,70.57,66.67,10000,10000,100,0.2
Tense,71.2,67.77,10000,10000,200,0.0
Tense,70.3,66.74,10000,10000,200,0.1
Tense,70.32,66.87,10000,10000,200,0.2
SubjNumber,69.97,69.84,10000,10000,50,0.0
SubjNumber,69.99,69.87,10000,10000,50,0.1
SubjNumber,69.84,69.76,10000,10000,50,0.2
SubjNumber,70.23,70.96,10000,10000,100,0.0
SubjNumber,69.99,69.71,10000,10000,100,0.1
SubjNumber,69.86,69.68,10000,10000,100,0.2
SubjNumber,70.42,71.84,10000,10000,200,0.0
SubjNumber,69.97,69.65,10000,10000,200,0.1
SubjNumber,70.0,69.68,10000,10000,200,0.2
ObjNumber,66.7,66.79,10000,10000,50,0.0
ObjNumber,65.35,67.23,10000,10000,50,0.1
ObjNumber,65.47,66.45,10000,10000,50,0.2
ObjNumber,66.41,67.07,10000,10000,100,0.0
ObjNumber,66.21,67.14,10000,10000,100,0.1
ObjNumber,65.93,66.9,10000,10000,100,0.2
ObjNumber,66.56,66.62,10000,10000,200,0.0
ObjNumber,65.84,66.6,10000,10000,200,0.1
ObjNumber,65.72,66.58,10000,10000,200,0.2
OddManOut,50.49,50.36,10000,10000,50,0.0
OddManOut,50.59,50.41,10000,10000,50,0.1
OddManOut,50.59,50.36,10000,10000,50,0.2
OddManOut,50.55,50.39,10000,10000,100,0.0
OddManOut,50.69,50.35,10000,10000,100,0.1
OddManOut,50.67,50.39,10000,10000,100,0.2
OddManOut,50.43,50.24,10000,10000,200,0.0
OddManOut,50.5,50.61,10000,10000,200,0.1
OddManOut,50.6,50.75,10000,10000,200,0.2
CoordinationInversion,52.59,52.85,10002,10002,50,0.0
CoordinationInversion,51.95,51.94,10002,10002,50,0.1
CoordinationInversion,51.93,52.52,10002,10002,50,0.2
CoordinationInversion,52.46,53.13,10002,10002,100,0.0
CoordinationInversion,51.97,52.15,10002,10002,100,0.1
CoordinationInversion,51.94,52.22,10002,10002,100,0.2
CoordinationInversion,52.44,52.99,10002,10002,200,0.0
CoordinationInversion,51.96,52.08,10002,10002,200,0.1
CoordinationInversion,51.76,52.13,10002,10002,200,0.2
