task,devacc,acc,ndev,ntest,nhid,dropout
Length,69.24,70.12,9996,9996,50,0.0
Length,67.9,68.76,9996,9996,50,0.1
Length,67.82,68.85,9996,9996,50,0.2
Length,69.55,70.37,9996,9996,100,0.0
Length,68.02,69.81,9996,9996,100,0.1
Length,67.73,68.33,9996,9996,100,0.2
Length,70.01,70.61,9996,9996,200,0.0
Length,68.97,69.39,9996,9996,200,0.1
Length,68.18,68.78,9996,9996,200,0.2
WordContent,43.92,44.96,10000,10000,50,0.0
WordContent,43.92,44.96,10000,10000,50,0.1
WordContent,43.92,44.96,10000,10000,50,0.2
WordContent,43.92,44.96,10000,10000,100,0.0
WordContent,43.92,44.96,10000,10000,100,0.1
WordContent,43.92,44.96,10000,10000,100,0.2
WordContent,43.92,44.96,10000,10000,200,0.0
WordContent,43.92,44.96,10000,10000,200,0.1
WordContent,43.92,44.96,10000,10000,200,0.2
Depth,34.27,34.88,10000,10000,50,0.0
Depth,32.57,33.26,10000,10000,50,0.1
Depth,32.2,32.25,10000,10000,50,0.2
Depth,34.41,34.13,10000,10000,100,0.0
Depth,33.28,33.43,10000,10000,100,0.1
Depth,32.55,32.75,10000,10000,100,0.2
Depth,34.18,34.37,10000,10000,200,0.0
Depth,33.11,33.75,10000,10000,200,0.1
Depth,32.42,32.68,10000,10000,200,0.2
TopConstituents,57.66,57.1,10000,10000,50,0.0
TopConstituents,56.41,55.41,10000,10000,50,0.1
TopConstituents,56.33,55.5,10000,10000,50,0.2
TopConstituents,59.09,58.7,10000,10000,100,0.0
TopConstituents,57.45,56.8,10000,10000,100,0.1
TopConstituents,56.85,56.05,10000,10000,100,0.2
TopConstituents,60.25,59.63,10000,10000,200,0.0
TopConstituents,58.21,56.99,10000,10000,200,0.1
TopConstituents,57.09,56.64,10000,10000,200,0.2
BigramShift,55.22,54.95,10000,10000,50,0.0
BigramShift,54.61,54.25,10000,10000,50,0.1
BigramShift,54.57,54.84,10000,10000,50,0.2
BigramShift,55.41,54.91,10000,10000,100,0.0
BigramShift,54.68,55.27,10000,10000,100,0.1
BigramShift,54.37,54.98,10000,10000,100,0.2
BigramShift,55.08,55.11,10000,10000,200,0.0
BigramShift,54.52,55.2,10000,10000,200,0.1
BigramShift,54.44,55.31,10000,10000,200,0.2
Tense,72.53,69.05,10000,10000,50,0.0
Tense,72.52,68.96,10000,10000,50,0.1
Tense,72.01,68.31,10000,10000,50,0.2
Tense,72.57,69.16,10000,10000,100,0.0
Tense,72.51,69.06,10000,10000,100,0.1
Tense,71.83,68.39,10000,10000,100,0.2
Tense,72.61,69.25,10000,10000,200,0.0
Tense,72.63,69.08,10000,10000,200,0.1
Tense,72.6,68.86,10000,10000,200,0.2
SubjNumber,71.2,70.24,10000,10000,50,0.0
SubjNumber,71.03,69.9,10000,10000,50,0.1
SubjNumber,70.4,68.96,10000,10000,50,0.2
SubjNumber,71.05,69.95,10000,10000,100,0.0
SubjNumber,70.74,69.03,10000,10000,100,0.1
SubjNumber,70.56,68.99,10000,10000,100,0.2
SubjNumber,70.97,69.78,10000,10000,200,0.0
SubjNumber,70.69,69.56,10000,10000,200,0.1
SubjNumber,70.5,69.71,10000,10000,200,0.2
ObjNumber,67.66,67.93,10000,10000,50,0.0
ObjNumber,67.46,67.44,10000,10000,50,0.1
ObjNumber,67.4,66.87,10000,10000,50,0.2
ObjNumber,67.56,68.35,10000,10000,100,0.0
ObjNumber,67.49,67.98,10000,10000,100,0.1
ObjNumber,67.42,67.69,10000,10000,100,0.2
ObjNumber,67.73,67.72,10000,10000,200,0.0
ObjNumber,67.5,67.96,10000,10000,200,0.1
ObjNumber,67.68,68.02,10000,10000,200,0.2
OddManOut,51.77,50.46,10000,10000,50,0.0
OddManOut,50.87,51.32,10000,10000,50,0.1
OddManOut,50.62,51.05,10000,10000,50,0.2
OddManOut,51.68,50.91,10000,10000,100,0.0
OddManOut,51.11,50.86,10000,10000,100,0.1
OddManOut,50.68,51.29,10000,10000,100,0.2
OddManOut,51.59,50.92,10000,10000,200,0.0
OddManOut,50.95,51.2,10000,10000,200,0.1
OddManOut,51.08,51.0,10000,10000,200,0.2
CoordinationInversion,57.27,56.37,10002,10002,50,0.0
CoordinationInversion,56.34,55.33,10002,10002,50,0.1
CoordinationInversion,56.1,55.03,10002,10002,50,0.2
CoordinationInversion,56.98,56.14,10002,10002,100,0.0
CoordinationInversion,56.11,55.16,10002,10002,100,0.1
CoordinationInversion,55.98,55.09,10002,10002,100,0.2
CoordinationInversion,56.79,56.01,10002,10002,200,0.0
CoordinationInversion,56.2,54.74,10002,10002,200,0.1
CoordinationInversion,55.77,54.78,10002,10002,200,0.2
