task,devacc,acc,ndev,ntest,nhid,dropout
Length,87.47,87.05,9996,9996,50,0.0
Length,87.03,86.46,9996,9996,50,0.1
Length,86.85,86.65,9996,9996,50,0.2
Length,87.45,86.87,9996,9996,100,0.0
Length,87.12,86.63,9996,9996,100,0.1
Length,86.9,86.48,9996,9996,100,0.2
Length,87.57,87.07,9996,9996,200,0.0
Length,86.37,86.19,9996,9996,200,0.1
Length,86.69,86.21,9996,9996,200,0.2
WordContent,51.21,51.63,10000,10000,50,0.0
WordContent,51.21,51.63,10000,10000,50,0.1
WordContent,51.21,51.63,10000,10000,50,0.2
WordContent,51.21,51.63,10000,10000,100,0.0
WordContent,51.21,51.63,10000,10000,100,0.1
WordContent,51.21,51.63,10000,10000,100,0.2
WordContent,51.21,51.63,10000,10000,200,0.0
WordContent,51.21,51.63,10000,10000,200,0.1
WordContent,51.21,51.63,10000,10000,200,0.2
Depth,34.48,33.59,10000,10000,50,0.0
Depth,33.23,32.53,10000,10000,50,0.1
Depth,32.77,31.5,10000,10000,50,0.2
Depth,34.99,34.37,10000,10000,100,0.0
Depth,33.85,33.11,10000,10000,100,0.1
Depth,32.62,31.86,10000,10000,100,0.2
Depth,35.14,34.64,10000,10000,200,0.0
Depth,34.03,33.7,10000,10000,200,0.1
Depth,31.99,32.25,10000,10000,200,0.2
TopConstituents,55.59,55.35,10000,10000,50,0.0
TopConstituents,54.65,54.58,10000,10000,50,0.1
TopConstituents,53.69,53.78,10000,10000,50,0.2
TopConstituents,57.96,57.36,10000,10000,100,0.0
TopConstituents,55.44,55.31,10000,10000,100,0.1
TopConstituents,54.17,54.23,10000,10000,100,0.2
TopConstituents,57.74,57.97,10000,10000,200,0.0
TopConstituents,56.22,55.7,10000,10000,200,0.1
TopConstituents,54.74,54.4,10000,10000,200,0.2
BigramShift,51.71,51.01,10000,10000,50,0.0
BigramShift,51.93,51.2,10000,10000,50,0.1
BigramShift,51.88,51.11,10000,10000,50,0.2
BigramShift,51.54,51.31,10000,10000,100,0.0
BigramShift,51.88,51.4,10000,10000,100,0.1
BigramShift,51.81,51.09,10000,10000,100,0.2
BigramShift,51.61,50.88,10000,10000,200,0.0
BigramShift,51.58,50.89,10000,10000,200,0.1
BigramShift,51.66,50.91,10000,10000,200,0.2
Tense,77.5,75.58,10000,10000,50,0.0
Tense,76.44,74.99,10000,10000,50,0.1
Tense,76.51,74.82,10000,10000,50,0.2
Tense,77.72,75.43,10000,10000,100,0.0
Tense,76.82,75.42,10000,10000,100,0.1
Tense,76.57,75.17,10000,10000,100,0.2
Tense,77.58,75.08,10000,10000,200,0.0
Tense,76.98,75.76,10000,10000,200,0.1
Tense,76.63,75.3,10000,10000,200,0.2
SubjNumber,73.94,72.82,10000,10000,50,0.0
SubjNumber,74.02,72.21,10000,10000,50,0.1
SubjNumber,73.96,72.14,10000,10000,50,0.2
SubjNumber,74.06,73.12,10000,10000,100,0.0
SubjNumber,74.01,72.2,10000,10000,100,0.1
SubjNumber,73.83,72.01,10000,10000,100,0.2
SubjNumber,73.94,72.52,10000,10000,200,0.0
SubjNumber,73.81,72.31,10000,10000,200,0.1
SubjNumber,73.67,72.05,10000,10000,200,0.2
ObjNumber,71.12,70.92,10000,10000,50,0.0
ObjNumber,70.87,71.47,10000,10000,50,0.1
ObjNumber,70.83,71.09,10000,10000,50,0.2
ObjNumber,71.26,71.58,10000,10000,100,0.0
ObjNumber,71.1,71.28,10000,10000,100,0.1
ObjNumber,70.83,71.38,10000,10000,100,0.2
ObjNumber,70.89,70.94,10000,10000,200,0.0
ObjNumber,71.16,71.09,10000,10000,200,0.1
ObjNumber,71.0,70.84,10000,10000,200,0.2
OddManOut,50.99,50.51,10000,10000,50,0.0
OddManOut,51.08,51.18,10000,10000,50,0.1
OddManOut,50.58,51.07,10000,10000,50,0.2
OddManOut,51.02,50.64,10000,10000,100,0.0
OddManOut,50.81,51.0,10000,10000,100,0.1
OddManOut,50.81,50.96,10000,10000,100,0.2
OddManOut,51.07,51.06,10000,10000,200,0.0
OddManOut,50.92,51.18,10000,10000,200,0.1
OddManOut,50.88,51.11,10000,10000,200,0.2
CoordinationInversion,53.62,53.09,10002,10002,50,0.0
CoordinationInversion,52.23,52.75,10002,10002,50,0.1
CoordinationInversion,52.28,52.84,10002,10002,50,0.2
CoordinationInversion,53.53,53.78,10002,10002,100,0.0
CoordinationInversion,52.66,52.89,10002,10002,100,0.1
CoordinationInversion,52.41,52.85,10002,10002,100,0.2
CoordinationInversion,53.69,52.8,10002,10002,200,0.0
CoordinationInversion,52.89,52.65,10002,10002,200,0.1
CoordinationInversion,52.22,51.9,10002,10002,200,0.2
