task,devacc,acc,ndev,ntest,nhid,dropout
Length,77.77,77.06,9996,9996,50,0.0
Length,76.58,75.28,9996,9996,50,0.1
Length,74.78,73.73,9996,9996,50,0.2
Length,78.5,77.52,9996,9996,100,0.0
Length,76.87,75.78,9996,9996,100,0.1
Length,76.12,74.56,9996,9996,100,0.2
Length,78.38,78.06,9996,9996,200,0.0
Length,77.4,76.2,9996,9996,200,0.1
Length,75.69,74.77,9996,9996,200,0.2
WordContent,0.22,0.09,10000,10000,50,0.0
WordContent,0.22,0.09,10000,10000,50,0.1
WordContent,0.22,0.09,10000,10000,50,0.2
WordContent,0.22,0.09,10000,10000,100,0.0
WordContent,0.22,0.09,10000,10000,100,0.1
WordContent,0.22,0.09,10000,10000,100,0.2
WordContent,0.22,0.09,10000,10000,200,0.0
WordContent,0.22,0.09,10000,10000,200,0.1
WordContent,0.22,0.09,10000,10000,200,0.2
Depth,29.93,30.72,10000,10000,50,0.0
Depth,29.33,29.24,10000,10000,50,0.1
Depth,29.59,29.95,10000,10000,50,0.2
Depth,29.99,30.88,10000,10000,100,0.0
Depth,29.11,29.25,10000,10000,100,0.1
Depth,28.99,28.51,10000,10000,100,0.2
Depth,29.83,30.86,10000,10000,200,0.0
Depth,29.17,28.88,10000,10000,200,0.1
Depth,29.06,29.28,10000,10000,200,0.2
TopConstituents,20.67,20.74,10000,10000,50,0.0
TopConstituents,20.76,20.86,10000,10000,50,0.1
TopConstituents,20.56,20.74,10000,10000,50,0.2
TopConstituents,20.96,21.39,10000,10000,100,0.0
TopConstituents,20.58,20.74,10000,10000,100,0.1
TopConstituents,20.54,20.5,10000,10000,100,0.2
TopConstituents,21.15,21.22,10000,10000,200,0.0
TopConstituents,20.68,20.85,10000,10000,200,0.1
TopConstituents,20.57,20.58,10000,10000,200,0.2
BigramShift,58.09,57.29,10000,10000,50,0.0
BigramShift,56.53,56.51,10000,10000,50,0.1
BigramShift,56.41,56.37,10000,10000,50,0.2
BigramShift,58.44,57.16,10000,10000,100,0.0
BigramShift,56.46,56.52,10000,10000,100,0.1
BigramShift,56.51,56.14,10000,10000,100,0.2
BigramShift,58.11,57.59,10000,10000,200,0.0
BigramShift,56.51,56.56,10000,10000,200,0.1
BigramShift,56.38,56.27,10000,10000,200,0.2
Tense,68.41,67.98,10000,10000,50,0.0
Tense,67.75,67.54,10000,10000,50,0.1
Tense,67.34,66.59,10000,10000,50,0.2
Tense,68.56,68.12,10000,10000,100,0.0
Tense,67.95,67.58,10000,10000,100,0.1
Tense,67.56,67.35,10000,10000,100,0.2
Tense,68.52,68.17,10000,10000,200,0.0
Tense,67.75,67.61,10000,10000,200,0.1
Tense,67.62,67.16,10000,10000,200,0.2
SubjNumber,67.02,67.96,10000,10000,50,0.0
SubjNumber,66.18,66.2,10000,10000,50,0.1
SubjNumber,66.19,66.11,10000,10000,50,0.2
SubjNumber,66.93,67.21,10000,10000,100,0.0
SubjNumber,66.19,66.12,10000,10000,100,0.1
SubjNumber,66.19,66.24,10000,10000,100,0.2
SubjNumber,66.7,67.16,10000,10000,200,0.0
SubjNumber,66.12,66.21,10000,10000,200,0.1
SubjNumber,66.1,66.22,10000,10000,200,0.2
ObjNumber,65.34,66.86,10000,10000,50,0.0
ObjNumber,64.37,64.69,10000,10000,50,0.1
ObjNumber,64.22,64.57,10000,10000,50,0.2
ObjNumber,65.35,66.8,10000,10000,100,0.0
ObjNumber,64.46,64.9,10000,10000,100,0.1
ObjNumber,64.37,64.79,10000,10000,100,0.2
ObjNumber,65.33,66.64,10000,10000,200,0.0
ObjNumber,64.56,65.18,10000,10000,200,0.1
ObjNumber,64.37,64.9,10000,10000,200,0.2
OddManOut,50.29,49.98,10000,10000,50,0.0
OddManOut,50.43,50.24,10000,10000,50,0.1
OddManOut,50.54,50.05,10000,10000,50,0.2
OddManOut,50.51,49.89,10000,10000,100,0.0
OddManOut,50.48,50.41,10000,10000,100,0.1
OddManOut,50.46,49.97,10000,10000,100,0.2
OddManOut,50.45,50.1,10000,10000,200,0.0
OddManOut,51.63,51.36,10000,10000,200,0.1
OddManOut,50.48,49.93,10000,10000,200,0.2
CoordinationInversion,60.76,60.11,10002,10002,50,0.0
CoordinationInversion,59.09,58.54,10002,10002,50,0.1
CoordinationInversion,59.14,58.47,10002,10002,50,0.2
CoordinationInversion,60.71,60.18,10002,10002,100,0.0
CoordinationInversion,59.08,58.69,10002,10002,100,0.1
CoordinationInversion,59.12,58.7,10002,10002,100,0.2
CoordinationInversion,60.72,60.51,10002,10002,200,0.0
CoordinationInversion,59.07,58.61,10002,10002,200,0.1
CoordinationInversion,59.04,58.44,10002,10002,200,0.2
