task,devacc,acc,ndev,ntest,nhid,dropout
Length,70.39,71.13,9996,9996,50,0.0
Length,70.25,70.49,9996,9996,50,0.1
Length,69.53,70.02,9996,9996,50,0.2
Length,70.52,71.51,9996,9996,100,0.0
Length,70.73,70.71,9996,9996,100,0.1
Length,69.96,70.2,9996,9996,100,0.2
Length,70.59,71.22,9996,9996,200,0.0
Length,70.91,71.31,9996,9996,200,0.1
Length,69.5,69.77,9996,9996,200,0.2
WordContent,0.16,0.14,10000,10000,50,0.0
WordContent,0.16,0.14,10000,10000,50,0.1
WordContent,0.16,0.14,10000,10000,50,0.2
WordContent,0.16,0.14,10000,10000,100,0.0
WordContent,0.16,0.14,10000,10000,100,0.1
WordContent,0.16,0.14,10000,10000,100,0.2
WordContent,0.16,0.14,10000,10000,200,0.0
WordContent,0.16,0.14,10000,10000,200,0.1
WordContent,0.16,0.14,10000,10000,200,0.2
Depth,28.36,28.94,10000,10000,50,0.0
Depth,28.2,28.78,10000,10000,50,0.1
Depth,27.69,28.42,10000,10000,50,0.2
Depth,28.82,29.68,10000,10000,100,0.0
Depth,29.11,29.56,10000,10000,100,0.1
Depth,28.56,28.86,10000,10000,100,0.2
Depth,28.41,29.48,10000,10000,200,0.0
Depth,28.61,29.51,10000,10000,200,0.1
Depth,28.37,29.41,10000,10000,200,0.2
TopConstituents,19.36,19.67,10000,10000,50,0.0
TopConstituents,19.4,19.55,10000,10000,50,0.1
TopConstituents,19.35,19.63,10000,10000,50,0.2
TopConstituents,19.9,20.17,10000,10000,100,0.0
TopConstituents,19.54,19.93,10000,10000,100,0.1
TopConstituents,19.43,19.82,10000,10000,100,0.2
TopConstituents,20.28,20.45,10000,10000,200,0.0
TopConstituents,19.96,20.47,10000,10000,200,0.1
TopConstituents,19.71,20.11,10000,10000,200,0.2
BigramShift,55.27,55.7,10000,10000,50,0.0
BigramShift,54.83,55.75,10000,10000,50,0.1
BigramShift,54.78,55.38,10000,10000,50,0.2
BigramShift,55.3,56.22,10000,10000,100,0.0
BigramShift,55.18,55.61,10000,10000,100,0.1
BigramShift,54.84,55.48,10000,10000,100,0.2
BigramShift,55.35,55.54,10000,10000,200,0.0
BigramShift,55.04,55.62,10000,10000,200,0.1
BigramShift,54.97,55.69,10000,10000,200,0.2
Tense,61.83,61.73,10000,10000,50,0.0
Tense,61.91,61.53,10000,10000,50,0.1
Tense,61.9,61.64,10000,10000,50,0.2
Tense,61.82,61.68,10000,10000,100,0.0
Tense,61.91,61.99,10000,10000,100,0.1
Tense,61.88,61.63,10000,10000,100,0.2
Tense,62.02,61.78,10000,10000,200,0.0
Tense,61.87,61.94,10000,10000,200,0.1
Tense,61.8,61.65,10000,10000,200,0.2
SubjNumber,63.61,62.79,10000,10000,50,0.0
SubjNumber,63.97,63.0,10000,10000,50,0.1
SubjNumber,63.83,63.3,10000,10000,50,0.2
SubjNumber,64.0,63.07,10000,10000,100,0.0
SubjNumber,63.8,63.62,10000,10000,100,0.1
SubjNumber,63.74,63.16,10000,10000,100,0.2
SubjNumber,63.93,63.27,10000,10000,200,0.0
SubjNumber,63.96,63.51,10000,10000,200,0.1
SubjNumber,63.76,63.35,10000,10000,200,0.2
ObjNumber,59.65,59.53,10000,10000,50,0.0
ObjNumber,59.41,60.24,10000,10000,50,0.1
ObjNumber,59.49,60.81,10000,10000,50,0.2
ObjNumber,59.45,60.14,10000,10000,100,0.0
ObjNumber,59.84,60.68,10000,10000,100,0.1
ObjNumber,59.4,60.14,10000,10000,100,0.2
ObjNumber,59.72,59.07,10000,10000,200,0.0
ObjNumber,59.85,60.34,10000,10000,200,0.1
ObjNumber,59.67,60.31,10000,10000,200,0.2
OddManOut,50.7,50.1,10000,10000,50,0.0
OddManOut,50.4,49.97,10000,10000,50,0.1
OddManOut,50.34,50.03,10000,10000,50,0.2
OddManOut,50.41,49.63,10000,10000,100,0.0
OddManOut,50.58,50.31,10000,10000,100,0.1
OddManOut,50.57,50.19,10000,10000,100,0.2
OddManOut,50.6,50.24,10000,10000,200,0.0
OddManOut,50.36,50.24,10000,10000,200,0.1
OddManOut,51.05,50.16,10000,10000,200,0.2
CoordinationInversion,60.15,59.88,10002,10002,50,0.0
CoordinationInversion,60.01,59.44,10002,10002,50,0.1
CoordinationInversion,59.88,59.23,10002,10002,50,0.2
CoordinationInversion,60.04,59.59,10002,10002,100,0.0
CoordinationInversion,59.81,59.14,10002,10002,100,0.1
CoordinationInversion,59.68,58.89,10002,10002,100,0.2
CoordinationInversion,60.45,59.65,10002,10002,200,0.0
CoordinationInversion,60.16,59.26,10002,10002,200,0.1
CoordinationInversion,60.08,59.24,10002,10002,200,0.2
