task,devacc,acc,ndev,ntest,nhid,dropout
Length,75.65,76.41,9996,9996,50,0.0
Length,75.32,75.72,9996,9996,50,0.1
Length,74.62,74.8,9996,9996,50,0.2
Length,75.96,76.2,9996,9996,100,0.0
Length,75.81,76.18,9996,9996,100,0.1
Length,74.61,74.57,9996,9996,100,0.2
Length,76.61,76.39,9996,9996,200,0.0
Length,76.37,76.9,9996,9996,200,0.1
Length,75.12,75.01,9996,9996,200,0.2
WordContent,0.22,0.16,10000,10000,50,0.0
WordContent,0.22,0.16,10000,10000,50,0.1
WordContent,0.22,0.16,10000,10000,50,0.2
WordContent,0.22,0.16,10000,10000,100,0.0
WordContent,0.22,0.16,10000,10000,100,0.1
WordContent,0.22,0.16,10000,10000,100,0.2
WordContent,0.22,0.16,10000,10000,200,0.0
WordContent,0.22,0.16,10000,10000,200,0.1
WordContent,0.22,0.16,10000,10000,200,0.2
Depth,29.68,30.62,10000,10000,50,0.0
Depth,29.19,30.11,10000,10000,50,0.1
Depth,28.8,29.93,10000,10000,50,0.2
Depth,30.33,31.27,10000,10000,100,0.0
Depth,29.14,30.04,10000,10000,100,0.1
Depth,28.96,29.85,10000,10000,100,0.2
Depth,30.01,31.08,10000,10000,200,0.0
Depth,29.36,30.45,10000,10000,200,0.1
Depth,29.07,29.78,10000,10000,200,0.2
TopConstituents,20.75,20.42,10000,10000,50,0.0
TopConstituents,20.29,20.22,10000,10000,50,0.1
TopConstituents,20.37,20.38,10000,10000,50,0.2
TopConstituents,20.58,20.64,10000,10000,100,0.0
TopConstituents,20.6,20.48,10000,10000,100,0.1
TopConstituents,20.62,20.31,10000,10000,100,0.2
TopConstituents,20.64,20.49,10000,10000,200,0.0
TopConstituents,20.95,20.82,10000,10000,200,0.1
TopConstituents,20.79,20.5,10000,10000,200,0.2
BigramShift,58.65,58.76,10000,10000,50,0.0
BigramShift,58.05,58.11,10000,10000,50,0.1
BigramShift,58.44,58.46,10000,10000,50,0.2
BigramShift,58.65,58.85,10000,10000,100,0.0
BigramShift,58.31,58.58,10000,10000,100,0.1
BigramShift,58.03,58.24,10000,10000,100,0.2
BigramShift,58.75,59.09,10000,10000,200,0.0
BigramShift,58.26,58.42,10000,10000,200,0.1
BigramShift,58.31,58.19,10000,10000,200,0.2
Tense,68.5,69.05,10000,10000,50,0.0
Tense,68.56,69.26,10000,10000,50,0.1
Tense,68.39,68.58,10000,10000,50,0.2
Tense,68.63,69.45,10000,10000,100,0.0
Tense,68.62,69.43,10000,10000,100,0.1
Tense,68.53,69.05,10000,10000,100,0.2
Tense,68.46,69.1,10000,10000,200,0.0
Tense,68.38,68.75,10000,10000,200,0.1
Tense,68.69,69.35,10000,10000,200,0.2
SubjNumber,68.29,68.01,10000,10000,50,0.0
SubjNumber,68.36,68.37,10000,10000,50,0.1
SubjNumber,68.15,68.16,10000,10000,50,0.2
SubjNumber,68.08,68.08,10000,10000,100,0.0
SubjNumber,68.21,67.99,10000,10000,100,0.1
SubjNumber,68.28,67.95,10000,10000,100,0.2
SubjNumber,68.13,68.34,10000,10000,200,0.0
SubjNumber,68.41,68.31,10000,10000,200,0.1
SubjNumber,67.91,68.05,10000,10000,200,0.2
ObjNumber,66.73,67.09,10000,10000,50,0.0
ObjNumber,66.62,67.16,10000,10000,50,0.1
ObjNumber,66.41,66.27,10000,10000,50,0.2
ObjNumber,66.66,66.94,10000,10000,100,0.0
ObjNumber,66.79,67.04,10000,10000,100,0.1
ObjNumber,66.6,66.76,10000,10000,100,0.2
ObjNumber,66.44,67.21,10000,10000,200,0.0
ObjNumber,66.77,66.91,10000,10000,200,0.1
ObjNumber,66.72,66.55,10000,10000,200,0.2
OddManOut,51.18,50.96,10000,10000,50,0.0
OddManOut,50.58,49.79,10000,10000,50,0.1
OddManOut,50.58,49.73,10000,10000,50,0.2
OddManOut,50.66,51.4,10000,10000,100,0.0
OddManOut,50.52,50.65,10000,10000,100,0.1
OddManOut,50.66,50.9,10000,10000,100,0.2
OddManOut,51.24,50.79,10000,10000,200,0.0
OddManOut,51.32,50.88,10000,10000,200,0.1
OddManOut,51.1,50.87,10000,10000,200,0.2
CoordinationInversion,61.15,60.35,10002,10002,50,0.0
CoordinationInversion,60.68,60.03,10002,10002,50,0.1
CoordinationInversion,60.56,59.35,10002,10002,50,0.2
CoordinationInversion,61.18,60.21,10002,10002,100,0.0
CoordinationInversion,60.53,60.25,10002,10002,100,0.1
CoordinationInversion,60.37,59.61,10002,10002,100,0.2
CoordinationInversion,60.87,60.41,10002,10002,200,0.0
CoordinationInversion,60.65,60.14,10002,10002,200,0.1
CoordinationInversion,60.42,59.66,10002,10002,200,0.2
