task,devacc,acc,ndev,ntest,nhid,dropout
Length,68.32,69.46,9996,9996,50,0.0
Length,67.75,68.15,9996,9996,50,0.1
Length,67.75,68.57,9996,9996,50,0.2
Length,69.62,70.45,9996,9996,100,0.0
Length,67.27,69.05,9996,9996,100,0.1
Length,66.94,68.26,9996,9996,100,0.2
Length,69.95,70.85,9996,9996,200,0.0
Length,68.04,69.2,9996,9996,200,0.1
Length,66.49,67.85,9996,9996,200,0.2
WordContent,35.07,35.01,10000,10000,50,0.0
WordContent,35.07,35.01,10000,10000,50,0.1
WordContent,35.07,35.01,10000,10000,50,0.2
WordContent,35.07,35.01,10000,10000,100,0.0
WordContent,35.07,35.01,10000,10000,100,0.1
WordContent,35.07,35.01,10000,10000,100,0.2
WordContent,35.07,35.01,10000,10000,200,0.0
WordContent,35.07,35.01,10000,10000,200,0.1
WordContent,35.07,35.01,10000,10000,200,0.2
Depth,33.59,33.14,10000,10000,50,0.0
Depth,32.72,32.4,10000,10000,50,0.1
Depth,32.54,32.61,10000,10000,50,0.2
Depth,33.84,33.91,10000,10000,100,0.0
Depth,32.92,32.68,10000,10000,100,0.1
Depth,32.12,32.72,10000,10000,100,0.2
Depth,34.56,34.02,10000,10000,200,0.0
Depth,32.23,32.58,10000,10000,200,0.1
Depth,31.95,32.64,10000,10000,200,0.2
TopConstituents,64.48,63.97,10000,10000,50,0.0
TopConstituents,64.13,63.92,10000,10000,50,0.1
TopConstituents,64.17,63.6,10000,10000,50,0.2
TopConstituents,64.58,64.13,10000,10000,100,0.0
TopConstituents,64.68,63.74,10000,10000,100,0.1
TopConstituents,63.99,63.81,10000,10000,100,0.2
TopConstituents,65.68,65.07,10000,10000,200,0.0
TopConstituents,65.2,64.11,10000,10000,200,0.1
TopConstituents,64.61,64.44,10000,10000,200,0.2
BigramShift,92.4,92.1,10000,10000,50,0.0
BigramShift,92.48,92.37,10000,10000,50,0.1
BigramShift,92.46,92.26,10000,10000,50,0.2
BigramShift,92.48,92.29,10000,10000,100,0.0
BigramShift,92.46,92.27,10000,10000,100,0.1
BigramShift,92.37,92.21,10000,10000,100,0.2
BigramShift,92.43,92.09,10000,10000,200,0.0
BigramShift,92.41,92.34,10000,10000,200,0.1
BigramShift,92.37,92.19,10000,10000,200,0.2
Tense,89.26,87.78,10000,10000,50,0.0
Tense,89.4,87.39,10000,10000,50,0.1
Tense,89.29,87.16,10000,10000,50,0.2
Tense,89.33,87.83,10000,10000,100,0.0
Tense,89.25,87.04,10000,10000,100,0.1
Tense,89.49,87.48,10000,10000,100,0.2
Tense,89.2,87.27,10000,10000,200,0.0
Tense,89.26,87.71,10000,10000,200,0.1
Tense,89.15,87.09,10000,10000,200,0.2
SubjNumber,82.3,80.81,10000,10000,50,0.0
SubjNumber,82.11,80.6,10000,10000,50,0.1
SubjNumber,81.73,80.29,10000,10000,50,0.2
SubjNumber,82.21,80.91,10000,10000,100,0.0
SubjNumber,81.76,80.26,10000,10000,100,0.1
SubjNumber,81.98,80.37,10000,10000,100,0.2
SubjNumber,82.2,81.03,10000,10000,200,0.0
SubjNumber,82.39,80.93,10000,10000,200,0.1
SubjNumber,81.83,80.34,10000,10000,200,0.2
ObjNumber,78.99,79.8,10000,10000,50,0.0
ObjNumber,79.14,79.95,10000,10000,50,0.1
ObjNumber,78.48,78.72,10000,10000,50,0.2
ObjNumber,78.84,79.31,10000,10000,100,0.0
ObjNumber,79.12,80.02,10000,10000,100,0.1
ObjNumber,78.91,79.19,10000,10000,100,0.2
ObjNumber,78.73,79.24,10000,10000,200,0.0
ObjNumber,78.81,79.37,10000,10000,200,0.1
ObjNumber,78.93,79.48,10000,10000,200,0.2
OddManOut,69.4,68.68,10000,10000,50,0.0
OddManOut,69.51,69.06,10000,10000,50,0.1
OddManOut,69.33,69.01,10000,10000,50,0.2
OddManOut,69.5,68.95,10000,10000,100,0.0
OddManOut,69.72,69.0,10000,10000,100,0.1
OddManOut,69.59,68.87,10000,10000,100,0.2
OddManOut,69.58,68.68,10000,10000,200,0.0
OddManOut,69.69,68.94,10000,10000,200,0.1
OddManOut,69.41,68.78,10000,10000,200,0.2
CoordinationInversion,71.41,71.46,10002,10002,50,0.0
CoordinationInversion,71.31,71.28,10002,10002,50,0.1
CoordinationInversion,70.89,70.71,10002,10002,50,0.2
CoordinationInversion,71.37,71.31,10002,10002,100,0.0
CoordinationInversion,71.31,70.99,10002,10002,100,0.1
CoordinationInversion,70.81,69.93,10002,10002,100,0.2
CoordinationInversion,71.42,71.91,10002,10002,200,0.0
CoordinationInversion,71.26,71.07,10002,10002,200,0.1
CoordinationInversion,70.99,70.62,10002,10002,200,0.2
