task,devacc,acc,ndev,ntest,nhid,dropout
Length,94.18,94.62,9996,9996,50,0.0
Length,94.16,94.56,9996,9996,50,0.1
Length,93.86,94.32,9996,9996,50,0.2
Length,94.47,94.94,9996,9996,100,0.0
Length,94.58,95.05,9996,9996,100,0.1
Length,94.29,94.75,9996,9996,100,0.2
Length,94.25,94.75,9996,9996,200,0.0
Length,94.79,95.32,9996,9996,200,0.1
Length,94.42,94.64,9996,9996,200,0.2
WordContent,80.03,79.79,10000,10000,50,0.0
WordContent,80.03,79.79,10000,10000,50,0.1
WordContent,80.03,79.79,10000,10000,50,0.2
WordContent,80.03,79.79,10000,10000,100,0.0
WordContent,80.03,79.79,10000,10000,100,0.1
WordContent,80.03,79.79,10000,10000,100,0.2
WordContent,80.03,79.79,10000,10000,200,0.0
WordContent,80.03,79.79,10000,10000,200,0.1
WordContent,80.03,79.79,10000,10000,200,0.2
Depth,49.27,49.32,10000,10000,50,0.0
Depth,48.89,49.43,10000,10000,50,0.1
Depth,49.14,48.8,10000,10000,50,0.2
Depth,49.47,51.1,10000,10000,100,0.0
Depth,49.8,50.23,10000,10000,100,0.1
Depth,49.91,50.35,10000,10000,100,0.2
Depth,49.9,49.83,10000,10000,200,0.0
Depth,50.58,50.79,10000,10000,200,0.1
Depth,50.78,51.66,10000,10000,200,0.2
TopConstituents,83.21,83.45,10000,10000,50,0.0
TopConstituents,83.24,83.33,10000,10000,50,0.1
TopConstituents,82.99,83.53,10000,10000,50,0.2
TopConstituents,83.42,83.69,10000,10000,100,0.0
TopConstituents,83.34,83.74,10000,10000,100,0.1
TopConstituents,83.26,83.41,10000,10000,100,0.2
TopConstituents,83.61,83.85,10000,10000,200,0.0
TopConstituents,83.72,84.49,10000,10000,200,0.1
TopConstituents,83.5,83.87,10000,10000,200,0.2
BigramShift,91.61,90.8,10000,10000,50,0.0
BigramShift,91.41,90.85,10000,10000,50,0.1
BigramShift,91.41,91.03,10000,10000,50,0.2
BigramShift,91.34,90.66,10000,10000,100,0.0
BigramShift,91.55,90.82,10000,10000,100,0.1
BigramShift,91.74,90.92,10000,10000,100,0.2
BigramShift,91.47,91.1,10000,10000,200,0.0
BigramShift,91.51,90.91,10000,10000,200,0.1
BigramShift,91.56,90.87,10000,10000,200,0.2
Tense,89.97,88.33,10000,10000,50,0.0
Tense,90.25,89.12,10000,10000,50,0.1
Tense,90.49,88.81,10000,10000,50,0.2
Tense,90.0,88.73,10000,10000,100,0.0
Tense,90.04,88.95,10000,10000,100,0.1
Tense,90.34,89.25,10000,10000,100,0.2
Tense,90.01,88.82,10000,10000,200,0.0
Tense,90.09,88.75,10000,10000,200,0.1
Tense,90.26,88.79,10000,10000,200,0.2
SubjNumber,88.15,88.24,10000,10000,50,0.0
SubjNumber,88.52,88.5,10000,10000,50,0.1
SubjNumber,88.65,88.46,10000,10000,50,0.2
SubjNumber,88.16,88.28,10000,10000,100,0.0
SubjNumber,88.53,88.74,10000,10000,100,0.1
SubjNumber,88.57,88.61,10000,10000,100,0.2
SubjNumber,88.15,88.48,10000,10000,200,0.0
SubjNumber,88.44,88.66,10000,10000,200,0.1
SubjNumber,88.38,88.56,10000,10000,200,0.2
ObjNumber,85.97,86.83,10000,10000,50,0.0
ObjNumber,86.23,87.0,10000,10000,50,0.1
ObjNumber,86.5,87.38,10000,10000,50,0.2
ObjNumber,85.99,86.76,10000,10000,100,0.0
ObjNumber,86.24,87.14,10000,10000,100,0.1
ObjNumber,86.41,87.15,10000,10000,100,0.2
ObjNumber,85.72,86.6,10000,10000,200,0.0
ObjNumber,86.52,87.0,10000,10000,200,0.1
ObjNumber,86.24,86.91,10000,10000,200,0.2
OddManOut,64.93,65.63,10000,10000,50,0.0
OddManOut,64.99,65.57,10000,10000,50,0.1
OddManOut,65.2,66.0,10000,10000,50,0.2
OddManOut,64.96,66.02,10000,10000,100,0.0
OddManOut,65.02,65.88,10000,10000,100,0.1
OddManOut,65.04,65.79,10000,10000,100,0.2
OddManOut,65.06,65.35,10000,10000,200,0.0
OddManOut,64.93,65.77,10000,10000,200,0.1
OddManOut,65.07,65.78,10000,10000,200,0.2
CoordinationInversion,67.21,65.51,10002,10002,50,0.0
CoordinationInversion,67.3,66.22,10002,10002,50,0.1
CoordinationInversion,67.21,66.77,10002,10002,50,0.2
CoordinationInversion,67.4,65.65,10002,10002,100,0.0
CoordinationInversion,67.76,66.8,10002,10002,100,0.1
CoordinationInversion,67.2,66.67,10002,10002,100,0.2
CoordinationInversion,67.44,66.84,10002,10002,200,0.0
CoordinationInversion,67.82,66.63,10002,10002,200,0.1
CoordinationInversion,67.55,66.46,10002,10002,200,0.2
