task,devacc,acc,ndev,ntest,nhid,dropout
Length,97.93,98.33,9996,9996,50,0.0
Length,97.92,98.34,9996,9996,50,0.1
Length,97.85,98.27,9996,9996,50,0.2
Length,97.93,98.62,9996,9996,100,0.0
Length,97.81,98.1,9996,9996,100,0.1
Length,97.74,98.01,9996,9996,100,0.2
Length,98.1,98.5,9996,9996,200,0.0
Length,97.93,98.37,9996,9996,200,0.1
Length,97.99,98.52,9996,9996,200,0.2
WordContent,97.88,97.92,10000,10000,50,0.0
WordContent,97.88,97.92,10000,10000,50,0.1
WordContent,97.88,97.92,10000,10000,50,0.2
WordContent,97.88,97.92,10000,10000,100,0.0
WordContent,97.88,97.92,10000,10000,100,0.1
WordContent,97.88,97.92,10000,10000,100,0.2
WordContent,97.88,97.92,10000,10000,200,0.0
WordContent,97.88,97.92,10000,10000,200,0.1
WordContent,97.88,97.92,10000,10000,200,0.2
Depth,40.58,41.08,10000,10000,50,0.0
Depth,39.78,40.47,10000,10000,50,0.1
Depth,38.78,38.95,10000,10000,50,0.2
Depth,40.55,41.4,10000,10000,100,0.0
Depth,39.94,40.45,10000,10000,100,0.1
Depth,39.69,40.54,10000,10000,100,0.2
Depth,40.97,41.36,10000,10000,200,0.0
Depth,40.81,42.01,10000,10000,200,0.1
Depth,40.84,41.75,10000,10000,200,0.2
TopConstituents,63.36,62.59,10000,10000,50,0.0
TopConstituents,63.45,62.68,10000,10000,50,0.1
TopConstituents,63.25,62.3,10000,10000,50,0.2
TopConstituents,64.22,63.2,10000,10000,100,0.0
TopConstituents,64.23,63.38,10000,10000,100,0.1
TopConstituents,63.48,62.76,10000,10000,100,0.2
TopConstituents,64.89,64.45,10000,10000,200,0.0
TopConstituents,64.77,64.16,10000,10000,200,0.1
TopConstituents,64.49,63.7,10000,10000,200,0.2
BigramShift,50.45,49.25,10000,10000,50,0.0
BigramShift,50.65,49.1,10000,10000,50,0.1
BigramShift,50.61,49.44,10000,10000,50,0.2
BigramShift,50.75,49.74,10000,10000,100,0.0
BigramShift,50.68,49.26,10000,10000,100,0.1
BigramShift,50.51,49.94,10000,10000,100,0.2
BigramShift,50.27,49.41,10000,10000,200,0.0
BigramShift,50.41,50.16,10000,10000,200,0.1
BigramShift,50.55,48.79,10000,10000,200,0.2
Tense,87.35,86.38,10000,10000,50,0.0
Tense,87.42,86.16,10000,10000,50,0.1
Tense,87.39,86.16,10000,10000,50,0.2
Tense,87.28,86.27,10000,10000,100,0.0
Tense,87.26,86.39,10000,10000,100,0.1
Tense,87.28,86.55,10000,10000,100,0.2
Tense,87.32,86.28,10000,10000,200,0.0
Tense,87.48,86.49,10000,10000,200,0.1
Tense,87.62,85.86,10000,10000,200,0.2
SubjNumber,83.37,81.56,10000,10000,50,0.0
SubjNumber,83.49,81.65,10000,10000,50,0.1
SubjNumber,83.35,81.65,10000,10000,50,0.2
SubjNumber,83.41,81.71,10000,10000,100,0.0
SubjNumber,83.25,81.41,10000,10000,100,0.1
SubjNumber,83.15,81.88,10000,10000,100,0.2
SubjNumber,83.55,81.69,10000,10000,200,0.0
SubjNumber,83.24,82.09,10000,10000,200,0.1
SubjNumber,83.38,81.96,10000,10000,200,0.2
ObjNumber,81.89,83.44,10000,10000,50,0.0
ObjNumber,82.11,83.16,10000,10000,50,0.1
ObjNumber,82.65,83.54,10000,10000,50,0.2
ObjNumber,81.68,83.34,10000,10000,100,0.0
ObjNumber,82.0,83.12,10000,10000,100,0.1
ObjNumber,82.06,83.55,10000,10000,100,0.2
ObjNumber,81.48,83.39,10000,10000,200,0.0
ObjNumber,81.99,82.99,10000,10000,200,0.1
ObjNumber,82.11,83.41,10000,10000,200,0.2
OddManOut,50.93,50.42,10000,10000,50,0.0
OddManOut,50.19,49.87,10000,10000,50,0.1
OddManOut,50.19,49.87,10000,10000,50,0.2
OddManOut,51.19,50.42,10000,10000,100,0.0
OddManOut,50.19,49.87,10000,10000,100,0.1
OddManOut,50.19,49.87,10000,10000,100,0.2
OddManOut,51.1,50.22,10000,10000,200,0.0
OddManOut,50.19,49.87,10000,10000,200,0.1
OddManOut,50.19,49.87,10000,10000,200,0.2
CoordinationInversion,50.15,50.07,10002,10002,50,0.0
CoordinationInversion,50.49,50.87,10002,10002,50,0.1
CoordinationInversion,50.54,50.38,10002,10002,50,0.2
CoordinationInversion,50.13,49.98,10002,10002,100,0.0
CoordinationInversion,50.31,50.3,10002,10002,100,0.1
CoordinationInversion,50.35,50.22,10002,10002,100,0.2
CoordinationInversion,50.24,49.57,10002,10002,200,0.0
CoordinationInversion,50.43,49.6,10002,10002,200,0.1
CoordinationInversion,50.43,50.12,10002,10002,200,0.2
