task,devacc,acc,ndev,ntest,nhid,dropout
Length,69.52,69.1,9996,9996,50,0.0
Length,68.26,68.45,9996,9996,50,0.1
Length,67.48,67.89,9996,9996,50,0.2
Length,70.28,69.56,9996,9996,100,0.0
Length,69.52,69.71,9996,9996,100,0.1
Length,68.86,68.88,9996,9996,100,0.2
Length,71.54,72.03,9996,9996,200,0.0
Length,68.93,69.16,9996,9996,200,0.1
Length,68.26,67.92,9996,9996,200,0.2
WordContent,33.35,33.81,10000,10000,50,0.0
WordContent,33.35,33.81,10000,10000,50,0.1
WordContent,33.35,33.81,10000,10000,50,0.2
WordContent,33.35,33.81,10000,10000,100,0.0
WordContent,33.35,33.81,10000,10000,100,0.1
WordContent,33.35,33.81,10000,10000,100,0.2
WordContent,33.35,33.81,10000,10000,200,0.0
WordContent,33.35,33.81,10000,10000,200,0.1
WordContent,33.35,33.81,10000,10000,200,0.2
Depth,32.7,32.07,10000,10000,50,0.0
Depth,31.95,31.36,10000,10000,50,0.1
Depth,31.09,30.44,10000,10000,50,0.2
Depth,32.36,32.51,10000,10000,100,0.0
Depth,32.05,31.6,10000,10000,100,0.1
Depth,31.43,30.97,10000,10000,100,0.2
Depth,32.51,32.56,10000,10000,200,0.0
Depth,32.04,31.33,10000,10000,200,0.1
Depth,31.18,31.35,10000,10000,200,0.2
TopConstituents,59.9,59.75,10000,10000,50,0.0
TopConstituents,59.56,59.16,10000,10000,50,0.1
TopConstituents,59.1,58.71,10000,10000,50,0.2
TopConstituents,60.32,60.5,10000,10000,100,0.0
TopConstituents,59.68,59.69,10000,10000,100,0.1
TopConstituents,59.43,59.55,10000,10000,100,0.2
TopConstituents,61.35,61.88,10000,10000,200,0.0
TopConstituents,60.33,60.13,10000,10000,200,0.1
TopConstituents,59.07,59.31,10000,10000,200,0.2
BigramShift,92.34,92.21,10000,10000,50,0.0
BigramShift,92.36,92.13,10000,10000,50,0.1
BigramShift,92.26,92.15,10000,10000,50,0.2
BigramShift,92.36,92.31,10000,10000,100,0.0
BigramShift,92.3,92.31,10000,10000,100,0.1
BigramShift,92.28,92.15,10000,10000,100,0.2
BigramShift,92.35,92.23,10000,10000,200,0.0
BigramShift,92.32,92.4,10000,10000,200,0.1
BigramShift,92.32,92.16,10000,10000,200,0.2
Tense,89.0,87.05,10000,10000,50,0.0
Tense,88.94,86.88,10000,10000,50,0.1
Tense,88.8,86.73,10000,10000,50,0.2
Tense,88.97,87.3,10000,10000,100,0.0
Tense,89.02,87.02,10000,10000,100,0.1
Tense,88.93,86.7,10000,10000,100,0.2
Tense,89.05,87.06,10000,10000,200,0.0
Tense,88.86,87.04,10000,10000,200,0.1
Tense,88.95,86.94,10000,10000,200,0.2
SubjNumber,79.04,77.3,10000,10000,50,0.0
SubjNumber,78.78,77.42,10000,10000,50,0.1
SubjNumber,78.31,77.32,10000,10000,50,0.2
SubjNumber,79.34,78.08,10000,10000,100,0.0
SubjNumber,78.51,77.37,10000,10000,100,0.1
SubjNumber,78.59,77.12,10000,10000,100,0.2
SubjNumber,78.85,77.84,10000,10000,200,0.0
SubjNumber,78.88,77.33,10000,10000,200,0.1
SubjNumber,78.66,77.24,10000,10000,200,0.2
ObjNumber,75.64,76.41,10000,10000,50,0.0
ObjNumber,75.8,76.47,10000,10000,50,0.1
ObjNumber,75.76,75.99,10000,10000,50,0.2
ObjNumber,75.69,75.42,10000,10000,100,0.0
ObjNumber,75.5,76.18,10000,10000,100,0.1
ObjNumber,75.85,76.15,10000,10000,100,0.2
ObjNumber,75.69,75.8,10000,10000,200,0.0
ObjNumber,75.84,76.26,10000,10000,200,0.1
ObjNumber,75.14,75.35,10000,10000,200,0.2
OddManOut,68.44,67.99,10000,10000,50,0.0
OddManOut,68.32,67.81,10000,10000,50,0.1
OddManOut,68.47,67.71,10000,10000,50,0.2
OddManOut,68.55,67.93,10000,10000,100,0.0
OddManOut,68.28,67.81,10000,10000,100,0.1
OddManOut,68.34,67.76,10000,10000,100,0.2
OddManOut,68.48,67.77,10000,10000,200,0.0
OddManOut,68.41,68.05,10000,10000,200,0.1
OddManOut,68.15,67.8,10000,10000,200,0.2
CoordinationInversion,69.23,69.8,10002,10002,50,0.0
CoordinationInversion,68.88,68.88,10002,10002,50,0.1
CoordinationInversion,68.38,68.28,10002,10002,50,0.2
CoordinationInversion,69.29,69.71,10002,10002,100,0.0
CoordinationInversion,69.07,68.79,10002,10002,100,0.1
CoordinationInversion,68.59,68.3,10002,10002,100,0.2
CoordinationInversion,69.19,69.4,10002,10002,200,0.0
CoordinationInversion,68.77,69.13,10002,10002,200,0.1
CoordinationInversion,68.45,68.06,10002,10002,200,0.2
