task,devacc,acc,ndev,ntest,nhid,dropout
Length,85.91,86.33,9996,9996,50,0.0
Length,85.63,85.94,9996,9996,50,0.1
Length,85.35,85.55,9996,9996,50,0.2
Length,85.62,86.07,9996,9996,100,0.0
Length,85.28,85.58,9996,9996,100,0.1
Length,85.25,85.45,9996,9996,100,0.2
Length,85.79,85.61,9996,9996,200,0.0
Length,85.68,86.34,9996,9996,200,0.1
Length,84.9,85.33,9996,9996,200,0.2
WordContent,97.17,97.27,10000,10000,50,0.0
WordContent,97.17,97.27,10000,10000,50,0.1
WordContent,97.17,97.27,10000,10000,50,0.2
WordContent,97.17,97.27,10000,10000,100,0.0
WordContent,97.17,97.27,10000,10000,100,0.1
WordContent,97.17,97.27,10000,10000,100,0.2
WordContent,97.17,97.27,10000,10000,200,0.0
WordContent,97.17,97.27,10000,10000,200,0.1
WordContent,97.17,97.27,10000,10000,200,0.2
Depth,32.04,31.82,10000,10000,50,0.0
Depth,31.68,31.91,10000,10000,50,0.1
Depth,31.27,32.16,10000,10000,50,0.2
Depth,32.54,32.22,10000,10000,100,0.0
Depth,32.32,32.88,10000,10000,100,0.1
Depth,31.6,32.42,10000,10000,100,0.2
Depth,32.89,32.91,10000,10000,200,0.0
Depth,32.43,32.45,10000,10000,200,0.1
Depth,31.55,31.59,10000,10000,200,0.2
TopConstituents,60.88,60.72,10000,10000,50,0.0
TopConstituents,60.77,60.27,10000,10000,50,0.1
TopConstituents,60.64,60.53,10000,10000,50,0.2
TopConstituents,61.79,61.72,10000,10000,100,0.0
TopConstituents,61.66,61.28,10000,10000,100,0.1
TopConstituents,60.94,60.84,10000,10000,100,0.2
TopConstituents,61.9,62.18,10000,10000,200,0.0
TopConstituents,61.53,61.58,10000,10000,200,0.1
TopConstituents,61.47,61.28,10000,10000,200,0.2
BigramShift,50.07,50.07,10000,10000,50,0.0
BigramShift,50.0,50.0,10000,10000,50,0.1
BigramShift,50.0,50.0,10000,10000,50,0.2
BigramShift,50.04,49.49,10000,10000,100,0.0
BigramShift,50.0,50.0,10000,10000,100,0.1
BigramShift,50.0,50.0,10000,10000,100,0.2
BigramShift,50.33,50.22,10000,10000,200,0.0
BigramShift,50.0,50.0,10000,10000,200,0.1
BigramShift,50.0,50.0,10000,10000,200,0.2
Tense,84.09,83.07,10000,10000,50,0.0
Tense,84.65,82.94,10000,10000,50,0.1
Tense,84.2,82.94,10000,10000,50,0.2
Tense,84.04,83.23,10000,10000,100,0.0
Tense,84.17,82.7,10000,10000,100,0.1
Tense,83.86,82.73,10000,10000,100,0.2
Tense,84.31,83.09,10000,10000,200,0.0
Tense,84.11,83.27,10000,10000,200,0.1
Tense,84.35,83.17,10000,10000,200,0.2
SubjNumber,76.78,75.68,10000,10000,50,0.0
SubjNumber,76.34,75.18,10000,10000,50,0.1
SubjNumber,76.2,75.04,10000,10000,50,0.2
SubjNumber,76.3,75.62,10000,10000,100,0.0
SubjNumber,76.22,74.92,10000,10000,100,0.1
SubjNumber,76.26,74.36,10000,10000,100,0.2
SubjNumber,76.29,75.14,10000,10000,200,0.0
SubjNumber,76.23,75.24,10000,10000,200,0.1
SubjNumber,76.2,74.69,10000,10000,200,0.2
ObjNumber,74.26,75.42,10000,10000,50,0.0
ObjNumber,74.43,75.39,10000,10000,50,0.1
ObjNumber,74.11,75.37,10000,10000,50,0.2
ObjNumber,74.17,75.53,10000,10000,100,0.0
ObjNumber,74.16,75.66,10000,10000,100,0.1
ObjNumber,74.15,75.42,10000,10000,100,0.2
ObjNumber,74.21,75.68,10000,10000,200,0.0
ObjNumber,74.07,75.11,10000,10000,200,0.1
ObjNumber,74.12,75.39,10000,10000,200,0.2
OddManOut,50.25,50.05,10000,10000,50,0.0
OddManOut,50.19,49.87,10000,10000,50,0.1
OddManOut,50.19,49.87,10000,10000,50,0.2
OddManOut,50.19,49.87,10000,10000,100,0.0
OddManOut,50.19,49.87,10000,10000,100,0.1
OddManOut,50.19,49.87,10000,10000,100,0.2
OddManOut,50.19,49.87,10000,10000,200,0.0
OddManOut,50.48,50.24,10000,10000,200,0.1
OddManOut,50.44,50.34,10000,10000,200,0.2
CoordinationInversion,50.0,50.0,10002,10002,50,0.0
CoordinationInversion,50.5,50.33,10002,10002,50,0.1
CoordinationInversion,50.0,50.0,10002,10002,50,0.2
CoordinationInversion,50.0,50.0,10002,10002,100,0.0
CoordinationInversion,50.0,50.0,10002,10002,100,0.1
CoordinationInversion,50.46,50.28,10002,10002,100,0.2
CoordinationInversion,50.33,50.51,10002,10002,200,0.0
CoordinationInversion,50.78,49.91,10002,10002,200,0.1
CoordinationInversion,50.56,50.38,10002,10002,200,0.2
