task,devacc,acc,ndev,ntest,nhid,dropout
Length,67.17,68.19,9996,9996,50,0.0
Length,66.32,67.32,9996,9996,50,0.1
Length,66.32,67.58,9996,9996,50,0.2
Length,67.53,68.04,9996,9996,100,0.0
Length,67.18,68.3,9996,9996,100,0.1
Length,66.62,67.86,9996,9996,100,0.2
Length,68.09,68.79,9996,9996,200,0.0
Length,67.57,68.85,9996,9996,200,0.1
Length,66.58,67.77,9996,9996,200,0.2
WordContent,32.48,32.09,10000,10000,50,0.0
WordContent,32.48,32.09,10000,10000,50,0.1
WordContent,32.48,32.09,10000,10000,50,0.2
WordContent,32.48,32.09,10000,10000,100,0.0
WordContent,32.48,32.09,10000,10000,100,0.1
WordContent,32.48,32.09,10000,10000,100,0.2
WordContent,32.48,32.09,10000,10000,200,0.0
WordContent,32.48,32.09,10000,10000,200,0.1
WordContent,32.48,32.09,10000,10000,200,0.2
Depth,32.32,31.09,10000,10000,50,0.0
Depth,31.47,31.56,10000,10000,50,0.1
Depth,30.91,31.14,10000,10000,50,0.2
Depth,32.53,31.96,10000,10000,100,0.0
Depth,31.55,31.38,10000,10000,100,0.1
Depth,30.91,31.03,10000,10000,100,0.2
Depth,31.87,32.62,10000,10000,200,0.0
Depth,31.49,32.02,10000,10000,200,0.1
Depth,30.98,31.43,10000,10000,200,0.2
TopConstituents,65.33,65.4,10000,10000,50,0.0
TopConstituents,64.72,65.21,10000,10000,50,0.1
TopConstituents,64.44,64.6,10000,10000,50,0.2
TopConstituents,64.97,65.31,10000,10000,100,0.0
TopConstituents,65.67,65.99,10000,10000,100,0.1
TopConstituents,64.76,65.69,10000,10000,100,0.2
TopConstituents,66.38,66.43,10000,10000,200,0.0
TopConstituents,65.99,66.41,10000,10000,200,0.1
TopConstituents,64.96,65.59,10000,10000,200,0.2
BigramShift,92.38,92.18,10000,10000,50,0.0
BigramShift,92.5,92.12,10000,10000,50,0.1
BigramShift,92.42,92.12,10000,10000,50,0.2
BigramShift,92.39,92.2,10000,10000,100,0.0
BigramShift,92.38,92.08,10000,10000,100,0.1
BigramShift,92.36,92.01,10000,10000,100,0.2
BigramShift,92.32,92.04,10000,10000,200,0.0
BigramShift,92.4,91.99,10000,10000,200,0.1
BigramShift,92.35,91.91,10000,10000,200,0.2
Tense,89.3,87.66,10000,10000,50,0.0
Tense,89.06,87.48,10000,10000,50,0.1
Tense,89.03,87.26,10000,10000,50,0.2
Tense,89.16,88.24,10000,10000,100,0.0
Tense,89.07,87.66,10000,10000,100,0.1
Tense,89.0,87.33,10000,10000,100,0.2
Tense,89.14,87.88,10000,10000,200,0.0
Tense,89.15,87.56,10000,10000,200,0.1
Tense,89.02,87.49,10000,10000,200,0.2
SubjNumber,78.84,78.03,10000,10000,50,0.0
SubjNumber,78.42,77.22,10000,10000,50,0.1
SubjNumber,78.88,77.63,10000,10000,50,0.2
SubjNumber,78.87,78.21,10000,10000,100,0.0
SubjNumber,78.56,77.3,10000,10000,100,0.1
SubjNumber,78.69,77.08,10000,10000,100,0.2
SubjNumber,79.05,78.3,10000,10000,200,0.0
SubjNumber,79.23,77.93,10000,10000,200,0.1
SubjNumber,78.92,76.98,10000,10000,200,0.2
ObjNumber,74.68,75.51,10000,10000,50,0.0
ObjNumber,74.59,75.8,10000,10000,50,0.1
ObjNumber,74.24,75.72,10000,10000,50,0.2
ObjNumber,74.78,75.59,10000,10000,100,0.0
ObjNumber,74.78,75.6,10000,10000,100,0.1
ObjNumber,73.95,75.45,10000,10000,100,0.2
ObjNumber,74.84,75.6,10000,10000,200,0.0
ObjNumber,74.87,75.79,10000,10000,200,0.1
ObjNumber,73.68,74.53,10000,10000,200,0.2
OddManOut,68.92,68.53,10000,10000,50,0.0
OddManOut,69.08,68.74,10000,10000,50,0.1
OddManOut,68.61,68.32,10000,10000,50,0.2
OddManOut,69.0,68.68,10000,10000,100,0.0
OddManOut,68.98,68.36,10000,10000,100,0.1
OddManOut,68.76,68.49,10000,10000,100,0.2
OddManOut,68.97,69.04,10000,10000,200,0.0
OddManOut,69.11,68.76,10000,10000,200,0.1
OddManOut,68.77,68.74,10000,10000,200,0.2
CoordinationInversion,71.56,71.61,10002,10002,50,0.0
CoordinationInversion,70.34,70.01,10002,10002,50,0.1
CoordinationInversion,70.39,70.22,10002,10002,50,0.2
CoordinationInversion,70.94,71.19,10002,10002,100,0.0
CoordinationInversion,70.95,70.84,10002,10002,100,0.1
CoordinationInversion,70.56,70.57,10002,10002,100,0.2
CoordinationInversion,71.15,70.8,10002,10002,200,0.0
CoordinationInversion,70.88,71.17,10002,10002,200,0.1
CoordinationInversion,70.6,70.56,10002,10002,200,0.2
