task,devacc,acc,ndev,ntest,nhid,dropout
Length,94.41,95.25,9996,9996,50,0.0
Length,94.26,95.03,9996,9996,50,0.1
Length,94.06,94.65,9996,9996,50,0.2
Length,94.35,94.99,9996,9996,100,0.0
Length,94.26,95.09,9996,9996,100,0.1
Length,94.29,94.78,9996,9996,100,0.2
Length,94.43,95.33,9996,9996,200,0.0
Length,94.27,95.17,9996,9996,200,0.1
Length,93.95,95.03,9996,9996,200,0.2
WordContent,56.37,56.34,10000,10000,50,0.0
WordContent,56.37,56.34,10000,10000,50,0.1
WordContent,56.37,56.34,10000,10000,50,0.2
WordContent,56.37,56.34,10000,10000,100,0.0
WordContent,56.37,56.34,10000,10000,100,0.1
WordContent,56.37,56.34,10000,10000,100,0.2
WordContent,56.37,56.34,10000,10000,200,0.0
WordContent,56.37,56.34,10000,10000,200,0.1
WordContent,56.37,56.34,10000,10000,200,0.2
Depth,43.71,43.84,10000,10000,50,0.0
Depth,42.8,43.16,10000,10000,50,0.1
Depth,41.58,42.35,10000,10000,50,0.2
Depth,44.49,44.28,10000,10000,100,0.0
Depth,44.33,44.28,10000,10000,100,0.1
Depth,42.56,42.58,10000,10000,100,0.2
Depth,45.22,45.57,10000,10000,200,0.0
Depth,43.82,44.12,10000,10000,200,0.1
Depth,43.17,43.44,10000,10000,200,0.2
TopConstituents,80.69,80.95,10000,10000,50,0.0
TopConstituents,80.68,80.49,10000,10000,50,0.1
TopConstituents,80.61,81.2,10000,10000,50,0.2
TopConstituents,81.3,81.04,10000,10000,100,0.0
TopConstituents,81.17,81.23,10000,10000,100,0.1
TopConstituents,80.86,81.02,10000,10000,100,0.2
TopConstituents,81.11,81.25,10000,10000,200,0.0
TopConstituents,80.76,81.34,10000,10000,200,0.1
TopConstituents,80.57,80.79,10000,10000,200,0.2
BigramShift,85.71,85.06,10000,10000,50,0.0
BigramShift,85.21,84.52,10000,10000,50,0.1
BigramShift,84.91,84.52,10000,10000,50,0.2
BigramShift,85.48,85.03,10000,10000,100,0.0
BigramShift,85.02,84.5,10000,10000,100,0.1
BigramShift,85.0,84.37,10000,10000,100,0.2
BigramShift,85.55,85.19,10000,10000,200,0.0
BigramShift,85.4,84.44,10000,10000,200,0.1
BigramShift,85.13,84.58,10000,10000,200,0.2
Tense,89.39,87.83,10000,10000,50,0.0
Tense,89.33,88.01,10000,10000,50,0.1
Tense,89.4,87.91,10000,10000,50,0.2
Tense,89.58,87.52,10000,10000,100,0.0
Tense,89.35,87.58,10000,10000,100,0.1
Tense,89.43,87.71,10000,10000,100,0.2
Tense,89.52,87.69,10000,10000,200,0.0
Tense,89.58,87.98,10000,10000,200,0.1
Tense,89.55,87.85,10000,10000,200,0.2
SubjNumber,86.73,86.63,10000,10000,50,0.0
SubjNumber,86.39,86.49,10000,10000,50,0.1
SubjNumber,86.14,85.91,10000,10000,50,0.2
SubjNumber,86.81,86.69,10000,10000,100,0.0
SubjNumber,86.51,86.38,10000,10000,100,0.1
SubjNumber,86.29,86.02,10000,10000,100,0.2
SubjNumber,86.7,86.43,10000,10000,200,0.0
SubjNumber,86.76,86.81,10000,10000,200,0.1
SubjNumber,86.76,86.78,10000,10000,200,0.2
ObjNumber,82.4,81.68,10000,10000,50,0.0
ObjNumber,82.02,81.62,10000,10000,50,0.1
ObjNumber,82.04,81.22,10000,10000,50,0.2
ObjNumber,82.3,82.42,10000,10000,100,0.0
ObjNumber,82.51,81.65,10000,10000,100,0.1
ObjNumber,82.26,81.92,10000,10000,100,0.2
ObjNumber,82.48,82.56,10000,10000,200,0.0
ObjNumber,81.82,81.09,10000,10000,200,0.1
ObjNumber,82.27,81.65,10000,10000,200,0.2
OddManOut,60.61,61.76,10000,10000,50,0.0
OddManOut,60.62,62.01,10000,10000,50,0.1
OddManOut,60.81,62.18,10000,10000,50,0.2
OddManOut,60.57,62.22,10000,10000,100,0.0
OddManOut,60.57,62.11,10000,10000,100,0.1
OddManOut,60.86,62.24,10000,10000,100,0.2
OddManOut,60.78,61.93,10000,10000,200,0.0
OddManOut,60.55,62.12,10000,10000,200,0.1
OddManOut,60.54,62.19,10000,10000,200,0.2
CoordinationInversion,64.48,63.75,10002,10002,50,0.0
CoordinationInversion,63.56,63.34,10002,10002,50,0.1
CoordinationInversion,62.72,62.77,10002,10002,50,0.2
CoordinationInversion,65.31,64.13,10002,10002,100,0.0
CoordinationInversion,63.76,62.89,10002,10002,100,0.1
CoordinationInversion,63.02,62.63,10002,10002,100,0.2
CoordinationInversion,65.58,63.89,10002,10002,200,0.0
CoordinationInversion,63.53,63.05,10002,10002,200,0.1
CoordinationInversion,62.92,62.96,10002,10002,200,0.2
