task,devacc,acc,ndev,ntest,nhid,dropout
Length,27.07,28.97,9996,9996,50,0.0
Length,24.19,25.9,9996,9996,50,0.1
Length,23.45,24.35,9996,9996,50,0.2
Length,25.13,27.78,9996,9996,100,0.0
Length,23.94,23.73,9996,9996,100,0.1
Length,24.94,27.03,9996,9996,100,0.2
Length,26.08,27.6,9996,9996,200,0.0
Length,25.01,26.36,9996,9996,200,0.1
Length,24.46,26.04,9996,9996,200,0.2
WordContent,0.33,0.27,10000,10000,50,0.0
WordContent,0.33,0.27,10000,10000,50,0.1
WordContent,0.33,0.27,10000,10000,50,0.2
WordContent,0.33,0.27,10000,10000,100,0.0
WordContent,0.33,0.27,10000,10000,100,0.1
WordContent,0.33,0.27,10000,10000,100,0.2
WordContent,0.33,0.27,10000,10000,200,0.0
WordContent,0.33,0.27,10000,10000,200,0.1
WordContent,0.33,0.27,10000,10000,200,0.2
Depth,18.75,18.05,10000,10000,50,0.0
Depth,18.84,18.27,10000,10000,50,0.1
Depth,18.73,18.4,10000,10000,50,0.2
Depth,18.78,18.44,10000,10000,100,0.0
Depth,18.87,17.73,10000,10000,100,0.1
Depth,18.81,18.21,10000,10000,100,0.2
Depth,18.75,18.41,10000,10000,200,0.0
Depth,18.69,18.32,10000,10000,200,0.1
Depth,18.62,18.44,10000,10000,200,0.2
TopConstituents,12.2,11.67,10000,10000,50,0.0
TopConstituents,12.07,11.65,10000,10000,50,0.1
TopConstituents,11.3,11.0,10000,10000,50,0.2
TopConstituents,12.53,12.56,10000,10000,100,0.0
TopConstituents,11.32,10.98,10000,10000,100,0.1
TopConstituents,11.05,10.75,10000,10000,100,0.2
TopConstituents,12.76,12.92,10000,10000,200,0.0
TopConstituents,11.81,11.28,10000,10000,200,0.1
TopConstituents,11.37,10.74,10000,10000,200,0.2
BigramShift,56.81,55.96,10000,10000,50,0.0
BigramShift,56.43,55.41,10000,10000,50,0.1
BigramShift,56.43,55.62,10000,10000,50,0.2
BigramShift,56.96,56.62,10000,10000,100,0.0
BigramShift,56.05,55.36,10000,10000,100,0.1
BigramShift,54.88,54.09,10000,10000,100,0.2
BigramShift,56.49,55.56,10000,10000,200,0.0
BigramShift,55.87,55.43,10000,10000,200,0.1
BigramShift,54.18,53.47,10000,10000,200,0.2
Tense,62.84,61.71,10000,10000,50,0.0
Tense,57.97,56.88,10000,10000,50,0.1
Tense,52.14,52.35,10000,10000,50,0.2
Tense,56.36,56.74,10000,10000,100,0.0
Tense,56.75,57.98,10000,10000,100,0.1
Tense,52.19,52.58,10000,10000,100,0.2
Tense,55.96,56.6,10000,10000,200,0.0
Tense,55.12,56.32,10000,10000,200,0.1
Tense,52.21,52.67,10000,10000,200,0.2
SubjNumber,50.96,49.06,10000,10000,50,0.0
SubjNumber,51.14,51.75,10000,10000,50,0.1
SubjNumber,50.83,51.5,10000,10000,50,0.2
SubjNumber,51.2,52.56,10000,10000,100,0.0
SubjNumber,51.41,52.41,10000,10000,100,0.1
SubjNumber,51.67,50.56,10000,10000,100,0.2
SubjNumber,50.68,51.47,10000,10000,200,0.0
SubjNumber,51.31,52.5,10000,10000,200,0.1
SubjNumber,51.45,52.27,10000,10000,200,0.2
ObjNumber,50.81,50.64,10000,10000,50,0.0
ObjNumber,50.84,50.74,10000,10000,50,0.1
ObjNumber,50.86,50.9,10000,10000,50,0.2
ObjNumber,50.84,50.79,10000,10000,100,0.0
ObjNumber,50.84,50.42,10000,10000,100,0.1
ObjNumber,50.65,50.17,10000,10000,100,0.2
ObjNumber,50.76,50.64,10000,10000,200,0.0
ObjNumber,51.03,50.89,10000,10000,200,0.1
ObjNumber,50.22,50.52,10000,10000,200,0.2
OddManOut,51.75,50.83,10000,10000,50,0.0
OddManOut,51.82,50.98,10000,10000,50,0.1
OddManOut,51.9,50.91,10000,10000,50,0.2
OddManOut,51.77,50.86,10000,10000,100,0.0
OddManOut,51.45,51.09,10000,10000,100,0.1
OddManOut,51.12,50.66,10000,10000,100,0.2
OddManOut,51.87,50.76,10000,10000,200,0.0
OddManOut,51.17,50.85,10000,10000,200,0.1
OddManOut,50.97,50.27,10000,10000,200,0.2
CoordinationInversion,52.32,51.19,10002,10002,50,0.0
CoordinationInversion,52.21,51.09,10002,10002,50,0.1
CoordinationInversion,52.37,51.07,10002,10002,50,0.2
CoordinationInversion,52.3,51.48,10002,10002,100,0.0
CoordinationInversion,52.38,51.27,10002,10002,100,0.1
CoordinationInversion,52.01,50.93,10002,10002,100,0.2
CoordinationInversion,52.1,51.4,10002,10002,200,0.0
CoordinationInversion,51.96,50.79,10002,10002,200,0.1
CoordinationInversion,51.92,50.76,10002,10002,200,0.2
