task,devacc,acc,ndev,ntest,nhid,dropout
Length,81.39,81.62,9996,9996,50,0.0
Length,81.61,81.96,9996,9996,50,0.1
Length,81.8,81.75,9996,9996,50,0.2
Length,81.96,81.98,9996,9996,100,0.0
Length,82.38,81.87,9996,9996,100,0.1
Length,82.05,81.97,9996,9996,100,0.2
Length,82.12,82.08,9996,9996,200,0.0
Length,82.33,82.26,9996,9996,200,0.1
Length,81.57,81.99,9996,9996,200,0.2
WordContent,57.43,57.29,10000,10000,50,0.0
WordContent,57.43,57.29,10000,10000,50,0.1
WordContent,57.43,57.29,10000,10000,50,0.2
WordContent,57.43,57.29,10000,10000,100,0.0
WordContent,57.43,57.29,10000,10000,100,0.1
WordContent,57.43,57.29,10000,10000,100,0.2
WordContent,57.43,57.29,10000,10000,200,0.0
WordContent,57.43,57.29,10000,10000,200,0.1
WordContent,57.43,57.29,10000,10000,200,0.2
Depth,42.77,43.37,10000,10000,50,0.0
Depth,42.22,42.61,10000,10000,50,0.1
Depth,41.84,42.3,10000,10000,50,0.2
Depth,42.74,42.83,10000,10000,100,0.0
Depth,42.91,42.94,10000,10000,100,0.1
Depth,42.08,42.58,10000,10000,100,0.2
Depth,43.98,42.7,10000,10000,200,0.0
Depth,43.54,43.45,10000,10000,200,0.1
Depth,42.74,43.59,10000,10000,200,0.2
TopConstituents,78.9,77.99,10000,10000,50,0.0
TopConstituents,78.98,77.85,10000,10000,50,0.1
TopConstituents,78.85,77.87,10000,10000,50,0.2
TopConstituents,78.68,78.31,10000,10000,100,0.0
TopConstituents,78.92,77.7,10000,10000,100,0.1
TopConstituents,78.99,78.0,10000,10000,100,0.2
TopConstituents,79.29,78.42,10000,10000,200,0.0
TopConstituents,79.08,78.56,10000,10000,200,0.1
TopConstituents,79.09,78.32,10000,10000,200,0.2
BigramShift,87.9,88.1,10000,10000,50,0.0
BigramShift,88.11,87.94,10000,10000,50,0.1
BigramShift,88.27,87.92,10000,10000,50,0.2
BigramShift,87.74,87.32,10000,10000,100,0.0
BigramShift,88.07,87.81,10000,10000,100,0.1
BigramShift,88.16,87.9,10000,10000,100,0.2
BigramShift,87.8,87.83,10000,10000,200,0.0
BigramShift,88.0,87.43,10000,10000,200,0.1
BigramShift,88.03,88.12,10000,10000,200,0.2
Tense,89.78,87.83,10000,10000,50,0.0
Tense,89.98,88.23,10000,10000,50,0.1
Tense,90.0,88.47,10000,10000,50,0.2
Tense,89.96,87.98,10000,10000,100,0.0
Tense,90.24,88.7,10000,10000,100,0.1
Tense,90.14,88.51,10000,10000,100,0.2
Tense,89.9,88.06,10000,10000,200,0.0
Tense,90.06,88.36,10000,10000,200,0.1
Tense,90.15,88.58,10000,10000,200,0.2
SubjNumber,87.81,88.06,10000,10000,50,0.0
SubjNumber,88.1,88.14,10000,10000,50,0.1
SubjNumber,87.94,87.81,10000,10000,50,0.2
SubjNumber,87.86,88.11,10000,10000,100,0.0
SubjNumber,87.81,87.97,10000,10000,100,0.1
SubjNumber,87.97,88.13,10000,10000,100,0.2
SubjNumber,87.82,88.11,10000,10000,200,0.0
SubjNumber,87.87,88.39,10000,10000,200,0.1
SubjNumber,87.89,88.08,10000,10000,200,0.2
ObjNumber,82.59,83.79,10000,10000,50,0.0
ObjNumber,83.15,83.6,10000,10000,50,0.1
ObjNumber,83.43,84.43,10000,10000,50,0.2
ObjNumber,82.75,83.85,10000,10000,100,0.0
ObjNumber,82.79,83.83,10000,10000,100,0.1
ObjNumber,83.25,84.17,10000,10000,100,0.2
ObjNumber,82.52,83.88,10000,10000,200,0.0
ObjNumber,83.43,84.52,10000,10000,200,0.1
ObjNumber,83.01,83.45,10000,10000,200,0.2
OddManOut,67.33,66.89,10000,10000,50,0.0
OddManOut,67.33,67.22,10000,10000,50,0.1
OddManOut,67.31,66.98,10000,10000,50,0.2
OddManOut,67.41,67.02,10000,10000,100,0.0
OddManOut,67.49,67.18,10000,10000,100,0.1
OddManOut,67.29,67.04,10000,10000,100,0.2
OddManOut,67.3,66.96,10000,10000,200,0.0
OddManOut,67.4,67.28,10000,10000,200,0.1
OddManOut,67.3,66.96,10000,10000,200,0.2
CoordinationInversion,78.03,77.27,10002,10002,50,0.0
CoordinationInversion,77.98,77.37,10002,10002,50,0.1
CoordinationInversion,77.93,77.14,10002,10002,50,0.2
CoordinationInversion,77.71,77.15,10002,10002,100,0.0
CoordinationInversion,77.84,77.42,10002,10002,100,0.1
CoordinationInversion,78.17,77.09,10002,10002,100,0.2
CoordinationInversion,77.94,77.41,10002,10002,200,0.0
CoordinationInversion,78.39,77.59,10002,10002,200,0.1
CoordinationInversion,78.17,77.62,10002,10002,200,0.2
