task,devacc,acc,ndev,ntest,nhid,dropout
Length,97.85,98.29,9996,9996,50,0.0
Length,97.84,98.17,9996,9996,50,0.1
Length,97.85,98.29,9996,9996,50,0.2
Length,97.88,98.56,9996,9996,100,0.0
Length,97.82,98.2,9996,9996,100,0.1
Length,97.65,97.99,9996,9996,100,0.2
Length,98.01,98.6,9996,9996,200,0.0
Length,97.93,98.4,9996,9996,200,0.1
Length,97.67,97.92,9996,9996,200,0.2
WordContent,97.88,97.93,10000,10000,50,0.0
WordContent,97.88,97.93,10000,10000,50,0.1
WordContent,97.88,97.93,10000,10000,50,0.2
WordContent,97.88,97.93,10000,10000,100,0.0
WordContent,97.88,97.93,10000,10000,100,0.1
WordContent,97.88,97.93,10000,10000,100,0.2
WordContent,97.88,97.93,10000,10000,200,0.0
WordContent,97.88,97.93,10000,10000,200,0.1
WordContent,97.88,97.93,10000,10000,200,0.2
Depth,40.71,41.2,10000,10000,50,0.0
Depth,39.66,40.65,10000,10000,50,0.1
Depth,38.72,39.29,10000,10000,50,0.2
Depth,40.45,41.16,10000,10000,100,0.0
Depth,40.08,40.29,10000,10000,100,0.1
Depth,40.3,41.32,10000,10000,100,0.2
Depth,41.0,42.34,10000,10000,200,0.0
Depth,40.83,41.57,10000,10000,200,0.1
Depth,40.92,41.53,10000,10000,200,0.2
TopConstituents,63.43,63.0,10000,10000,50,0.0
TopConstituents,63.57,62.61,10000,10000,50,0.1
TopConstituents,63.24,62.24,10000,10000,50,0.2
TopConstituents,64.36,63.41,10000,10000,100,0.0
TopConstituents,64.13,63.45,10000,10000,100,0.1
TopConstituents,63.73,62.86,10000,10000,100,0.2
TopConstituents,64.92,64.5,10000,10000,200,0.0
TopConstituents,64.91,64.09,10000,10000,200,0.1
TopConstituents,64.56,63.79,10000,10000,200,0.2
BigramShift,50.71,49.93,10000,10000,50,0.0
BigramShift,50.58,49.49,10000,10000,50,0.1
BigramShift,50.66,49.16,10000,10000,50,0.2
BigramShift,50.5,49.4,10000,10000,100,0.0
BigramShift,50.49,49.34,10000,10000,100,0.1
BigramShift,50.5,49.11,10000,10000,100,0.2
BigramShift,50.06,50.22,10000,10000,200,0.0
BigramShift,50.45,49.98,10000,10000,200,0.1
BigramShift,50.47,49.04,10000,10000,200,0.2
Tense,87.26,86.27,10000,10000,50,0.0
Tense,87.43,86.16,10000,10000,50,0.1
Tense,87.33,86.45,10000,10000,50,0.2
Tense,87.21,86.54,10000,10000,100,0.0
Tense,87.28,86.2,10000,10000,100,0.1
Tense,87.33,86.43,10000,10000,100,0.2
Tense,87.27,86.17,10000,10000,200,0.0
Tense,87.57,86.27,10000,10000,200,0.1
Tense,87.58,85.76,10000,10000,200,0.2
SubjNumber,83.37,81.71,10000,10000,50,0.0
SubjNumber,83.7,81.22,10000,10000,50,0.1
SubjNumber,83.19,81.4,10000,10000,50,0.2
SubjNumber,83.36,81.52,10000,10000,100,0.0
SubjNumber,83.31,81.4,10000,10000,100,0.1
SubjNumber,83.26,81.71,10000,10000,100,0.2
SubjNumber,83.52,81.6,10000,10000,200,0.0
SubjNumber,83.29,82.08,10000,10000,200,0.1
SubjNumber,83.32,81.62,10000,10000,200,0.2
ObjNumber,81.89,83.3,10000,10000,50,0.0
ObjNumber,82.0,83.54,10000,10000,50,0.1
ObjNumber,82.54,83.57,10000,10000,50,0.2
ObjNumber,81.86,83.35,10000,10000,100,0.0
ObjNumber,81.85,83.45,10000,10000,100,0.1
ObjNumber,82.23,83.41,10000,10000,100,0.2
ObjNumber,81.61,83.06,10000,10000,200,0.0
ObjNumber,81.84,83.51,10000,10000,200,0.1
ObjNumber,82.4,83.67,10000,10000,200,0.2
OddManOut,50.85,50.49,10000,10000,50,0.0
OddManOut,50.3,49.71,10000,10000,50,0.1
OddManOut,50.19,49.87,10000,10000,50,0.2
OddManOut,51.11,50.49,10000,10000,100,0.0
OddManOut,50.41,50.19,10000,10000,100,0.1
OddManOut,50.19,49.87,10000,10000,100,0.2
OddManOut,51.15,49.96,10000,10000,200,0.0
OddManOut,50.19,49.87,10000,10000,200,0.1
OddManOut,50.19,49.87,10000,10000,200,0.2
CoordinationInversion,50.32,49.76,10002,10002,50,0.0
CoordinationInversion,50.3,49.62,10002,10002,50,0.1
CoordinationInversion,50.6,50.59,10002,10002,50,0.2
CoordinationInversion,50.18,49.39,10002,10002,100,0.0
CoordinationInversion,50.54,50.39,10002,10002,100,0.1
CoordinationInversion,50.22,50.17,10002,10002,100,0.2
CoordinationInversion,50.19,49.86,10002,10002,200,0.0
CoordinationInversion,50.55,49.82,10002,10002,200,0.1
CoordinationInversion,50.28,49.91,10002,10002,200,0.2
