task,devacc,acc,ndev,ntest,nhid,dropout
Length,27.07,29.74,9996,9996,50,0.0
Length,27.44,29.55,9996,9996,50,0.1
Length,26.99,28.87,9996,9996,50,0.2
Length,29.09,31.57,9996,9996,100,0.0
Length,26.8,28.16,9996,9996,100,0.1
Length,26.93,29.39,9996,9996,100,0.2
Length,27.99,28.92,9996,9996,200,0.0
Length,27.89,30.54,9996,9996,200,0.1
Length,26.03,27.26,9996,9996,200,0.2
WordContent,0.36,0.31,10000,10000,50,0.0
WordContent,0.36,0.31,10000,10000,50,0.1
WordContent,0.36,0.31,10000,10000,50,0.2
WordContent,0.36,0.31,10000,10000,100,0.0
WordContent,0.36,0.31,10000,10000,100,0.1
WordContent,0.36,0.31,10000,10000,100,0.2
WordContent,0.36,0.31,10000,10000,200,0.0
WordContent,0.36,0.31,10000,10000,200,0.1
WordContent,0.36,0.31,10000,10000,200,0.2
Depth,18.78,18.0,10000,10000,50,0.0
Depth,18.76,17.97,10000,10000,50,0.1
Depth,18.65,18.11,10000,10000,50,0.2
Depth,18.7,17.79,10000,10000,100,0.0
Depth,18.92,18.22,10000,10000,100,0.1
Depth,18.78,18.4,10000,10000,100,0.2
Depth,18.88,18.59,10000,10000,200,0.0
Depth,18.72,18.47,10000,10000,200,0.1
Depth,18.74,18.07,10000,10000,200,0.2
TopConstituents,12.57,12.23,10000,10000,50,0.0
TopConstituents,12.36,11.59,10000,10000,50,0.1
TopConstituents,11.96,11.71,10000,10000,50,0.2
TopConstituents,12.3,12.22,10000,10000,100,0.0
TopConstituents,11.95,11.39,10000,10000,100,0.1
TopConstituents,11.4,10.91,10000,10000,100,0.2
TopConstituents,13.22,12.69,10000,10000,200,0.0
TopConstituents,11.98,11.79,10000,10000,200,0.1
TopConstituents,11.36,10.82,10000,10000,200,0.2
BigramShift,56.52,55.54,10000,10000,50,0.0
BigramShift,55.84,54.7,10000,10000,50,0.1
BigramShift,55.42,54.6,10000,10000,50,0.2
BigramShift,57.14,56.78,10000,10000,100,0.0
BigramShift,55.36,54.75,10000,10000,100,0.1
BigramShift,54.71,53.65,10000,10000,100,0.2
BigramShift,58.01,57.11,10000,10000,200,0.0
BigramShift,55.24,55.38,10000,10000,200,0.1
BigramShift,54.97,54.48,10000,10000,200,0.2
Tense,61.27,60.51,10000,10000,50,0.0
Tense,53.91,53.36,10000,10000,50,0.1
Tense,52.16,52.39,10000,10000,50,0.2
Tense,56.55,57.5,10000,10000,100,0.0
Tense,55.07,55.81,10000,10000,100,0.1
Tense,52.31,52.58,10000,10000,100,0.2
Tense,60.78,61.53,10000,10000,200,0.0
Tense,55.19,56.42,10000,10000,200,0.1
Tense,52.3,52.53,10000,10000,200,0.2
SubjNumber,50.63,49.08,10000,10000,50,0.0
SubjNumber,51.28,52.07,10000,10000,50,0.1
SubjNumber,51.33,52.39,10000,10000,50,0.2
SubjNumber,51.43,51.29,10000,10000,100,0.0
SubjNumber,51.18,52.34,10000,10000,100,0.1
SubjNumber,51.55,50.56,10000,10000,100,0.2
SubjNumber,50.81,51.59,10000,10000,200,0.0
SubjNumber,51.1,50.43,10000,10000,200,0.1
SubjNumber,51.32,52.39,10000,10000,200,0.2
ObjNumber,50.71,50.73,10000,10000,50,0.0
ObjNumber,50.9,50.54,10000,10000,50,0.1
ObjNumber,50.82,50.67,10000,10000,50,0.2
ObjNumber,50.79,50.7,10000,10000,100,0.0
ObjNumber,50.84,50.6,10000,10000,100,0.1
ObjNumber,50.7,50.12,10000,10000,100,0.2
ObjNumber,50.84,50.67,10000,10000,200,0.0
ObjNumber,50.34,50.69,10000,10000,200,0.1
ObjNumber,50.21,50.67,10000,10000,200,0.2
OddManOut,51.92,50.91,10000,10000,50,0.0
OddManOut,51.53,50.66,10000,10000,50,0.1
OddManOut,51.93,50.83,10000,10000,50,0.2
OddManOut,51.77,50.84,10000,10000,100,0.0
OddManOut,51.59,50.59,10000,10000,100,0.1
OddManOut,51.5,50.9,10000,10000,100,0.2
OddManOut,51.85,50.99,10000,10000,200,0.0
OddManOut,51.4,51.12,10000,10000,200,0.1
OddManOut,51.07,50.66,10000,10000,200,0.2
CoordinationInversion,52.16,51.12,10002,10002,50,0.0
CoordinationInversion,52.17,51.14,10002,10002,50,0.1
CoordinationInversion,52.29,51.21,10002,10002,50,0.2
CoordinationInversion,52.18,51.56,10002,10002,100,0.0
CoordinationInversion,52.32,50.91,10002,10002,100,0.1
CoordinationInversion,51.98,50.94,10002,10002,100,0.2
CoordinationInversion,52.27,51.3,10002,10002,200,0.0
CoordinationInversion,52.34,51.08,10002,10002,200,0.1
CoordinationInversion,51.99,51.12,10002,10002,200,0.2
