task,devacc,acc,ndev,ntest,nhid,dropout
Length,27.91,30.43,9996,9996,50,0.0
Length,25.08,25.81,9996,9996,50,0.1
Length,25.28,27.35,9996,9996,50,0.2
Length,27.82,30.37,9996,9996,100,0.0
Length,27.21,28.92,9996,9996,100,0.1
Length,25.79,28.31,9996,9996,100,0.2
Length,27.7,30.52,9996,9996,200,0.0
Length,25.91,27.09,9996,9996,200,0.1
Length,25.14,28.14,9996,9996,200,0.2
WordContent,0.34,0.31,10000,10000,50,0.0
WordContent,0.34,0.31,10000,10000,50,0.1
WordContent,0.34,0.31,10000,10000,50,0.2
WordContent,0.34,0.31,10000,10000,100,0.0
WordContent,0.34,0.31,10000,10000,100,0.1
WordContent,0.34,0.31,10000,10000,100,0.2
WordContent,0.34,0.31,10000,10000,200,0.0
WordContent,0.34,0.31,10000,10000,200,0.1
WordContent,0.34,0.31,10000,10000,200,0.2
Depth,18.92,18.01,10000,10000,50,0.0
Depth,18.8,18.11,10000,10000,50,0.1
Depth,18.94,18.24,10000,10000,50,0.2
Depth,18.77,18.09,10000,10000,100,0.0
Depth,18.55,18.44,10000,10000,100,0.1
Depth,19.02,18.34,10000,10000,100,0.2
Depth,18.87,18.26,10000,10000,200,0.0
Depth,18.75,18.17,10000,10000,200,0.1
Depth,18.79,17.96,10000,10000,200,0.2
TopConstituents,17.5,18.2,10000,10000,50,0.0
TopConstituents,13.95,13.98,10000,10000,50,0.1
TopConstituents,12.73,12.62,10000,10000,50,0.2
TopConstituents,18.36,18.21,10000,10000,100,0.0
TopConstituents,15.04,15.17,10000,10000,100,0.1
TopConstituents,12.58,12.82,10000,10000,100,0.2
TopConstituents,16.38,16.32,10000,10000,200,0.0
TopConstituents,15.49,15.6,10000,10000,200,0.1
TopConstituents,12.61,12.48,10000,10000,200,0.2
BigramShift,58.99,57.92,10000,10000,50,0.0
BigramShift,57.33,56.68,10000,10000,50,0.1
BigramShift,57.34,56.4,10000,10000,50,0.2
BigramShift,58.42,57.84,10000,10000,100,0.0
BigramShift,56.71,55.82,10000,10000,100,0.1
BigramShift,56.87,56.2,10000,10000,100,0.2
BigramShift,57.07,56.54,10000,10000,200,0.0
BigramShift,55.69,55.21,10000,10000,200,0.1
BigramShift,56.31,55.6,10000,10000,200,0.2
Tense,61.34,61.32,10000,10000,50,0.0
Tense,60.0,58.05,10000,10000,50,0.1
Tense,57.49,58.68,10000,10000,50,0.2
Tense,61.88,59.76,10000,10000,100,0.0
Tense,56.77,57.93,10000,10000,100,0.1
Tense,58.38,58.74,10000,10000,100,0.2
Tense,61.92,60.62,10000,10000,200,0.0
Tense,57.41,58.15,10000,10000,200,0.1
Tense,58.08,58.55,10000,10000,200,0.2
SubjNumber,58.5,58.11,10000,10000,50,0.0
SubjNumber,56.17,56.2,10000,10000,50,0.1
SubjNumber,53.32,52.4,10000,10000,50,0.2
SubjNumber,60.03,60.0,10000,10000,100,0.0
SubjNumber,54.14,54.43,10000,10000,100,0.1
SubjNumber,52.97,51.36,10000,10000,100,0.2
SubjNumber,57.9,58.24,10000,10000,200,0.0
SubjNumber,56.34,56.5,10000,10000,200,0.1
SubjNumber,53.42,50.98,10000,10000,200,0.2
ObjNumber,51.41,53.11,10000,10000,50,0.0
ObjNumber,50.75,50.87,10000,10000,50,0.1
ObjNumber,50.32,50.7,10000,10000,50,0.2
ObjNumber,51.09,51.74,10000,10000,100,0.0
ObjNumber,50.74,50.58,10000,10000,100,0.1
ObjNumber,50.58,50.17,10000,10000,100,0.2
ObjNumber,51.58,52.5,10000,10000,200,0.0
ObjNumber,50.6,50.99,10000,10000,200,0.1
ObjNumber,50.59,50.58,10000,10000,200,0.2
OddManOut,51.99,50.94,10000,10000,50,0.0
OddManOut,51.94,50.94,10000,10000,50,0.1
OddManOut,51.75,50.8,10000,10000,50,0.2
OddManOut,51.88,50.99,10000,10000,100,0.0
OddManOut,51.42,50.62,10000,10000,100,0.1
OddManOut,51.33,50.38,10000,10000,100,0.2
OddManOut,51.95,51.05,10000,10000,200,0.0
OddManOut,51.4,51.76,10000,10000,200,0.1
OddManOut,51.85,50.95,10000,10000,200,0.2
CoordinationInversion,52.37,51.32,10002,10002,50,0.0
CoordinationInversion,52.19,51.07,10002,10002,50,0.1
CoordinationInversion,52.2,51.06,10002,10002,50,0.2
CoordinationInversion,52.27,51.09,10002,10002,100,0.0
CoordinationInversion,52.2,51.2,10002,10002,100,0.1
CoordinationInversion,52.25,51.12,10002,10002,100,0.2
CoordinationInversion,52.31,51.38,10002,10002,200,0.0
CoordinationInversion,51.81,51.25,10002,10002,200,0.1
CoordinationInversion,51.85,51.45,10002,10002,200,0.2
