task,devacc,acc,ndev,ntest,nhid,dropout
Length,54.24,55.01,9996,9996,50,0.0
Length,53.92,55.38,9996,9996,50,0.1
Length,54.08,54.94,9996,9996,50,0.2
Length,54.73,55.04,9996,9996,100,0.0
Length,55.03,56.45,9996,9996,100,0.1
Length,54.81,54.76,9996,9996,100,0.2
Length,53.76,54.42,9996,9996,200,0.0
Length,55.43,55.21,9996,9996,200,0.1
Length,54.41,54.72,9996,9996,200,0.2
WordContent,40.77,40.67,10000,10000,50,0.0
WordContent,40.77,40.67,10000,10000,50,0.1
WordContent,40.77,40.67,10000,10000,50,0.2
WordContent,40.77,40.67,10000,10000,100,0.0
WordContent,40.77,40.67,10000,10000,100,0.1
WordContent,40.77,40.67,10000,10000,100,0.2
WordContent,40.77,40.67,10000,10000,200,0.0
WordContent,40.77,40.67,10000,10000,200,0.1
WordContent,40.77,40.67,10000,10000,200,0.2
Depth,29.8,30.11,10000,10000,50,0.0
Depth,30.46,29.75,10000,10000,50,0.1
Depth,30.74,29.73,10000,10000,50,0.2
Depth,30.42,30.43,10000,10000,100,0.0
Depth,30.76,29.88,10000,10000,100,0.1
Depth,30.37,30.02,10000,10000,100,0.2
Depth,30.31,30.18,10000,10000,200,0.0
Depth,31.03,29.8,10000,10000,200,0.1
Depth,30.6,30.51,10000,10000,200,0.2
TopConstituents,54.0,54.03,10000,10000,50,0.0
TopConstituents,54.63,54.12,10000,10000,50,0.1
TopConstituents,54.79,53.97,10000,10000,50,0.2
TopConstituents,54.29,53.67,10000,10000,100,0.0
TopConstituents,54.7,54.13,10000,10000,100,0.1
TopConstituents,54.77,53.95,10000,10000,100,0.2
TopConstituents,54.02,53.83,10000,10000,200,0.0
TopConstituents,55.31,55.01,10000,10000,200,0.1
TopConstituents,55.99,55.06,10000,10000,200,0.2
BigramShift,80.67,80.36,10000,10000,50,0.0
BigramShift,81.01,80.21,10000,10000,50,0.1
BigramShift,80.83,79.92,10000,10000,50,0.2
BigramShift,80.5,80.36,10000,10000,100,0.0
BigramShift,81.05,80.38,10000,10000,100,0.1
BigramShift,80.98,80.2,10000,10000,100,0.2
BigramShift,80.55,80.28,10000,10000,200,0.0
BigramShift,81.16,80.22,10000,10000,200,0.1
BigramShift,81.09,80.3,10000,10000,200,0.2
Tense,87.07,85.43,10000,10000,50,0.0
Tense,87.22,85.51,10000,10000,50,0.1
Tense,87.27,85.71,10000,10000,50,0.2
Tense,86.82,85.19,10000,10000,100,0.0
Tense,87.33,85.87,10000,10000,100,0.1
Tense,87.47,85.7,10000,10000,100,0.2
Tense,86.64,85.18,10000,10000,200,0.0
Tense,87.21,85.24,10000,10000,200,0.1
Tense,87.15,85.67,10000,10000,200,0.2
SubjNumber,78.48,76.79,10000,10000,50,0.0
SubjNumber,78.93,77.87,10000,10000,50,0.1
SubjNumber,79.09,77.48,10000,10000,50,0.2
SubjNumber,78.61,77.15,10000,10000,100,0.0
SubjNumber,78.96,77.56,10000,10000,100,0.1
SubjNumber,78.94,77.77,10000,10000,100,0.2
SubjNumber,78.35,76.93,10000,10000,200,0.0
SubjNumber,78.7,77.49,10000,10000,200,0.1
SubjNumber,79.28,77.49,10000,10000,200,0.2
ObjNumber,73.74,74.46,10000,10000,50,0.0
ObjNumber,74.58,75.0,10000,10000,50,0.1
ObjNumber,74.59,74.84,10000,10000,50,0.2
ObjNumber,73.76,74.64,10000,10000,100,0.0
ObjNumber,74.22,75.38,10000,10000,100,0.1
ObjNumber,74.46,74.94,10000,10000,100,0.2
ObjNumber,73.52,74.81,10000,10000,200,0.0
ObjNumber,74.01,75.43,10000,10000,200,0.1
ObjNumber,74.49,74.97,10000,10000,200,0.2
OddManOut,65.3,64.58,10000,10000,50,0.0
OddManOut,65.75,65.1,10000,10000,50,0.1
OddManOut,65.41,64.74,10000,10000,50,0.2
OddManOut,65.46,64.74,10000,10000,100,0.0
OddManOut,65.85,65.15,10000,10000,100,0.1
OddManOut,65.87,64.65,10000,10000,100,0.2
OddManOut,64.97,64.34,10000,10000,200,0.0
OddManOut,65.25,65.04,10000,10000,200,0.1
OddManOut,65.66,65.01,10000,10000,200,0.2
CoordinationInversion,67.56,66.85,10002,10002,50,0.0
CoordinationInversion,67.8,66.82,10002,10002,50,0.1
CoordinationInversion,67.78,67.54,10002,10002,50,0.2
CoordinationInversion,67.7,66.89,10002,10002,100,0.0
CoordinationInversion,68.09,67.67,10002,10002,100,0.1
CoordinationInversion,67.84,67.4,10002,10002,100,0.2
CoordinationInversion,67.36,66.6,10002,10002,200,0.0
CoordinationInversion,68.03,67.38,10002,10002,200,0.1
CoordinationInversion,68.64,67.41,10002,10002,200,0.2
