task,devacc,acc,ndev,ntest,nhid,dropout
Length,94.24,94.73,9996,9996,50,0.0
Length,94.09,94.19,9996,9996,50,0.1
Length,94.01,94.06,9996,9996,50,0.2
Length,94.13,94.56,9996,9996,100,0.0
Length,94.44,94.36,9996,9996,100,0.1
Length,94.01,94.23,9996,9996,100,0.2
Length,93.99,94.42,9996,9996,200,0.0
Length,94.11,94.38,9996,9996,200,0.1
Length,94.03,94.19,9996,9996,200,0.2
WordContent,90.93,90.58,10000,10000,50,0.0
WordContent,90.93,90.58,10000,10000,50,0.1
WordContent,90.93,90.58,10000,10000,50,0.2
WordContent,90.93,90.58,10000,10000,100,0.0
WordContent,90.93,90.58,10000,10000,100,0.1
WordContent,90.93,90.58,10000,10000,100,0.2
WordContent,90.93,90.58,10000,10000,200,0.0
WordContent,90.93,90.58,10000,10000,200,0.1
WordContent,90.93,90.58,10000,10000,200,0.2
Depth,43.54,44.11,10000,10000,50,0.0
Depth,42.67,42.61,10000,10000,50,0.1
Depth,42.62,42.37,10000,10000,50,0.2
Depth,43.67,43.92,10000,10000,100,0.0
Depth,43.18,43.87,10000,10000,100,0.1
Depth,43.36,43.8,10000,10000,100,0.2
Depth,43.31,43.45,10000,10000,200,0.0
Depth,43.4,43.76,10000,10000,200,0.1
Depth,43.88,44.31,10000,10000,200,0.2
TopConstituents,75.95,75.66,10000,10000,50,0.0
TopConstituents,76.3,75.71,10000,10000,50,0.1
TopConstituents,76.14,75.54,10000,10000,50,0.2
TopConstituents,76.55,75.82,10000,10000,100,0.0
TopConstituents,76.44,76.15,10000,10000,100,0.1
TopConstituents,76.14,75.71,10000,10000,100,0.2
TopConstituents,77.03,76.37,10000,10000,200,0.0
TopConstituents,76.94,76.7,10000,10000,200,0.1
TopConstituents,76.94,76.48,10000,10000,200,0.2
BigramShift,76.5,75.68,10000,10000,50,0.0
BigramShift,76.71,76.3,10000,10000,50,0.1
BigramShift,76.49,75.7,10000,10000,50,0.2
BigramShift,76.67,75.79,10000,10000,100,0.0
BigramShift,76.62,75.88,10000,10000,100,0.1
BigramShift,76.61,76.07,10000,10000,100,0.2
BigramShift,76.52,75.81,10000,10000,200,0.0
BigramShift,76.83,76.0,10000,10000,200,0.1
BigramShift,76.71,76.01,10000,10000,200,0.2
Tense,88.99,87.63,10000,10000,50,0.0
Tense,89.31,88.21,10000,10000,50,0.1
Tense,89.2,87.96,10000,10000,50,0.2
Tense,89.02,87.85,10000,10000,100,0.0
Tense,89.11,88.32,10000,10000,100,0.1
Tense,89.21,87.94,10000,10000,100,0.2
Tense,89.06,88.02,10000,10000,200,0.0
Tense,89.2,88.24,10000,10000,200,0.1
Tense,89.27,88.17,10000,10000,200,0.2
SubjNumber,84.71,83.67,10000,10000,50,0.0
SubjNumber,84.74,83.51,10000,10000,50,0.1
SubjNumber,84.93,84.04,10000,10000,50,0.2
SubjNumber,84.61,83.59,10000,10000,100,0.0
SubjNumber,84.71,83.93,10000,10000,100,0.1
SubjNumber,85.03,83.65,10000,10000,100,0.2
SubjNumber,84.71,83.68,10000,10000,200,0.0
SubjNumber,84.75,84.15,10000,10000,200,0.1
SubjNumber,84.98,83.83,10000,10000,200,0.2
ObjNumber,83.47,83.87,10000,10000,50,0.0
ObjNumber,83.48,83.7,10000,10000,50,0.1
ObjNumber,83.72,83.95,10000,10000,50,0.2
ObjNumber,83.34,83.76,10000,10000,100,0.0
ObjNumber,83.72,84.11,10000,10000,100,0.1
ObjNumber,83.82,83.82,10000,10000,100,0.2
ObjNumber,83.24,83.6,10000,10000,200,0.0
ObjNumber,83.55,84.12,10000,10000,200,0.1
ObjNumber,83.84,83.83,10000,10000,200,0.2
OddManOut,57.69,58.35,10000,10000,50,0.0
OddManOut,58.05,58.35,10000,10000,50,0.1
OddManOut,58.02,58.5,10000,10000,50,0.2
OddManOut,58.04,58.09,10000,10000,100,0.0
OddManOut,57.86,58.4,10000,10000,100,0.1
OddManOut,57.92,58.82,10000,10000,100,0.2
OddManOut,58.49,58.1,10000,10000,200,0.0
OddManOut,58.09,58.36,10000,10000,200,0.1
OddManOut,58.18,58.43,10000,10000,200,0.2
CoordinationInversion,62.27,60.76,10002,10002,50,0.0
CoordinationInversion,61.72,60.62,10002,10002,50,0.1
CoordinationInversion,61.45,60.43,10002,10002,50,0.2
CoordinationInversion,62.13,60.78,10002,10002,100,0.0
CoordinationInversion,62.4,60.96,10002,10002,100,0.1
CoordinationInversion,61.6,61.02,10002,10002,100,0.2
CoordinationInversion,62.06,61.02,10002,10002,200,0.0
CoordinationInversion,62.12,61.48,10002,10002,200,0.1
CoordinationInversion,61.55,60.53,10002,10002,200,0.2
