task,devacc,acc,ndev,ntest,nhid,dropout
Length,97.99,98.53,9996,9996,50,0.0
Length,97.95,98.27,9996,9996,50,0.1
Length,97.92,98.33,9996,9996,50,0.2
Length,97.96,98.55,9996,9996,100,0.0
Length,97.91,98.22,9996,9996,100,0.1
Length,97.69,98.06,9996,9996,100,0.2
Length,98.06,98.56,9996,9996,200,0.0
Length,98.0,98.44,9996,9996,200,0.1
Length,97.98,98.52,9996,9996,200,0.2
WordContent,97.87,98.0,10000,10000,50,0.0
WordContent,97.87,98.0,10000,10000,50,0.1
WordContent,97.87,98.0,10000,10000,50,0.2
WordContent,97.87,98.0,10000,10000,100,0.0
WordContent,97.87,98.0,10000,10000,100,0.1
WordContent,97.87,98.0,10000,10000,100,0.2
WordContent,97.87,98.0,10000,10000,200,0.0
WordContent,97.87,98.0,10000,10000,200,0.1
WordContent,97.87,98.0,10000,10000,200,0.2
Depth,40.37,41.15,10000,10000,50,0.0
Depth,39.83,40.47,10000,10000,50,0.1
Depth,38.8,39.52,10000,10000,50,0.2
Depth,40.68,41.29,10000,10000,100,0.0
Depth,39.91,40.37,10000,10000,100,0.1
Depth,39.7,40.35,10000,10000,100,0.2
Depth,40.98,41.34,10000,10000,200,0.0
Depth,40.74,41.4,10000,10000,200,0.1
Depth,40.89,41.78,10000,10000,200,0.2
TopConstituents,63.41,62.89,10000,10000,50,0.0
TopConstituents,63.47,62.63,10000,10000,50,0.1
TopConstituents,63.26,62.32,10000,10000,50,0.2
TopConstituents,64.24,63.33,10000,10000,100,0.0
TopConstituents,64.13,63.35,10000,10000,100,0.1
TopConstituents,63.51,62.79,10000,10000,100,0.2
TopConstituents,64.71,64.35,10000,10000,200,0.0
TopConstituents,64.75,64.06,10000,10000,200,0.1
TopConstituents,64.58,63.71,10000,10000,200,0.2
BigramShift,50.63,49.23,10000,10000,50,0.0
BigramShift,50.73,48.97,10000,10000,50,0.1
BigramShift,50.68,49.13,10000,10000,50,0.2
BigramShift,50.6,48.52,10000,10000,100,0.0
BigramShift,50.63,49.28,10000,10000,100,0.1
BigramShift,50.54,49.86,10000,10000,100,0.2
BigramShift,50.11,49.25,10000,10000,200,0.0
BigramShift,50.37,50.07,10000,10000,200,0.1
BigramShift,50.52,48.82,10000,10000,200,0.2
Tense,87.28,86.29,10000,10000,50,0.0
Tense,87.4,86.06,10000,10000,50,0.1
Tense,87.45,86.22,10000,10000,50,0.2
Tense,87.25,86.24,10000,10000,100,0.0
Tense,87.31,86.35,10000,10000,100,0.1
Tense,87.29,85.52,10000,10000,100,0.2
Tense,87.45,86.23,10000,10000,200,0.0
Tense,87.6,86.47,10000,10000,200,0.1
Tense,87.73,85.87,10000,10000,200,0.2
SubjNumber,83.38,81.42,10000,10000,50,0.0
SubjNumber,83.46,81.66,10000,10000,50,0.1
SubjNumber,83.19,81.73,10000,10000,50,0.2
SubjNumber,83.49,81.88,10000,10000,100,0.0
SubjNumber,83.15,81.33,10000,10000,100,0.1
SubjNumber,83.17,81.96,10000,10000,100,0.2
SubjNumber,83.53,81.78,10000,10000,200,0.0
SubjNumber,83.21,81.97,10000,10000,200,0.1
SubjNumber,83.33,81.96,10000,10000,200,0.2
ObjNumber,81.79,83.35,10000,10000,50,0.0
ObjNumber,82.12,83.08,10000,10000,50,0.1
ObjNumber,82.61,83.6,10000,10000,50,0.2
ObjNumber,81.65,83.31,10000,10000,100,0.0
ObjNumber,81.93,83.19,10000,10000,100,0.1
ObjNumber,82.05,83.7,10000,10000,100,0.2
ObjNumber,81.46,83.22,10000,10000,200,0.0
ObjNumber,81.92,83.56,10000,10000,200,0.1
ObjNumber,82.04,83.61,10000,10000,200,0.2
OddManOut,50.9,49.96,10000,10000,50,0.0
OddManOut,50.19,49.87,10000,10000,50,0.1
OddManOut,50.19,49.87,10000,10000,50,0.2
OddManOut,51.56,50.47,10000,10000,100,0.0
OddManOut,50.19,49.87,10000,10000,100,0.1
OddManOut,50.19,49.87,10000,10000,100,0.2
OddManOut,51.17,50.05,10000,10000,200,0.0
OddManOut,50.19,49.87,10000,10000,200,0.1
OddManOut,50.19,49.87,10000,10000,200,0.2
CoordinationInversion,50.13,49.98,10002,10002,50,0.0
CoordinationInversion,50.39,50.8,10002,10002,50,0.1
CoordinationInversion,50.54,50.56,10002,10002,50,0.2
CoordinationInversion,50.09,50.1,10002,10002,100,0.0
CoordinationInversion,50.42,50.37,10002,10002,100,0.1
CoordinationInversion,50.37,49.72,10002,10002,100,0.2
CoordinationInversion,50.22,49.5,10002,10002,200,0.0
CoordinationInversion,50.36,49.71,10002,10002,200,0.1
CoordinationInversion,50.33,49.93,10002,10002,200,0.2
