task,devacc,acc,ndev,ntest,nhid,dropout
Length,52.67,54.29,9996,9996,50,0.0
Length,52.16,54.21,9996,9996,50,0.1
Length,52.0,54.63,9996,9996,50,0.2
Length,52.87,54.72,9996,9996,100,0.0
Length,52.85,55.08,9996,9996,100,0.1
Length,52.88,54.72,9996,9996,100,0.2
Length,53.0,54.46,9996,9996,200,0.0
Length,52.98,54.6,9996,9996,200,0.1
Length,53.44,55.47,9996,9996,200,0.2
WordContent,36.33,35.76,10000,10000,50,0.0
WordContent,36.33,35.76,10000,10000,50,0.1
WordContent,36.33,35.76,10000,10000,50,0.2
WordContent,36.33,35.76,10000,10000,100,0.0
WordContent,36.33,35.76,10000,10000,100,0.1
WordContent,36.33,35.76,10000,10000,100,0.2
WordContent,36.33,35.76,10000,10000,200,0.0
WordContent,36.33,35.76,10000,10000,200,0.1
WordContent,36.33,35.76,10000,10000,200,0.2
Depth,29.64,29.21,10000,10000,50,0.0
Depth,30.35,29.8,10000,10000,50,0.1
Depth,29.95,29.86,10000,10000,50,0.2
Depth,29.44,29.2,10000,10000,100,0.0
Depth,30.15,29.63,10000,10000,100,0.1
Depth,29.88,29.64,10000,10000,100,0.2
Depth,29.69,29.03,10000,10000,200,0.0
Depth,29.75,29.9,10000,10000,200,0.1
Depth,30.08,29.65,10000,10000,200,0.2
TopConstituents,56.51,56.0,10000,10000,50,0.0
TopConstituents,56.54,56.34,10000,10000,50,0.1
TopConstituents,57.07,56.38,10000,10000,50,0.2
TopConstituents,56.96,56.53,10000,10000,100,0.0
TopConstituents,57.49,57.53,10000,10000,100,0.1
TopConstituents,57.6,57.37,10000,10000,100,0.2
TopConstituents,57.35,56.88,10000,10000,200,0.0
TopConstituents,58.02,57.89,10000,10000,200,0.1
TopConstituents,58.38,57.25,10000,10000,200,0.2
BigramShift,79.51,78.93,10000,10000,50,0.0
BigramShift,79.7,79.47,10000,10000,50,0.1
BigramShift,79.61,79.12,10000,10000,50,0.2
BigramShift,79.82,78.94,10000,10000,100,0.0
BigramShift,79.56,79.04,10000,10000,100,0.1
BigramShift,79.71,79.26,10000,10000,100,0.2
BigramShift,79.46,79.2,10000,10000,200,0.0
BigramShift,79.61,78.93,10000,10000,200,0.1
BigramShift,79.45,78.65,10000,10000,200,0.2
Tense,87.81,85.89,10000,10000,50,0.0
Tense,87.85,85.93,10000,10000,50,0.1
Tense,87.9,86.07,10000,10000,50,0.2
Tense,87.56,85.86,10000,10000,100,0.0
Tense,88.04,85.84,10000,10000,100,0.1
Tense,88.09,86.21,10000,10000,100,0.2
Tense,87.66,85.83,10000,10000,200,0.0
Tense,87.86,85.98,10000,10000,200,0.1
Tense,87.84,86.15,10000,10000,200,0.2
SubjNumber,78.79,77.55,10000,10000,50,0.0
SubjNumber,78.93,77.64,10000,10000,50,0.1
SubjNumber,78.77,77.76,10000,10000,50,0.2
SubjNumber,78.54,76.73,10000,10000,100,0.0
SubjNumber,78.86,77.94,10000,10000,100,0.1
SubjNumber,79.01,77.15,10000,10000,100,0.2
SubjNumber,78.5,76.53,10000,10000,200,0.0
SubjNumber,78.64,78.0,10000,10000,200,0.1
SubjNumber,78.94,77.47,10000,10000,200,0.2
ObjNumber,72.77,73.69,10000,10000,50,0.0
ObjNumber,73.08,73.61,10000,10000,50,0.1
ObjNumber,73.42,73.96,10000,10000,50,0.2
ObjNumber,72.77,73.79,10000,10000,100,0.0
ObjNumber,73.29,73.69,10000,10000,100,0.1
ObjNumber,73.36,73.64,10000,10000,100,0.2
ObjNumber,72.73,73.67,10000,10000,200,0.0
ObjNumber,73.22,74.08,10000,10000,200,0.1
ObjNumber,73.56,73.87,10000,10000,200,0.2
OddManOut,64.82,64.29,10000,10000,50,0.0
OddManOut,65.08,64.04,10000,10000,50,0.1
OddManOut,65.57,64.25,10000,10000,50,0.2
OddManOut,64.76,64.04,10000,10000,100,0.0
OddManOut,65.22,64.14,10000,10000,100,0.1
OddManOut,65.18,64.65,10000,10000,100,0.2
OddManOut,64.73,63.72,10000,10000,200,0.0
OddManOut,65.35,64.27,10000,10000,200,0.1
OddManOut,65.66,64.61,10000,10000,200,0.2
CoordinationInversion,71.32,70.92,10002,10002,50,0.0
CoordinationInversion,71.79,70.99,10002,10002,50,0.1
CoordinationInversion,71.96,71.87,10002,10002,50,0.2
CoordinationInversion,71.61,70.54,10002,10002,100,0.0
CoordinationInversion,71.87,71.02,10002,10002,100,0.1
CoordinationInversion,72.35,71.23,10002,10002,100,0.2
CoordinationInversion,71.6,71.21,10002,10002,200,0.0
CoordinationInversion,72.32,71.58,10002,10002,200,0.1
CoordinationInversion,72.3,71.34,10002,10002,200,0.2
