task,devacc,acc,ndev,ntest,nhid,dropout
Length,75.25,74.91,9996,9996,50,0.0
Length,75.32,75.26,9996,9996,50,0.1
Length,73.57,74.32,9996,9996,50,0.2
Length,75.64,75.72,9996,9996,100,0.0
Length,75.68,76.41,9996,9996,100,0.1
Length,75.58,75.76,9996,9996,100,0.2
Length,75.24,75.02,9996,9996,200,0.0
Length,76.34,76.88,9996,9996,200,0.1
Length,75.54,75.76,9996,9996,200,0.2
WordContent,55.68,55.93,10000,10000,50,0.0
WordContent,55.68,55.93,10000,10000,50,0.1
WordContent,55.68,55.93,10000,10000,50,0.2
WordContent,55.68,55.93,10000,10000,100,0.0
WordContent,55.68,55.93,10000,10000,100,0.1
WordContent,55.68,55.93,10000,10000,100,0.2
WordContent,55.68,55.93,10000,10000,200,0.0
WordContent,55.68,55.93,10000,10000,200,0.1
WordContent,55.68,55.93,10000,10000,200,0.2
Depth,37.31,37.1,10000,10000,50,0.0
Depth,37.2,36.83,10000,10000,50,0.1
Depth,36.2,35.41,10000,10000,50,0.2
Depth,37.68,36.99,10000,10000,100,0.0
Depth,37.64,36.65,10000,10000,100,0.1
Depth,36.66,36.55,10000,10000,100,0.2
Depth,37.54,37.45,10000,10000,200,0.0
Depth,37.65,37.34,10000,10000,200,0.1
Depth,37.34,36.84,10000,10000,200,0.2
TopConstituents,70.2,69.62,10000,10000,50,0.0
TopConstituents,70.18,69.8,10000,10000,50,0.1
TopConstituents,70.05,69.81,10000,10000,50,0.2
TopConstituents,70.6,69.84,10000,10000,100,0.0
TopConstituents,71.23,70.54,10000,10000,100,0.1
TopConstituents,71.37,70.84,10000,10000,100,0.2
TopConstituents,70.72,70.17,10000,10000,200,0.0
TopConstituents,71.26,71.13,10000,10000,200,0.1
TopConstituents,70.77,70.4,10000,10000,200,0.2
BigramShift,91.28,90.49,10000,10000,50,0.0
BigramShift,91.36,90.53,10000,10000,50,0.1
BigramShift,91.35,90.63,10000,10000,50,0.2
BigramShift,91.19,90.39,10000,10000,100,0.0
BigramShift,91.52,90.5,10000,10000,100,0.1
BigramShift,91.47,90.58,10000,10000,100,0.2
BigramShift,91.37,90.63,10000,10000,200,0.0
BigramShift,91.39,90.66,10000,10000,200,0.1
BigramShift,91.31,90.6,10000,10000,200,0.2
Tense,90.48,89.36,10000,10000,50,0.0
Tense,90.43,88.58,10000,10000,50,0.1
Tense,90.42,89.16,10000,10000,50,0.2
Tense,90.46,89.41,10000,10000,100,0.0
Tense,90.37,89.01,10000,10000,100,0.1
Tense,90.42,88.66,10000,10000,100,0.2
Tense,90.43,88.82,10000,10000,200,0.0
Tense,90.49,88.99,10000,10000,200,0.1
Tense,90.52,88.98,10000,10000,200,0.2
SubjNumber,83.65,82.78,10000,10000,50,0.0
SubjNumber,83.8,83.43,10000,10000,50,0.1
SubjNumber,83.79,82.91,10000,10000,50,0.2
SubjNumber,83.77,82.9,10000,10000,100,0.0
SubjNumber,83.83,82.83,10000,10000,100,0.1
SubjNumber,83.88,83.07,10000,10000,100,0.2
SubjNumber,83.85,82.98,10000,10000,200,0.0
SubjNumber,83.98,82.84,10000,10000,200,0.1
SubjNumber,83.79,83.17,10000,10000,200,0.2
ObjNumber,80.47,81.8,10000,10000,50,0.0
ObjNumber,80.42,81.51,10000,10000,50,0.1
ObjNumber,80.57,81.36,10000,10000,50,0.2
ObjNumber,80.51,81.54,10000,10000,100,0.0
ObjNumber,80.3,81.51,10000,10000,100,0.1
ObjNumber,80.49,81.48,10000,10000,100,0.2
ObjNumber,80.41,81.69,10000,10000,200,0.0
ObjNumber,80.37,81.59,10000,10000,200,0.1
ObjNumber,80.61,81.45,10000,10000,200,0.2
OddManOut,69.27,69.16,10000,10000,50,0.0
OddManOut,69.77,69.08,10000,10000,50,0.1
OddManOut,69.52,69.26,10000,10000,50,0.2
OddManOut,69.11,68.94,10000,10000,100,0.0
OddManOut,69.67,69.1,10000,10000,100,0.1
OddManOut,69.7,69.27,10000,10000,100,0.2
OddManOut,69.08,68.93,10000,10000,200,0.0
OddManOut,69.61,68.93,10000,10000,200,0.1
OddManOut,69.73,69.15,10000,10000,200,0.2
CoordinationInversion,73.18,73.34,10002,10002,50,0.0
CoordinationInversion,72.75,72.94,10002,10002,50,0.1
CoordinationInversion,72.31,72.48,10002,10002,50,0.2
CoordinationInversion,73.29,73.45,10002,10002,100,0.0
CoordinationInversion,72.87,73.02,10002,10002,100,0.1
CoordinationInversion,72.36,72.32,10002,10002,100,0.2
CoordinationInversion,73.05,73.31,10002,10002,200,0.0
CoordinationInversion,72.88,72.73,10002,10002,200,0.1
CoordinationInversion,72.55,72.61,10002,10002,200,0.2
