task,devacc,acc,ndev,ntest,nhid,dropout
Length,97.4,97.69,9996,9996,50,0.0
Length,97.38,97.74,9996,9996,50,0.1
Length,97.42,97.62,9996,9996,50,0.2
Length,97.31,97.69,9996,9996,100,0.0
Length,97.37,97.56,9996,9996,100,0.1
Length,97.29,97.64,9996,9996,100,0.2
Length,97.05,97.37,9996,9996,200,0.0
Length,97.14,97.53,9996,9996,200,0.1
Length,97.07,97.4,9996,9996,200,0.2
WordContent,96.66,96.63,10000,10000,50,0.0
WordContent,96.66,96.63,10000,10000,50,0.1
WordContent,96.66,96.63,10000,10000,50,0.2
WordContent,96.66,96.63,10000,10000,100,0.0
WordContent,96.66,96.63,10000,10000,100,0.1
WordContent,96.66,96.63,10000,10000,100,0.2
WordContent,96.66,96.63,10000,10000,200,0.0
WordContent,96.66,96.63,10000,10000,200,0.1
WordContent,96.66,96.63,10000,10000,200,0.2
Depth,39.58,39.87,10000,10000,50,0.0
Depth,38.99,40.14,10000,10000,50,0.1
Depth,39.02,39.66,10000,10000,50,0.2
Depth,40.02,40.5,10000,10000,100,0.0
Depth,39.46,39.89,10000,10000,100,0.1
Depth,39.34,39.76,10000,10000,100,0.2
Depth,39.88,40.3,10000,10000,200,0.0
Depth,40.06,40.83,10000,10000,200,0.1
Depth,39.68,40.38,10000,10000,200,0.2
TopConstituents,67.28,66.72,10000,10000,50,0.0
TopConstituents,67.63,66.61,10000,10000,50,0.1
TopConstituents,67.84,67.09,10000,10000,50,0.2
TopConstituents,68.08,67.69,10000,10000,100,0.0
TopConstituents,68.02,67.26,10000,10000,100,0.1
TopConstituents,67.91,67.36,10000,10000,100,0.2
TopConstituents,68.33,67.48,10000,10000,200,0.0
TopConstituents,68.77,67.69,10000,10000,200,0.1
TopConstituents,68.27,67.62,10000,10000,200,0.2
BigramShift,53.97,53.8,10000,10000,50,0.0
BigramShift,53.96,53.54,10000,10000,50,0.1
BigramShift,54.35,53.48,10000,10000,50,0.2
BigramShift,54.49,54.07,10000,10000,100,0.0
BigramShift,54.5,53.82,10000,10000,100,0.1
BigramShift,54.53,53.34,10000,10000,100,0.2
BigramShift,54.26,52.91,10000,10000,200,0.0
BigramShift,54.34,54.15,10000,10000,200,0.1
BigramShift,54.53,53.74,10000,10000,200,0.2
Tense,87.5,85.76,10000,10000,50,0.0
Tense,87.82,86.1,10000,10000,50,0.1
Tense,88.0,86.74,10000,10000,50,0.2
Tense,87.71,85.92,10000,10000,100,0.0
Tense,87.83,85.92,10000,10000,100,0.1
Tense,87.86,86.29,10000,10000,100,0.2
Tense,87.67,86.21,10000,10000,200,0.0
Tense,87.81,86.5,10000,10000,200,0.1
Tense,87.81,86.49,10000,10000,200,0.2
SubjNumber,82.92,81.79,10000,10000,50,0.0
SubjNumber,83.28,81.85,10000,10000,50,0.1
SubjNumber,83.12,81.96,10000,10000,50,0.2
SubjNumber,82.78,81.82,10000,10000,100,0.0
SubjNumber,83.12,82.07,10000,10000,100,0.1
SubjNumber,83.21,82.09,10000,10000,100,0.2
SubjNumber,82.74,81.04,10000,10000,200,0.0
SubjNumber,83.07,81.68,10000,10000,200,0.1
SubjNumber,83.07,81.96,10000,10000,200,0.2
ObjNumber,81.6,82.61,10000,10000,50,0.0
ObjNumber,81.5,82.84,10000,10000,50,0.1
ObjNumber,82.01,82.98,10000,10000,50,0.2
ObjNumber,81.58,82.64,10000,10000,100,0.0
ObjNumber,81.54,82.64,10000,10000,100,0.1
ObjNumber,82.02,83.01,10000,10000,100,0.2
ObjNumber,81.26,82.53,10000,10000,200,0.0
ObjNumber,81.53,83.01,10000,10000,200,0.1
ObjNumber,81.84,82.74,10000,10000,200,0.2
OddManOut,52.79,52.92,10000,10000,50,0.0
OddManOut,52.28,52.68,10000,10000,50,0.1
OddManOut,52.23,51.82,10000,10000,50,0.2
OddManOut,52.68,52.92,10000,10000,100,0.0
OddManOut,52.64,52.61,10000,10000,100,0.1
OddManOut,52.72,52.36,10000,10000,100,0.2
OddManOut,52.58,53.19,10000,10000,200,0.0
OddManOut,52.81,52.35,10000,10000,200,0.1
OddManOut,52.52,52.11,10000,10000,200,0.2
CoordinationInversion,53.8,52.52,10002,10002,50,0.0
CoordinationInversion,53.73,53.5,10002,10002,50,0.1
CoordinationInversion,53.37,52.92,10002,10002,50,0.2
CoordinationInversion,53.41,53.52,10002,10002,100,0.0
CoordinationInversion,53.9,52.12,10002,10002,100,0.1
CoordinationInversion,54.11,53.06,10002,10002,100,0.2
CoordinationInversion,53.53,52.79,10002,10002,200,0.0
CoordinationInversion,53.9,53.04,10002,10002,200,0.1
CoordinationInversion,53.34,52.83,10002,10002,200,0.2
