task,devacc,acc,ndev,ntest,nhid,dropout
Length,98.02,98.64,9996,9996,50,0.0
Length,97.93,98.42,9996,9996,50,0.1
Length,97.93,98.31,9996,9996,50,0.2
Length,97.99,98.55,9996,9996,100,0.0
Length,97.89,98.12,9996,9996,100,0.1
Length,97.74,97.96,9996,9996,100,0.2
Length,98.07,98.6,9996,9996,200,0.0
Length,98.01,98.43,9996,9996,200,0.1
Length,97.88,98.34,9996,9996,200,0.2
WordContent,97.87,98.06,10000,10000,50,0.0
WordContent,97.87,98.06,10000,10000,50,0.1
WordContent,97.87,98.06,10000,10000,50,0.2
WordContent,97.87,98.06,10000,10000,100,0.0
WordContent,97.87,98.06,10000,10000,100,0.1
WordContent,97.87,98.06,10000,10000,100,0.2
WordContent,97.87,98.06,10000,10000,200,0.0
WordContent,97.87,98.06,10000,10000,200,0.1
WordContent,97.87,98.06,10000,10000,200,0.2
Depth,40.42,41.2,10000,10000,50,0.0
Depth,39.85,40.59,10000,10000,50,0.1
Depth,38.68,39.05,10000,10000,50,0.2
Depth,40.51,41.09,10000,10000,100,0.0
Depth,39.98,41.13,10000,10000,100,0.1
Depth,39.71,40.45,10000,10000,100,0.2
Depth,41.01,41.35,10000,10000,200,0.0
Depth,40.7,41.31,10000,10000,200,0.1
Depth,41.16,41.84,10000,10000,200,0.2
TopConstituents,63.38,62.81,10000,10000,50,0.0
TopConstituents,63.47,62.65,10000,10000,50,0.1
TopConstituents,63.21,62.3,10000,10000,50,0.2
TopConstituents,64.26,63.2,10000,10000,100,0.0
TopConstituents,64.12,63.33,10000,10000,100,0.1
TopConstituents,63.49,62.81,10000,10000,100,0.2
TopConstituents,64.77,64.43,10000,10000,200,0.0
TopConstituents,64.8,64.08,10000,10000,200,0.1
TopConstituents,64.44,63.63,10000,10000,200,0.2
BigramShift,50.46,49.24,10000,10000,50,0.0
BigramShift,50.65,48.99,10000,10000,50,0.1
BigramShift,50.65,49.22,10000,10000,50,0.2
BigramShift,50.55,48.57,10000,10000,100,0.0
BigramShift,50.54,49.34,10000,10000,100,0.1
BigramShift,50.53,49.96,10000,10000,100,0.2
BigramShift,50.41,49.39,10000,10000,200,0.0
BigramShift,50.39,48.87,10000,10000,200,0.1
BigramShift,50.58,48.76,10000,10000,200,0.2
Tense,87.3,86.33,10000,10000,50,0.0
Tense,87.35,86.42,10000,10000,50,0.1
Tense,87.39,86.15,10000,10000,50,0.2
Tense,87.27,86.46,10000,10000,100,0.0
Tense,87.31,86.4,10000,10000,100,0.1
Tense,87.3,86.57,10000,10000,100,0.2
Tense,87.36,86.21,10000,10000,200,0.0
Tense,87.48,86.45,10000,10000,200,0.1
Tense,87.59,85.83,10000,10000,200,0.2
SubjNumber,83.26,81.53,10000,10000,50,0.0
SubjNumber,83.48,81.65,10000,10000,50,0.1
SubjNumber,83.24,81.73,10000,10000,50,0.2
SubjNumber,83.38,81.71,10000,10000,100,0.0
SubjNumber,83.13,81.32,10000,10000,100,0.1
SubjNumber,83.19,82.0,10000,10000,100,0.2
SubjNumber,83.52,81.83,10000,10000,200,0.0
SubjNumber,83.21,82.06,10000,10000,200,0.1
SubjNumber,83.41,81.99,10000,10000,200,0.2
ObjNumber,81.84,83.39,10000,10000,50,0.0
ObjNumber,82.11,83.1,10000,10000,50,0.1
ObjNumber,82.53,83.52,10000,10000,50,0.2
ObjNumber,81.75,83.31,10000,10000,100,0.0
ObjNumber,81.89,83.06,10000,10000,100,0.1
ObjNumber,82.09,83.54,10000,10000,100,0.2
ObjNumber,81.49,83.39,10000,10000,200,0.0
ObjNumber,81.86,83.6,10000,10000,200,0.1
ObjNumber,82.09,83.6,10000,10000,200,0.2
OddManOut,51.11,50.54,10000,10000,50,0.0
OddManOut,50.19,49.87,10000,10000,50,0.1
OddManOut,50.19,49.87,10000,10000,50,0.2
OddManOut,51.36,50.33,10000,10000,100,0.0
OddManOut,50.19,49.87,10000,10000,100,0.1
OddManOut,50.19,49.87,10000,10000,100,0.2
OddManOut,51.13,50.14,10000,10000,200,0.0
OddManOut,50.19,49.87,10000,10000,200,0.1
OddManOut,50.19,49.87,10000,10000,200,0.2
CoordinationInversion,50.19,50.17,10002,10002,50,0.0
CoordinationInversion,50.35,50.73,10002,10002,50,0.1
CoordinationInversion,50.51,50.38,10002,10002,50,0.2
CoordinationInversion,50.23,49.92,10002,10002,100,0.0
CoordinationInversion,50.44,50.29,10002,10002,100,0.1
CoordinationInversion,50.32,49.61,10002,10002,100,0.2
CoordinationInversion,50.28,49.57,10002,10002,200,0.0
CoordinationInversion,50.35,49.66,10002,10002,200,0.1
CoordinationInversion,50.4,50.01,10002,10002,200,0.2
